fold,week,week_start,week_end,weekly_rmse,weekly_mae,weekly_smape
1,1,2025-01-01,2025-01-07 23:00:00,356.58071615295535,314.75262619501234,78.3106040718508
1,2,2025-01-08,2025-01-14 23:00:00,335.20906552897645,280.709787299037,45.73723741473737
1,3,2025-01-15,2025-01-21 23:00:00,880.887200932393,649.4090828560941,69.38644729527783
1,4,2025-01-22,2025-01-28 23:00:00,393.79296678868707,317.61072103608325,56.106474693496246
1,5,2025-01-29,2025-02-04 23:00:00,523.8322289733103,464.6411257681323,62.11137189360487
1,6,2025-02-05,2025-02-11 23:00:00,333.12127181441406,256.9850268019233,38.43356188643138
1,7,2025-02-12,2025-02-18 23:00:00,674.7653755317207,614.7084643648062,75.54106628905052
1,8,2025-02-19,2025-02-25 23:00:00,307.24302824991145,228.9377407096193,40.55310254411544
1,9,2025-02-26,2025-03-04 23:00:00,410.4027885403426,359.99725973233654,61.412419091315726
1,10,2025-03-05,2025-03-11 23:00:00,390.2920470260458,347.2533225395999,71.16269594235182
1,11,2025-03-12,2025-03-18 23:00:00,399.2170841786665,348.8713933704604,57.92547777427909
1,12,2025-03-19,2025-03-25 23:00:00,448.0475410654699,388.63842829424175,83.79268868391918
1,13,2025-03-26,2025-04-01 23:00:00,367.1559516308349,300.71765855324384,64.69826412517915
1,14,2025-04-02,2025-04-08 23:00:00,396.2997838590077,335.2946047061048,77.58233630903936
1,15,2025-04-09,2025-04-15 23:00:00,353.0600163308201,303.4751493043383,80.88638750244527
1,16,2025-04-16,2025-04-22 23:00:00,335.55229558817314,276.1188200887642,55.577916032588995
1,17,2025-04-23,2025-04-29 23:00:00,345.32595181585725,297.80977598114816,67.47163433346631
1,18,2025-04-30,2025-05-06 23:00:00,330.5097189116915,280.6555001717385,75.50194513862529
1,19,2025-05-07,2025-05-13 23:00:00,377.7445847821232,333.16719691567204,75.74098715540983
1,20,2025-05-14,2025-05-20 23:00:00,383.93474251011065,347.603899418852,87.0587554903223
1,21,2025-05-21,2025-05-27 23:00:00,348.8796348495081,313.0420158490051,101.95299957272132
1,22,2025-05-28,2025-06-03 23:00:00,355.92081801135623,292.9879613426451,80.3251650565822
1,23,2025-06-04,2025-06-10 23:00:00,308.3936553539782,257.097103327381,76.51569713834463
1,24,2025-06-11,2025-06-17 23:00:00,361.9715756400022,310.64154854856497,85.53897855836227
1,25,2025-06-18,2025-06-24 23:00:00,396.9696266340194,355.0399672086268,101.95592474668177
1,26,2025-06-25,2025-07-01 23:00:00,523.834836593068,346.6137190796803,74.39720533066058
1,27,2025-07-02,2025-07-08 23:00:00,348.38383640105496,297.06004144218855,72.61358035335002
1,28,2025-07-09,2025-07-15 23:00:00,306.4173094045817,271.3471695046642,53.439847091856976
1,29,2025-07-16,2025-07-22 23:00:00,292.5155034580524,263.6920707856655,52.70137448183798
1,30,2025-07-23,2025-07-29 23:00:00,273.22249852709126,243.38865684807587,50.21182178243063
1,31,2025-07-30,2025-08-05 23:00:00,318.1931882143913,278.4253635871657,82.05360033513458
1,32,2025-08-06,2025-08-12 23:00:00,378.59264762921833,341.9648927643836,91.03694304733071
1,33,2025-08-13,2025-08-19 23:00:00,364.0375597052097,293.8389658204339,61.177380725025834
1,34,2025-08-20,2025-08-26 23:00:00,329.5829196906843,282.31834767834323,60.62597255377311
1,35,2025-08-27,2025-09-02 23:00:00,422.09576068418943,324.31631844148745,56.21088118994037
1,36,2025-09-03,2025-09-09 23:00:00,532.4485178528821,369.81347243352917,69.24624667213317
1,37,2025-09-10,2025-09-16 23:00:00,406.0544163339163,356.92735239267773,109.82177113568807
1,38,2025-09-17,2025-09-23 23:00:00,364.40008797682714,327.9080245601109,102.12763977710286
1,39,2025-09-24,2025-09-30 23:00:00,472.742245670834,330.0659593834518,55.609989653639126
1,40,2025-10-01,2025-10-07 23:00:00,472.6473336450767,390.7409270856328,99.0253380651056
1,41,2025-10-08,2025-10-14 23:00:00,502.2735740906051,321.8742299849806,42.693441957116136
1,42,2025-10-15,2025-10-21 23:00:00,315.0420502328652,224.9742718227782,35.89591140796914
1,43,2025-10-22,2025-10-28 23:00:00,358.6039827119733,278.0289950144529,78.87913849900485
1,44,2025-10-29,2025-11-04 23:00:00,193.74163116010064,148.8443584981043,33.63212157528257
1,45,2025-11-05,2025-11-11 23:00:00,313.47186105252064,269.3039159554878,41.868655153580924
1,46,2025-11-12,2025-11-18 23:00:00,240.72716107070386,200.06893882336524,36.02245416492571
1,47,2025-11-19,2025-11-25 23:00:00,653.5522882022148,451.708476373981,53.55329973695285
1,48,2025-11-26,2025-12-02 23:00:00,353.13819389478283,189.22204287459238,27.44340920926768
1,49,2025-12-03,2025-12-09 23:00:00,413.0473820740709,293.21070895492517,43.212503403524174
1,50,2025-12-10,2025-12-16 23:00:00,247.10301587103854,201.4143778562623,39.023776586009745
1,51,2025-12-17,2025-12-23 23:00:00,220.1940831402668,177.22155397557907,34.32351273922379
1,52,2025-12-24,2025-12-30 23:00:00,173.9119463623227,142.0842016026298,25.01504979295339
1,53,2025-12-31,2025-12-31 23:00:00,185.4955849555789,166.38591417534272,29.117975372977185
