Date,daily_rmse,fold,week,daily_mae,daily_smape
2025-01-01,1003.0423719490742,1,1,948.8266622638889,183.4236239522258
2025-01-02,827.5818992841806,1,1,728.621516763889,83.79513473253827
2025-01-03,361.686984253344,1,1,346.6219454027778,55.66141075996368
2025-01-04,459.4604427016193,1,1,425.98361530555553,60.92977690688627
2025-01-05,305.6435110849366,1,1,275.41416825000005,70.49893440321465
2025-01-06,150.709253193459,1,1,128.91708201388892,65.61293657620064
2025-01-07,313.71735215837964,1,1,306.19306027777776,97.23997440445854
2025-01-08,226.4222011254391,1,2,204.57666551388888,43.6007830554171
2025-01-09,215.4862042457153,1,2,174.35532868518519,23.745227349832465
2025-01-10,170.26629867265774,1,2,148.36357111111113,20.195423326686104
2025-01-11,162.40827669059263,1,2,148.1694481435185,31.216420501840837
2025-01-12,591.9389132834767,1,2,528.4536606944445,97.6119113197734
2025-01-13,605.3592237338991,1,2,522.5574447546296,109.83798502337889
2025-01-14,218.92860506795847,1,2,194.21227105555556,62.55240900983329
2025-01-15,996.5891018127353,1,3,811.8916895493827,57.0042555593302
2025-01-16,223.99615014592516,1,3,191.05789794290126,19.9631596308534
2025-01-17,169.27881909093486,1,3,137.38748930401235,14.978259717346246
2025-01-18,374.74626054745426,1,3,360.6634754320988,43.7698839130973
2025-01-19,704.5316165116467,1,3,684.2430124074075,113.3859338613892
2025-01-20,1706.087014898429,1,3,1476.9493376280864,149.03126592457033
2025-01-21,884.4348663531166,1,3,841.5713152608026,101.67939487875172
2025-01-22,406.7774471734947,1,4,365.8656476558642,37.74183206402377
2025-01-23,543.6317201793319,1,4,445.726836489712,50.6494847889475
2025-01-24,482.1678128552713,1,4,450.9509685565844,84.12920690810994
2025-01-25,351.8245822432283,1,4,313.82899461676953,55.477222337711815
2025-01-26,493.28673171565754,1,4,468.1035973487654,95.06399860710188
2025-01-27,116.00680907818003,1,4,98.3344229367284,41.6765423087974
2025-01-28,321.31416379857035,1,4,285.2924607782922,42.95155873720479
2025-01-29,167.0822932392644,1,5,150.51210739489025,21.779740478770307
2025-01-30,189.00367156903883,1,5,171.59994070438958,19.929241197032706
2025-01-31,293.5606592593751,1,5,280.36185597548007,31.764693185015297
2025-02-01,447.9576490805036,1,5,430.92609984687925,54.55516655310878
2025-02-02,781.1926556866212,1,5,761.9959956594652,119.57881739367065
2025-02-03,908.5594660794408,1,5,878.0222290332646,126.29936699260276
2025-02-04,590.6072383385232,1,5,561.2475879080932,76.09239081987323
2025-02-05,209.57064211437842,1,6,185.25727213946038,23.284801409291944
2025-02-06,287.6144229083472,1,6,238.68459050182904,26.324303923304875
2025-02-07,177.3087188501773,1,6,161.90504674794238,20.799642862836198
2025-02-08,326.1360691378511,1,6,255.13050470067444,36.51870591379251
2025-02-09,582.7296858519112,1,6,568.9821292079904,106.5166960520445
2025-02-10,345.1171188122364,1,6,305.59229296719246,80.79686622813037
2025-02-11,163.89864022743552,1,6,132.10269392964108,27.274349280687993
