hidden_size,layers,learning_rate,max_epochs,patience,batch_size,sequence_length,dropout,best_epoch,epochs_trained,price_zone,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
32,2,"0,0005",100,10,32,168,"0,2",45,55,DK1,2 years,2024-01-01,"62,04039124304494","267,7430654197882","221,35393988021414","62,04039124304494","255,72084148300445","221,3539398802141","62,040391243044944","65,11995733813882","53,452188060447085","37,15679254244677","52,42854963904324","56,184568144910386","77,30785216582498","92,63283081050326"
128,1,"0,0005",100,10,64,168,"0,0",23,33,DK1,2 years,2024-01-01,"62,04650941251948","266,7524161503966","220,5652241998146","62,04650941251948","255,07572054545997","220,5652241998146","62,046509412519484","64,57315167712991","52,87660838542456","37,46342718345828","52,39596123075164","56,3238895019298","77,72159310395216","92,97093480498997"
32,2,"0,0005",100,10,64,168,"0,2",83,93,DK1,2 years,2024-01-01,"62,06719779330484","267,6454296068657","220,7399303871605","62,06719779330484","256,0326472069211","220,7399303871605","62,067197793304835","64,28312523541047","52,6909448762717","38,25103714843562","52,438243194408884","56,51372908959129","77,38156061667934","92,91174439233659"
32,2,"0,0005",100,10,64,24,"0,2",83,93,DK1,2 years,2024-01-01,"62,067200325896025","267,64320938726144","220,73833066661433","62,067200325896025","256,03089896093496","220,73833066661433","62,06720032589602","64,28239743175554","52,690254308324356","38,25138676184642","52,438284226586475","56,51423481634674","77,3818419792037","92,9120027572089"
128,2,"0,0005",100,10,64,24,"0,0",22,32,DK1,2 years,2024-01-01,"62,06723610216675","267,61107728415686","220,7151546096162","62,06723610216675","256,00559483162925","220,71515460961623","62,06723610216676","64,27185228321261","52,68024819864188","38,256451179008174","52,43887750386126","56,52156107024328","77,38591743417646","92,9157450460236"
128,2,"0,0005",100,10,64,24,"0,2",22,32,DK1,2 years,2024-01-01,"62,067236269605004","267,61118152612124","220,71523040401786","62,067236269605004","256,00567744252317","220,71523040401783","62,067236269605","64,27188550572285","52,68028017285461","38,256435460573655","52,43887621729849","56,52153798071201","77,38590484026395","92,91573370980942"
128,2,"0,0005",100,10,64,168,"0,2",22,32,DK1,2 years,2024-01-01,"62,067291492387156","267,5599437481442","220,67818324491373","62,067291492387156","255,96532006342687","220,67818324491373","62,06729149238716","64,25501767436984","52,66427523023624","38,26453330810307","52,43982360172033","56,53325207289525","77,39242076913584","92,92171779024953"
64,2,"0,001",100,10,64,168,"0,0",22,32,DK1,2 years,2024-01-01,"62,06790205884974","268,0182185174561","221,01141158258926","62,06790205884974","256,32592318609113","221,01141158258923","62,06790205884975","64,41047896430301","52,805468012245306","38,19453555652707","52,4313643540306","56,42978592765571","77,33483031092695","92,86885128625958"
64,2,"0,001",100,10,64,168,"0,2",22,32,DK1,2 years,2024-01-01,"62,06793589742908","268,02376169417465","221,01552455285062","62,06793589742908","256,3302795612336","221,0155245528506","62,06793589742909","64,41234823697836","52,807246463431234","38,19378192376691","52,4312618868915","56,42855120678329","77,33414197396715","92,86821959018512"
64,2,"0,001",100,10,64,24,"0,0",22,32,DK1,2 years,2024-01-01,"62,067988961814685","268,0323638453907","221,02190626889762","62,067988961814685","256,33704078408493","221,0219062688976","62,067988961814685","64,415246715535","52,81000481548251","38,19261233194797","52,43110369630507","56,42663731480528","77,3330759778143","92,86724188081263"
32,2,"0,001",100,10,64,168,"0,2",42,52,DK1,2 years,2024-01-01,"62,06853990685206","267,15517252058083","220,38581512773203","62,06853990685206","255,64613429581635","220,38581512773203","62,06853990685205","64,11949400193429","52,53568124445613","38,32944030911659","52,45372464285761","56,627153171359645","77,44461200950045","92,9696739687397"
64,2,"0,001",100,10,32,168,"0,2",11,21,DK1,2 years,2024-01-01,"62,06996426801415","266,89744135772867","220,199175977789","62,06996426801415","255,4425452300133","220,19917597778903","62,06996426801417","64,03100156858255","52,45171063631528","38,37167227088907","52,467695953080025","56,68826142718119","77,47853762934028","93,00087039071067"
