hidden_size,layers,learning_rate,max_epochs,patience,batch_size,sequence_length,dropout,best_epoch,epochs_trained,price_zone,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
128,1,"0,0005",100,10,64,168,"0,0",23,33,DK1,2 years,2024-01-01,"62,04650941251948","266,7524161503966","220,5652241998146","62,04650941251948","255,07572054545997","220,5652241998146","62,046509412519484","64,57315167712991","52,87660838542456","37,46342718345828","52,39596123075164","56,3238895019298","77,72159310395216","92,97093480498997"
128,1,"0,0005",100,10,32,168,"0,0",11,21,DK1,2 years,2024-01-01,"62,07463118409315","266,42548375317443","219,8596047501831","62,07463118409315","255,06897678711408","219,85960475018308","62,07463118409315","63,864166854209245","52,293393671387804","38,45097386867218","52,502191922106945","56,803028623465835","77,54216932845824","93,06649402035177"
128,1,"0,0005",100,10,32,24,"0,0",10,20,DK1,2 years,2024-01-01,"62,42912410068144","260,47058403315975","215,05316390122766","62,42912410068144","250,187646658358","215,05316390122766","62,42912410068145","61,14493295649038","49,341630627049874","40,389108602631076","53,67487398466183","59,058779593055206","78,95377113294204","94,44077180793968"
128,1,"0,001",100,10,64,168,"0,0",9,19,DK1,2 years,2024-01-01,"64,36923934291524","259,8353433088941","215,28006227348982","64,36923934291524","248,90423306463362","215,28006227348982","64,36923934291522","58,755000548939115","46,4833640461421","46,03065225550783","57,10397675303592","62,69932379674731","81,36142286837986","98,15093513165448"
128,1,"0,001",100,10,32,24,"0,0",22,32,DK1,2 years,2024-01-01,"67,77552638200666","266,9783070820535","217,68060236181148","67,77552638200666","248,88022176744863","217,68060236181148","67,77552638200665","66,56352269114228","51,79787417740713","41,74402661253833","56,35718736269914","69,98330724453615","90,31884990340913","97,66391668231446"
64,1,"0,001",100,10,64,168,"0,0",31,41,DK1,2 years,2024-01-01,"67,8474103038641","253,38815095387514","211,6380765603518","67,8474103038641","239,8129825800519","211,63807656035178","67,8474103038641","59,61667706668008","50,9054434103936","37,66104021482214","58,77586277403155","69,90570641294832","95,74712032973054","102,3200219184424"
64,1,"0,0005",100,10,64,24,"0,0",42,52,DK1,2 years,2024-01-01,"68,44295529393085","251,37765618664199","211,3977623548741","68,44295529393085","238,2754813489366","211,39776235487417","68,44295529393085","57,164884585485964","48,80882466551321","43,90865174738276","57,72972604509991","70,67570684506151","97,36019198520059","103,45270118377205"
128,1,"0,0005",100,10,64,24,"0,0",31,41,DK1,2 years,2024-01-01,"68,53994064650934","253,6963197663844","213,67624360484055","68,53994064650934","239,91120761659326","213,67624360484055","68,53994064650934","59,59568315257252","53,118648916412766","39,18305805992306","58,987298684602365","68,36401766325099","96,16155438098426","104,36932366781937"
128,1,"0,001",100,10,64,24,"0,0",8,18,DK1,2 years,2024-01-01,"68,73836167774571","268,8322832595859","224,049318233753","68,73836167774571","255,2160620417974","224,049318233753","68,73836167774573","58,05390945809366","44,89640098513822","55,465302094122286","63,64752710734761","68,49095533518943","86,80585756898971","103,80857919533914"
64,1,"0,001",100,10,32,168,"0,0",21,31,DK1,2 years,2024-01-01,"68,9185593457327","267,12274471492026","217,83599851167423","68,9185593457327","246,59195629983873","217,8359985116743","68,91855934573269","61,92226457018987","50,99673731289899","37,95659754324349","58,74851331347263","72,9149011966079","93,22276677071858","106,66813471299744"
64,1,"0,001",100,10,64,24,"0,0",28,38,DK1,2 years,2024-01-01,"69,2872299755552","258,5496103510429","214,661561931779","69,2872299755552","242,43145809304855","214,66156193177903","69,2872299755552","61,45157523408329","53,22270596442647","38,8940623499515","58,171966153945036","70,50245250128897","95,08655190188512","107,68129572330605"
64,1,"0,0005",100,10,32,24,"0,0",34,44,DK1,2 years,2024-01-01,"69,4472848040232","261,2545009284256","215,77694993423023","69,4472848040232","243,52497288681116","215,77694993423026","69,4472848040232","58,28852808182049","51,96524394238671","39,73331785475909","60,025756680298876","70,64998150169876","94,37053080265325","111,09763476454522"
64,1,"0,0005",100,10,64,168,"0,0",32,42,DK1,2 years,2024-01-01,"69,8446717938662","265,1612415776","221,92751199246362","69,8446717938662","249,85185163013645","221,92751199246362","69,8446717938662","56,23081917060923","44,040638351304864","56,02160920910587","63,83263323049385","72,18750950788618","90,0750033500921","106,52448973757132"
64,1,"0,001",100,10,32,24,"0,0",16,26,DK1,2 years,2024-01-01,"69,9301803705202","256,5398777706005","214,13113356444438","69,9301803705202","240,50174193365908","214,13113356444447","69,9301803705202","59,27470611472626","53,76143389752964","40,154010584808276","59,80742080191621","73,07754493255425","98,5622556944789","104,87389056762792"
64,1,"0,0005",100,10,32,168,"0,0",30,40,DK1,2 years,2024-01-01,"70,16455248269844","262,8458319687034","219,88322425108595","70,16455248269844","246,48376010183514","219,8832242510859","70,16455248269845","59,65046669412721","52,99311063379983","39,31610158780593","59,52703684483786","70,71648742152072","100,46834715688053","108,48031703991704"
128,1,"0,001",100,10,32,168,"0,0",5,15,DK1,2 years,2024-01-01,"70,7996017524085","287,82794742670956","229,45152384888638","70,7996017524085","266,41800780329686","229,4515238488864","70,7996017524085","60,59474908498727","48,544601221689334","41,48727386818559","54,24141740506044","78,41566332928178","87,52661709987962","124,78689025777548"
