hidden_size,layers,learning_rate,max_epochs,patience,batch_size,sequence_length,dropout,best_epoch,epochs_trained,price_zone,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
128,1,"0,0005",100,6,32,168,"0,0",12,18,DK1,2 years,2024-01-01,"61,93528781473068","267,24673275290354","220,31216821793038","61,93528781473068","255,4961402564999","220,31216821793038","61,93528781473067","64,6208191215267","52,825122363418444","37,80653405492756","52,18782660065992","56,15877246475719","77,20313063430339","92,74480946352155"
64,2,"0,0005",100,6,32,24,"0,0",21,27,DK1,2 years,2024-01-01,"62,06722337071142","267,62215507261544","220,72314917058452","62,06722337071142","256,0143180069486","220,72314917058452","62,06722337071142","64,27549337601916","52,683700939591844","38,254702897868654","52,43867215326818","56,51903147571571","77,38450999286081","92,91445275965559"
64,2,"0,0005",100,6,32,168,"0,2",21,27,DK1,2 years,2024-01-01,"62,06722936432629","267,6174144680975","220,719729385312","62,06722936432629","256,0105861163978","220,71972938531198","62,06722936432629","64,27393310769051","52,68222302205629","38,25545216306119","52,43876099990317","56,52011558357728","77,38511360764667","92,91500706634889"
32,2,"0,001",100,6,64,168,"0,2",41,47,DK1,2 years,2024-01-01,"62,06795197592323","267,328286978894","220,51139441675966","62,06795197592323","255,78272624798342","220,51139441675966","62,067951975923236","64,17795771504787","52,59115623913316","38,301473438552186","52,44723955125161","56,58669196436138","77,42213211078929","92,9490128123271"
128,2,"0,001",100,6,64,24,"0,2",11,17,DK1,2 years,2024-01-01,"62,069052240701424","267,05240524920526","220,31146685971794","62,069052240701424","255,56498914199298","220,31146685971797","62,06905224070143","64,08442408401294","52,50240324440548","38,34619046513827","52,458836833260364","56,651391149087395","77,45807062241825","92,98204928658731"
128,2,"0,001",100,6,64,168,"0,0",11,17,DK1,2 years,2024-01-01,"62,06935205594654","267,00183725714464","220,27494685544548","62,06935205594654","255,52504451904875","220,2749468554455","62,06935205594653","64,0670601175331","52,48592685203537","38,35447764329638","52,461720631166365","56,663380948997876","77,46472840041832","92,98816979817832"
64,2,"0,0005",100,6,64,168,"0,2",42,48,DK1,2 years,2024-01-01,"62,07374575397744","268,6859607749525","221,5079329393601","62,07374575397744","256,84997736474037","221,50793293936007","62,07374575397744","64,63417173249009","53,01495796452704","38,11621957216447","52,41909301272018","56,283965252972735","77,25351663014641","92,79429611282117"
64,2,"0,0005",100,6,64,24,"0,2",42,48,DK1,2 years,2024-01-01,"62,07391039009758","268,69689726527423","221,51628022358628","62,07391039009758","256,8585476176455","221,51628022358628","62,07391039009759","64,63788588169352","53,01831288974209","38,11535184082411","52,41889257247347","56,2816226439087","77,25220894317712","92,7930979588641"
128,2,"0,001",100,6,64,168,"0,2",11,17,DK1,2 years,2024-01-01,"62,07406310255791","267,009561498882","220,29821251241628","62,07406310255791","255,53088363349607","220,29821251241628","62,0740631025579","64,06746387066077","52,486310062211416","38,354284957837585","52,46165361806727","56,663102141675694","77,46457362700237","93,02105344045026"
32,2,"0,001",100,6,32,168,"0,2",21,27,DK1,2 years,2024-01-01,"62,079813351588356","269,0173552267656","221,7645153813709","62,079813351588356","257,10949408556814","221,76451538137084","62,079813351588356","64,74558096681257","53,115587654300086","38,090132911806435","52,416142995858166","56,21359866881141","77,2193499095587","92,75830035397111"
