hidden_size,layers,learning_rate,max_epochs,patience,batch_size,sequence_length,dropout,best_epoch,epochs_trained,price_zone,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
64,2,"0,001",100,10,32,168,"0,0",12,22,DK1,2 years,2024-01-01,"63,927500194110856","238,87218438738603","200,91874940967958","63,927500194110856","230,06231619765308","200,9187494096796","63,927500194110856","62,7231337203479","49,585090740352314","38,34120247613495","51,15000835398254","61,6547045032729","82,34969293266205","101,68866863202338"
128,1,"0,0005",100,10,64,168,"0,0",42,52,DK1,2 years,2024-01-01,"64,08477885788122","227,26751049952935","186,7567379092166","64,08477885788122","218,90544786898337","186,75673790921655","64,0847788578812","67,12595766891755","46,37368248632981","36,522870314334185","51,45249733580384","65,44811788011224","81,06852228568673","100,60180403398415"
64,2,"0,001",100,10,32,168,"0,2",11,21,DK1,2 years,2024-01-01,"64,4450834854157","236,49872586385976","192,111593187391","64,4450834854157","223,03431620197577","192,111593187391","64,44508348541568","64,57037664903133","43,92593612619397","39,41823240503102","52,02159598124025","65,72340281725394","83,81007184270314","101,64596857645614"
128,2,"0,0005",100,10,32,168,"0,2",15,25,DK1,2 years,2024-01-01,"64,60049680368014","236,98627913617892","198,25545828498986","64,60049680368014","227,13609846603646","198,25545828498986","64,60049680368014","61,9431967508108","46,24672420905803","37,55119509570138","53,23771862004482","63,57533962156327","84,42795113434686","105,22135219423588"
128,2,"0,001",100,10,32,168,"0,2",6,16,DK1,2 years,2024-01-01,"64,8418113209158","235,95891501364815","198,44161014118157","64,8418113209158","227,33793139631643","198,44161014118157","64,8418113209158","61,35471054530338","45,048406548524966","37,53618241862963","54,80445069128146","64,61711538761662","83,73169803548531","106,80011561956924"
64,1,"0,001",100,10,32,168,"0,0",13,23,DK1,2 years,2024-01-01,"64,89091851920104","235,25134354805542","194,1032305446848","64,89091851920104","224,0160518735775","194,1032305446848","64,89091851920105","61,22157349901738","44,18420449956339","39,21865650537836","56,54337588326123","65,05464400322559","87,02714144477174","100,98683379918964"
64,2,"0,0005",100,10,64,168,"0,2",71,81,DK1,2 years,2024-01-01,"64,89765249365493","234,24151513543848","189,6817995211316","64,89765249365493","221,09125359670415","189,68179952113158","64,89765249365495","59,57540929897401","44,92116707860271","36,89699619974885","53,77101776149853","65,5028907118312","85,13240244107267","108,48368396385662"
64,2,"0,0005",100,10,32,168,"0,2",25,35,DK1,2 years,2024-01-01,"65,1010719235416","240,05090736469535","200,63752746118126","65,1010719235416","229,02010006736174","200,63752746118126","65,1010719235416","62,19451371199476","46,931938199390444","38,45774550760666","52,11640534159162","63,181778583364334","85,97732239003612","106,84779973080721"
64,1,"0,0005",100,10,64,168,"0,0",64,74,DK1,2 years,2024-01-01,"65,11837763063583","235,82747156871784","193,22537430242656","65,11837763063583","223,72289674872877","193,22537430242656","65,11837763063583","63,21027053253252","44,85620236693363","36,54328141262304","51,5363080560909","68,7328789468886","88,17879160990225","102,77091048947989"
128,1,"0,001",100,10,64,168,"0,0",24,34,DK1,2 years,2024-01-01,"66,21837795005786","237,16541629470754","199,27059032045346","66,21837795005786","226,9790322282872","199,27059032045346","66,21837795005786","60,665234723966734","44,3012083010459","37,86388532552159","55,455998804553744","67,99796111897707","84,57333873716486","112,67101863917512"
128,1,"0,001",100,10,32,168,"0,0",8,18,DK1,2 years,2024-01-01,"66,22250695929493","237,2726512841563","193,65350736218235","66,22250695929493","225,63691371065786","193,65350736218235","66,22250695929493","66,07639464228659","44,12205893940888","36,367675103497334","55,893360294148636","66,84026516430083","88,59426491220675","105,66352965921558"
128,1,"0,0005",100,10,32,168,"0,0",36,46,DK1,2 years,2024-01-01,"66,24453048677437","241,31808260524573","202,9501359625273","66,24453048677437","230,92033925385013","202,95013596252736","66,24453048677438","61,88909479277689","46,391451676543156","38,42141292460988","55,048831383585636","67,18062143738388","85,64353841897005","109,13676277355114"
128,2,"0,001",100,10,32,168,"0,0",21,31,DK1,2 years,2024-01-01,"66,36413751448157","249,96451318187718","211,02123604838778","66,36413751448157","239,50628323346555","211,0212360483878","66,36413751448156","59,17953221901817","47,812981428635595","39,59435122655561","54,67526333454048","70,95036305370184","86,31062230548596","106,02584903343326"
128,2,"0,001",100,10,64,168,"0,0",11,21,DK1,2 years,2024-01-01,"66,52636774393494","245,79941433941735","204,7788003583592","66,52636774393494","234,28722432787637","204,7788003583592","66,52636774393496","62,848403368783245","45,860632373480875","39,97284209765323","54,27595191898872","67,97654696122501","89,29591517098557","105,45428231642799"
64,2,"0,001",100,10,64,168,"0,2",31,41,DK1,2 years,2024-01-01,"66,92010866962549","241,13255798457052","195,8736250344903","66,92010866962549","227,21479020538234","195,87362503449032","66,92010866962549","66,5481205853709","45,22777003569022","38,12176885812791","53,82336139494593","66,36759262613852","87,69760560238493","110,65454158472004"
128,2,"0,0005",100,10,64,168,"0,0",24,34,DK1,2 years,2024-01-01,"67,05479561310622","240,73048358628623","199,88292907611884","67,05479561310622","229,32130348599972","199,88292907611887","67,05479561310624","61,96702096825521","46,680182202871364","39,42434357140698","54,930248211690795","69,06051183777305","90,28184796212335","107,03941453762287"
128,2,"0,001",100,10,64,168,"0,2",11,21,DK1,2 years,2024-01-01,"67,76440965475874","247,6385479590729","201,29505398992774","67,76440965475874","233,1475489607797","201,29505398992774","67,76440965475875","64,83490076881264","46,53753478221084","39,766914139962296","53,46538781827568","70,93505240492763","90,63289527738922","108,1781823917329"
64,1,"0,0005",100,10,32,168,"0,0",32,42,DK1,2 years,2024-01-01,"68,15779837448268","245,18907327340338","201,26238446371858","68,15779837448268","230,57438707479736","201,26238446371858","68,15779837448268","63,587582096010394","42,379283930865455","37,70487496271985","56,59331213320917","70,2809678572276","91,1179015440679","115,44066609727838"
64,2,"0,001",100,10,64,168,"0,0",23,33,DK1,2 years,2024-01-01,"68,24907716432351","248,37814474322133","206,53178374174502","68,24907716432351","236,56929477685594","206,53178374174496","68,24907716432351","68,27015109350353","49,50270592072867","38,56910853717744","53,658403112002546","69,97692796824256","90,24432776070216","107,52191575790766"
64,1,"0,001",100,10,64,168,"0,0",40,50,DK1,2 years,2024-01-01,"68,33091408267477","246,23236955262342","204,813141011439","68,33091408267477","233,45257191192385","204,813141011439","68,33091408267477","67,24067090736067","45,86231465903361","39,49160467827147","58,01957033685576","75,35829052868077","93,67450723408835","98,66944023443277"
64,2,"0,0005",100,10,32,168,"0,0",22,32,DK1,2 years,2024-01-01,"68,34250503463673","246,39430514544358","206,4476201952151","68,34250503463673","234,4251839300245","206,44762019521517","68,34250503463673","62,88530973880114","46,81139354156715","40,276126881506364","57,1913321113452","72,53908950238686","90,86157825080251","107,83270521604791"
128,2,"0,0005",100,10,64,168,"0,2",32,42,DK1,2 years,2024-01-01,"68,72003794817594","250,18866591430793","204,15703987670526","68,72003794817594","235,83556660132248","204,15703987670526","68,72003794817594","68,61216996045091","46,772320045949726","39,136428640230285","60,06950578462474","70,63278536562419","87,668243862304","108,1488119780477"
128,2,"0,0005",100,10,32,168,"0,0",12,22,DK1,2 years,2024-01-01,"70,3730463754551","253,8366667375617","208,96221849894062","70,3730463754551","238,60079225750195","208,9622184989406","70,3730463754551","63,270682948137875","45,4322627762523","40,44321646336824","60,58411081635546","76,50393046987432","94,76211522942071","111,61500592477688"
64,2,"0,0005",100,10,64,168,"0,0",36,46,DK1,2 years,2024-01-01,"74,30218468862059","265,11876926279456","216,32164045027315","74,30218468862059","248,68497187528214","216,32164045027318","74,30218468862056","66,67680704656013","46,01753705712502","50,419561236624325","62,82047521162613","77,42215674776547","99,9973262106951","116,76142930994786"
