hidden_size,layers,learning_rate,max_epochs,patience,batch_size,sequence_length,dropout,best_epoch,epochs_trained,price_zone,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
128,1,"0,001",100,10,32,168,"0,0",6,16,DK1,2 years,2024-01-01,"61,84102419545532","264,42572684269084","218,34242289956808","61,84102419545532","252,88382677127873","218,34242289956805","61,84102419545531","63,869482571145284","52,06230142039684","37,31522526730332","52,19973490691355","56,830881522261066","77,48462942531057","93,1249142548566"
128,1,"0,0005",100,10,64,168,"0,0",22,32,DK1,2 years,2024-01-01,"62,03830496768023","264,9585095950772","218,74641850558328","62,03830496768023","253,77512239408063","218,74641850558328","62,03830496768023","63,454016603922526","51,83714445999399","38,37650754421823","52,55707933967579","57,08958627595413","77,71414718892689","93,2396533610701"
128,2,"0,001",100,10,64,168,"0,0",11,21,DK1,2 years,2024-01-01,"62,07072147296558","266,7736203608307","220,1088385864025","62,07072147296558","255,34463389913182","220,1088385864025","62,07072147296558","63,987846038891824","52,41075941590232","38,39222559760656","52,47497649209684","56,71800350647037","77,4950384201827","93,01620083960846"
128,2,"0,001",100,10,64,168,"0,2",11,21,DK1,2 years,2024-01-01,"62,070774557136005","266,76892657245105","220,10551707499766","62,070774557136005","255,34092096558018","220,10551707499764","62,070774557136005","63,98620169853318","52,409199054273465","38,39300818348454","52,47533965004621","56,71913599638992","77,49566657597128","93,01687074125347"
64,2,"0,001",100,10,64,168,"0,2",21,31,DK1,2 years,2024-01-01,"62,080954109949644","265,890232575986","219,46630351360213","62,080954109949644","254,64404064062214","219,46630351360207","62,080954109949644","63,666739723361786","52,106036622422174","38,54428545648001","52,545226611203994","56,938098360776124","77,61991138344268","93,14638061196075"
64,2,"0,001",100,10,64,168,"0,0",21,31,DK1,2 years,2024-01-01,"62,081068012010036","265,8820271085478","219,46023791788446","62,081068012010036","254,6375153870022","219,46023791788443","62,08106801201004","63,66364011765046","52,10309544095372","38,545746070729066","52,545898732278296","56,94021229939001","77,62125226137387","93,14763116169485"
128,2,"0,0005",100,10,32,168,"0,0",11,21,DK1,2 years,2024-01-01,"62,08613138743033","269,3511687844132","222,02075976831634","62,08613138743033","257,37054530905897","222,02075976831637","62,086131387430335","64,8555106068064","53,214872282474644","38,064273971303685","52,415625732299574","56,14396724282076","77,18600084617503","92,72266903013217"
128,2,"0,0005",100,10,32,168,"0,2",11,21,DK1,2 years,2024-01-01,"62,08616617045598","269,35303941843483","222,02218401278827","62,08616617045598","257,37200735033935","222,02218401278827","62,08616617045599","64,85612003783785","53,215422583433714","38,06413056428989","52,41562273787184","56,143581068273896","77,18581530613694","92,72247089534777"
128,2,"0,0005",100,10,64,168,"0,0",21,31,DK1,2 years,2024-01-01,"62,08692803157126","265,4574180635444","219,14101446854073","62,08692803157126","254,2993502927271","219,1410144685407","62,08692803157127","63,499982119498064","51,94777472488106","38,622651592760114","52,581182534508","57,05156415521284","77,69185894838574","93,21348214575299"
128,2,"0,0005",100,10,64,168,"0,2",21,31,DK1,2 years,2024-01-01,"62,08693278060244","265,45707213247596","219,14074998286364","62,08693278060244","254,29907438491878","219,1407499828636","62,08693278060243","63,499846089104935","51,947645621211166","38,62271535192954","52,5812117189119","57,051656481868406","77,6919174580449","93,21353674314618"
64,2,"0,001",100,10,32,168,"0,0",11,21,DK1,2 years,2024-01-01,"62,09960421662778","269,9420292281471","222,4781250735212","62,09960421662778","257,8317721133319","222,47812507352117","62,099604216627775","65,04480332720345","53,388493409393135","38,01947017898729","52,43157324865845","56,02360209429891","77,12824025134152","92,66104700651172"
64,2,"0,001",100,10,32,168,"0,2",11,21,DK1,2 years,2024-01-01,"62,10002248917748","269,9592252861846","222,4914299201486","62,10002248917748","257,8451798393172","222,49142992014853","62,100022489177476","65,05021597724453","53,39365630736299","38,018183880169545","52,432087146041226","56,020151681916275","77,12658240596325","92,65928002554455"
64,2,"0,0005",100,10,32,168,"0,2",21,31,DK1,2 years,2024-01-01,"62,33246001800066","269,54351147294017","222,0093915186942","62,33246001800066","257,40068112240874","222,00939151869417","62,33246001800065","64,29990442338216","52,706022842971805","38,243401621592206","52,43734583235482","56,502684186300556","77,3754152331038","94,76244598629926"
64,2,"0,0005",100,10,64,168,"0,0",38,48,DK1,2 years,2024-01-01,"62,58210216261918","257,27479847075915","212,45811622437975","62,58210216261918","247,28724049601402","212,45811622437972","62,582102162619194","60,40708123942095","47,98092488036397","41,945267541169116","54,23746147593729","59,548253896379904","79,06044636493755","94,89527974012555"
128,2,"0,001",100,10,32,168,"0,2",6,16,DK1,2 years,2024-01-01,"62,605824693681036","277,95179349228545","228,6279274163121","62,605824693681036","263,9635899306485","228,62792741631205","62,605824693681036","66,84901462452399","55,15204855319515","37,79696078830986","52,66287678358326","55,005141174324855","76,63929107786363","94,13543985396649"
128,2,"0,001",100,10,32,168,"0,0",6,16,DK1,2 years,2024-01-01,"62,608181856309486","277,9616219451402","228,64184452185057","62,608181856309486","263,9704277034018","228,64184452185054","62,608181856309486","66,84767818829627","55,150705230791445","37,797021393219836","52,662706946878004","55,00585636366135","76,6395750631766","94,15372980814291"
64,2,"0,0005",100,10,64,168,"0,2",42,52,DK1,2 years,2024-01-01,"62,76616183241681","272,6082122611701","224,02855751104153","62,76616183241681","260,2066147639788","224,02855751104153","62,76616183241681","64,65150204514975","53,03061204456416","38,11216957098935","52,418156698360804","56,27303265638396","77,24777756413111","97,62988224733856"
64,2,"0,0005",100,10,32,168,"0,0",18,28,DK1,2 years,2024-01-01,"63,34384688420363","261,30581660353005","215,75541406641204","63,34384688420363","250,47797329416798","215,7554140664121","63,34384688420362","60,13731293557872","48,02232151641993","42,49508376554095","54,83383843199037","60,430724629782205","79,79153583907706","97,69611107103613"
128,1,"0,0005",100,10,32,168,"0,0",9,19,DK1,2 years,2024-01-01,"64,14892808062396","259,21683616604207","214,7422840995774","64,14892808062396","248,39718777159368","214,7422840995774","64,14892808062397","58,97808220923619","46,35774005082226","45,37773604816108","56,81953803456241","62,494161306196325","81,0107352961906","98,00450361919889"
64,1,"0,001",100,10,32,168,"0,0",20,30,DK1,2 years,2024-01-01,"67,23618436245398","248,58034627530006","210,4750561818862","67,23618436245398","237,66311172925523","210,47505618188623","67,23618436245398","59,45718788375079","45,9981866755351","39,638621930668414","59,72492790082288","69,80985204629685","86,08214398405732","109,94237011604655"
64,1,"0,0005",100,10,32,168,"0,0",16,26,DK1,2 years,2024-01-01,"68,52839362062986","266,5268009377153","222,26995496243143","68,52839362062986","253,29658511486326","222,26995496243143","68,52839362062986","57,07486453749377","45,42696494289678","52,1020913035121","63,85198799718776","70,37469584205542","86,465944084164","104,40220663709914"
64,1,"0,001",100,10,64,168,"0,0",30,40,DK1,2 years,2024-01-01,"68,8880961586976","248,52199882292416","208,4322253459807","68,8880961586976","236,21250180636935","208,4322253459807","68,8880961586976","59,335860366150484","44,76759280902073","43,12427932414802","60,2977973777471","71,27284984771964","91,03511687640935","112,38317650968789"
64,1,"0,0005",100,10,64,168,"0,0",43,53,DK1,2 years,2024-01-01,"69,0610473868392","250,34769658487986","210,69414400401524","69,0610473868392","237,68514509415462","210,69414400401524","69,0610473868392","57,713678530936946","43,64371306096796","43,339616832149346","61,32757644898939","71,84242038245782","90,68950488397569","114,87082156839735"
128,1,"0,001",100,10,64,168,"0,0",14,24,DK1,2 years,2024-01-01,"70,58658815546761","254,23185738029673","213,59599112297275","70,58658815546761","239,67064909751633","213,59599112297275","70,58658815546761","55,90336372514913","40,256329106277136","47,151316800251486","66,93610258314621","76,60741586892668","93,98997343089779","113,2616155736248"
