hidden_size,layers,learning_rate,max_epochs,patience,batch_size,sequence_length,dropout,best_epoch,epochs_trained,price_zone,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
128,2,"0,0005",100,10,64,24,"0,2",22,32,DK1,2 years,2024-01-01,"62,06720544135195","267,63857451924116","220,73499017254926","62,06720544135195","256,02724927738615","220,73499017254926","62,06720544135195","64,28087816212249","52,688812766663546","38,25211654422982","52,438369861273216","56,51529041442211","77,38242827445728","92,91254206629517"
128,2,"0,0005",100,10,64,24,"0,0",22,32,DK1,2 years,2024-01-01,"62,06721185523605","267,6328827389235","220,73088719316172","62,06721185523605","256,02276687669524","220,7308871931617","62,06721185523605","64,27901125743529","52,687041900745086","38,25301305220215","52,43847468797057","56,516587786360205","77,3831507195166","92,91320358242251"
32,2,"0,0005",100,10,64,168,"0,2",83,93,DK1,2 years,2024-01-01,"62,0672364484313","267,6110238923719","220,71511659888276","62,0672364484313","256,00555330054533","220,71511659888273","62,067236448431295","64,2718336655364","52,68023098473098","38,25646035439865","52,438879133716156","56,52157398364446","77,38592491102615","92,91575210596638"
128,2,"0,0005",100,10,64,168,"0,0",22,32,DK1,2 years,2024-01-01,"62,06728156436598","267,5693546550506","220,68499624881704","62,06728156436598","255,97273333907606","220,68499624881704","62,06728156436598","64,25812054406556","52,66721937640058","38,26304408031904","52,43964943625567","56,53109763569769","77,3912224256203","92,92061745220298"
64,2,"0,001",100,10,64,168,"0,0",22,32,DK1,2 years,2024-01-01,"62,06754117022009","267,904472244927","220,9284032705049","62,06754117022009","256,23649313241356","220,9284032705049","62,06754117022009","64,37197287729528","52,77076735436404","38,21057099011218","52,433460886554464","56,455196971161484","77,348981991414","92,8818371206392"
64,2,"0,001",100,10,64,168,"0,2",22,32,DK1,2 years,2024-01-01,"62,06754783579557","267,91017775859575","220,93252282566033","62,06754783579557","256,24098005746015","220,9325228256603","62,06754783579556","64,37391164094421","52,77250903046061","38,20968683856357","52,4333556069831","56,45391812311501","77,34826992992085","92,88118368058159"
32,2,"0,001",100,10,64,168,"0,2",42,52,DK1,2 years,2024-01-01,"62,069009890778744","267,05952536760014","220,3165987174537","62,069009890778744","255,5706127741018","220,3165987174537","62,06900989077875","64,0868598405734","52,504714916899694","38,34502773565631","52,458432719044865","56,64970753097056","77,45713716241991","92,98118932988642"
64,2,"0,0005",100,10,64,168,"0,2",43,53,DK1,2 years,2024-01-01,"62,07040784147966","268,41547582572434","221,3038559015764","62,07040784147966","256,63788515851604","221,30385590157644","62,07040784147966","64,542638909636","52,93121938403714","38,14231990021321","52,42405586019053","56,34236147326081","77,28610028094901","92,8241590820709"
64,2,"0,0005",100,10,64,24,"0,0",43,53,DK1,2 years,2024-01-01,"62,070442646420744","268,41977675753424","221,30703054713655","62,070442646420744","256,641259573618","221,30703054713655","62,070442646420744","64,54405055574819","52,93256255790024","38,14182340277244","52,423976863974175","56,34142593095011","77,28557848673857","92,82368072686144"
64,2,"0,001",100,10,32,24,"0,2",11,21,DK1,2 years,2024-01-01,"62,07061945764329","266,7839518888882","220,11621675726605","62,07061945764329","255,35280610454024","220,11621675726607","62,07061945764328","63,991463212015304","52,414191785912394","38,39050394531136","52,47422945984079","56,71551203663746","77,49365647422132","93,01477928956436"
64,2,"0,001",100,10,32,168,"0,2",11,21,DK1,2 years,2024-01-01,"62,07075432670101","266,770715481495","220,10678310035922","62,07075432670101","255,34233606013052","220,1067831003592","62,070754326700985","63,9868284669389","52,40979381285033","38,39270989227754","52,47520123035517","56,718704335116165","77,4954271485834","93,0166154007855"
64,2,"0,001",100,10,32,168,"0,0",11,21,DK1,2 years,2024-01-01,"62,07077986410893","266,7684572741111","220,1051849238572","62,07077986410893","255,34054973054182","220,10518492385717","62,07077986410893","63,98603725862695","52,40904301249431","38,39308644264473","52,475375965196434","56,71924924634838","77,49572939149958","93,01693773195207"
128,2,"0,0005",100,10,32,24,"0,2",11,21,DK1,2 years,2024-01-01,"62,073248840386604","266,5491661047234","219,94882838481212","62,073248840386604","255,16697312142966","219,94882838481212","62,073248840386604","63,90851027316333","52,335474489307686","38,42993763267652","52,492457861093044","56,77257992487137","77,52529805755198","93,04848364404235"
128,2,"0,0005",100,10,32,24,"0,0",11,21,DK1,2 years,2024-01-01,"62,073315969241435","266,54317629181963","219,94452486133972","62,073315969241435","255,16222891551055","219,94452486133974","62,07331596924143","63,906373082685064","52,333446395759395","38,4309522421329","52,49292764928683","56,77404833640716","77,52611186800188","93,04935221041683"
32,2,"0,001",100,10,32,24,"0,2",21,31,DK1,2 years,2024-01-01,"62,08086114421994","265,89693050473875","219,4712524021083","62,08086114421994","254,64936717323738","219,4712524021083","62,08086114421995","63,66926875028474","52,10843673777531","38,543093673728414","52,54467854614499","56,93637317558383","77,61881682235645","93,14536030366585"
32,2,"0,001",100,10,32,168,"0,2",21,31,DK1,2 years,2024-01-01,"62,08091438533887","265,8930959493773","219,46841939901879","62,08091438533887","254,64631768995676","219,46841939901873","62,08091438533887","63,66782086478305","52,107062655287095","38,543776046949134","52,54499232731766","56,93736087213201","77,61944347868823","93,14594445221499"
32,2,"0,0005",100,10,32,168,"0,2",41,51,DK1,2 years,2024-01-01,"62,092436573157386","265,18030330588675","218,93462268053327","62,092436573157386","254,07815080165324","218,93462268053327","62,09243657315738","63,38941355911452","51,84892277102317","38,674357599524626","52,610593287318544","57,12659261946884","77,73939247037352","93,25778370527847"
64,2,"0,0005",100,10,32,168,"0,2",22,32,DK1,2 years,2024-01-01,"62,094608016814874","269,73484945546755","222,31745456661548","62,094608016814874","257,6701664276848","222,31745456661548","62,09460801681489","64,97917068985066","53,32654722416268","38,03504466902592","52,4253245485139","56,06540265105689","77,14831528405685","92,68245105103729"
64,2,"0,0005",100,10,32,24,"0,2",22,32,DK1,2 years,2024-01-01,"62,09478558869264","269,7427499547198","222,3235381004929","62,09478558869264","257,6763313509624","222,3235381004929","62,09478558869263","64,98168788938018","53,328820344627204","38,03444812226407","52,42556479280799","56,06380078784277","77,1475462905143","92,68163089341198"
128,2,"0,001",100,10,64,24,"0,0",11,21,DK1,2 years,2024-01-01,"62,10302214520189","264,72485062405195","218,59195428344728","62,10302214520189","253,71346786126045","218,59195428344722","62,1030221452019","63,201039356999516","51,68049991695315","38,76211629448934","52,671291383205684","57,253555940408006","77,81973325446558","93,33291886989196"
128,2,"0,001",100,10,32,24,"0,0",6,16,DK1,2 years,2024-01-01,"62,1883988317476","272,7659812899917","224,67610541119092","62,1883988317476","260,0231814143125","224,67610541119095","62,1883988317476","65,90050829250585","54,198823781982824","37,85737938208829","52,53940464956934","55,52260717878002","76,8732941399856","92,42677439732128"
128,1,"0,0005",100,10,32,24,"0,0",10,20,DK1,2 years,2024-01-01,"62,389190251635256","260,6349671841398","215,1725662430623","62,389190251635256","250,33287185767588","215,17256624306228","62,38919025163526","61,234055962425195","49,48805636073366","40,23719679437829","53,600221527156044","58,93709144161499","78,88039752566151","94,34731214947709"
128,1,"0,001",100,10,64,168,"0,0",11,21,DK1,2 years,2024-01-01,"62,394610255751026","259,37521451957554","214,2572789958961","62,394610255751026","249,0768052645685","214,25727899589606","62,39461025575103","60,94374638238324","48,94087004885266","40,19374533011252","53,711479286870144","59,26873450030828","79,07069973582392","94,63299650590642"
64,2,"0,0005",100,10,64,168,"0,0",38,48,DK1,2 years,2024-01-01,"62,59185555774599","259,99717229507417","214,75855565212285","62,59185555774599","249,75562761075176","214,75855565212285","62,591855557745994","60,845521960538164","48,88392453514791","40,96485676634476","53,950123598624586","59,47685662674927","79,20510015736274","94,81660525945442"
64,2,"0,0005",100,10,32,168,"0,0",19,29,DK1,2 years,2024-01-01,"62,727078479920465","259,7520448109123","214,6497721578398","62,727078479920465","249,51679122902155","214,64977215783983","62,727078479920465","60,63220075085246","48,58990533549289","41,40674049514389","54,19518098363317","59,76925678087232","79,38021364733324","95,11605136611531"
128,1,"0,001",100,10,32,168,"0,0",5,15,DK1,2 years,2024-01-01,"62,86587739954605","259,27346926179655","214,40481832046945","62,86587739954605","249,02150235762875","214,40481832046945","62,86587739954605","60,359219869180905","48,24098034200691","41,80116049426237","54,463748428715476","60,1149220148009","79,58246448210598","95,49864616574983"
64,1,"0,0005",100,10,64,168,"0,0",38,48,DK1,2 years,2024-01-01,"63,18568142210897","261,14395996997166","216,4913348814668","63,18568142210897","250,76721033737013","216,49133488146683","63,18568142210898","60,389173718376625","49,15182987353337","41,70791316318491","54,89947286015011","60,828565106319296","79,9996411722964","95,32317406090209"
128,1,"0,001",100,10,32,24,"0,0",29,39,DK1,2 years,2024-01-01,"63,19584883162167","228,89202418756975","194,09535559857832","63,19584883162167","221,36182744938978","194,09535559857832","63,19584883162167","60,87364642149416","48,72589440889996","35,99191960647451","52,51208023616086","65,45375278023124","79,7063395933487","99,10730877474226"
128,2,"0,001",100,10,32,168,"0,2",14,24,DK1,2 years,2024-01-01,"63,28743643296758","236,58872279688964","201,19338441342018","63,28743643296758","229,29423710742543","201,19338441342015","63,28743643296758","63,20914219515803","49,23343182681805","35,423146571024716","51,01857545086046","60,94425789444867","81,54725871072486","101,63624238173833"
128,2,"0,0005",100,10,32,168,"0,0",11,21,DK1,2 years,2024-01-01,"63,3562657798906","272,1230360927609","224,08994338608187","63,3562657798906","260,4399048842377","224,08994338608184","63,3562657798906","63,87909244375402","52,30755770841503","38,44389734137809","52,49891930786353","56,792783737172","77,64581180255144","101,92579811810008"
64,2,"0,0005",100,10,32,24,"0,0",18,28,DK1,2 years,2024-01-01,"63,53351444756508","259,5439251688992","214,79948653170922","63,53351444756508","249,08869674452876","214,7994865317092","63,53351444756508","59,61822685151029","47,383603359785766","43,88556448799632","55,686596171659204","61,185078652346334","80,29512016610491","96,68041144355276"
64,1,"0,001",100,10,64,168,"0,0",18,28,DK1,2 years,2024-01-01,"64,09232643063889","259,1660365498904","214,70137010835484","64,09232643063889","248,38101976785956","214,70137010835484","64,09232643063889","58,98272345981502","46,446288736920636","45,285458633009746","56,69835767730186","62,38556271636837","80,93995443716366","97,9079393538929"
32,2,"0,0005",100,10,32,24,"0,2",34,44,DK1,2 years,2024-01-01,"64,10917433489394","260,1450346621857","215,34318043605842","64,10917433489394","249,39189190421624","215,3431804360584","64,10917433489395","59,14576192611581","46,780766040026954","45,529227736117804","56,70114550740107","62,13806683559707","80,84638440477923","97,62286789421975"
32,2,"0,001",100,10,64,168,"0,0",34,44,DK1,2 years,2024-01-01,"64,19457083127027","260,26552314938317","215,4473332049735","64,19457083127027","249,46399324086025","215,4473332049735","64,19457083127027","59,082139407273814","46,70595334540934","45,759426571268776","56,84594752555938","62,283803100166786","80,92823059489866","97,75649527431509"
32,2,"0,001",100,10,32,168,"0,0",17,27,DK1,2 years,2024-01-01,"64,40132320464","260,58786062831126","215,71119981184316","64,40132320464","249,6647008772147","215,71119981184316","64,40132320464","58,9453737780445","46,5266880490041","46,315834598962674","57,196107765509566","62,62948558533967","81,12194154792081","98,07383110769864"
128,2,"0,0005",100,10,32,168,"0,2",24,34,DK1,2 years,2024-01-01,"64,54042805265715","232,48866985559218","196,759811809898","64,54042805265715","223,57642694441262","196,75981180989805","64,54042805265716","58,48232178128718","46,881545488879745","36,45643954900781","53,96263368851145","64,2402114068745","84,4568288099399","107,30301564409947"
