hidden_size,layers,learning_rate,max_epochs,patience,batch_size,sequence_length,dropout,best_epoch,epochs_trained,price_zone,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
64,2,"0,001",100,10,32,168,"0,2",15,25,DK1,2 years,2024-01-01,"66,53160774981646","249,5174077959041","206,3186289778315","66,53160774981646","235,2432505470951","206,31862897783154","66,53160774981646","59,527435278924244","50,821432093095","40,902847088276005","56,793085684852954","66,20796712833612","91,73961358488272","99,72887339034816"
128,1,"0,0005",100,10,32,168,"0,0",30,40,DK1,2 years,2024-01-01,"66,92198369824249","256,9494987164612","208,80142268763353","66,92198369824249","240,40753309007982","208,80142268763353","66,92198369824249","58,30699629511617","49,91960607178523","42,23499045433147","57,4366553340293","69,68072027465622","92,55744056943168","98,31747688834734"
128,2,"0,001",100,10,32,168,"0,0",11,21,DK1,2 years,2024-01-01,"67,17081552950428","254,61019447082452","210,91571671160887","67,17081552950428","237,76634233059787","210,91571671160887","67,17081552950428","59,26176675832894","47,802217938524436","41,2907846708537","59,84239267317537","70,42550670862757","92,40967347931556","99,16336647770434"
128,2,"0,0005",100,10,64,168,"0,2",29,39,DK1,2 years,2024-01-01,"67,17277544733972","241,71962258202817","199,87422109305624","67,17277544733972","228,0984067745055","199,8742210930563","67,1727754473397","51,15042156815346","51,89295165035128","45,029542652045635","61,93159244291832","69,33980201699804","91,51004457503481","99,35507322587637"
128,1,"0,0005",100,10,32,24,"0,0",18,28,DK1,2 years,2024-01-01,"67,19744621716332","263,5849111292476","220,5609627579891","67,19744621716332","248,34990935545127","220,56096275798913","67,19744621716333","59,73315069614164","53,086214546960946","39,03110719056038","55,66625373780404","67,30338909348065","93,92376598941922","101,63824226577637"
128,2,"0,001",100,10,32,168,"0,2",12,22,DK1,2 years,2024-01-01,"67,24979042297132","258,07838222951347","209,0789986321711","67,24979042297132","243,5044688689592","209,07899863217114","67,24979042297132","59,209619192699506","52,09239167318133","47,00673039339757","58,82779837789134","66,81979018901424","84,75088511782943","102,04131801678577"
64,1,"0,0005",100,10,32,168,"0,0",59,69,DK1,2 years,2024-01-01,"67,59044187045572","259,9203989711056","210,9919570179868","67,59044187045572","241,89176935598175","210,99195701798683","67,5904418704557","59,88523127920814","50,65608536440155","39,7456875225659","58,586097637826526","75,69366228805353","91,22340414867934","97,34292485245493"
32,2,"0,0005",100,10,32,168,"0,0",52,62,DK1,2 years,2024-01-01,"67,71222773745569","241,10382913443357","198,85543251348423","67,71222773745569","226,08908520575352","198,8554325134842","67,71222773745569","55,76368106957502","48,815618050596896","43,441883799977575","60,47674528145843","73,48755851859738","92,12313134970127","99,87697609228334"
128,2,"0,001",100,10,32,24,"0,0",7,17,DK1,2 years,2024-01-01,"67,72528594876101","251,6434812108633","211,22158014356842","67,72528594876101","237,19153337235977","211,22158014356842","67,725285948761","56,62021510943525","47,33668515654201","41,38535293574178","60,625868472775096","69,5830116633286","95,31642944598477","103,20943885751957"
32,2,"0,001",100,10,64,168,"0,2",49,59,DK1,2 years,2024-01-01,"67,76357331802404","248,8710807474772","204,47442811443003","67,76357331802404","234,8364587729557","204,47442811443005","67,76357331802403","57,046626137985626","46,49948659179124","43,793911541936744","59,46501452499058","71,14760226304303","91,96125509625446","104,43111707016658"
128,1,"0,001",100,10,32,168,"0,0",9,19,DK1,2 years,2024-01-01,"67,97141708294859","249,24379926633893","207,09803777664266","67,97141708294859","236,3582015671554","207,09803777664268","67,97141708294858","58,92967126752261","53,886811137196105","42,000209924389665","62,17443012618389","64,34043947700184","90,02325507743546","104,44510257091049"
128,1,"0,001",100,10,64,24,"0,0",16,26,DK1,2 years,2024-01-01,"68,04680926814099","246,268698901873","207,36075116139605","68,04680926814099","233,8195006735728","207,36075116139605","68,04680926814099","55,27377870388027","51,57289891311002","40,73391322552784","62,10601485121188","71,25413391947689","93,44980776304811","101,9371175007319"
32,2,"0,001",100,10,32,168,"0,0",36,46,DK1,2 years,2024-01-01,"68,0517968599475","247,41992451965245","205,16207962664103","68,0517968599475","234,76553090604057","205,16207962664106","68,05179685994749","62,97270102744899","51,61000620120424","41,99704034124409","61,00126248345974","76,58132455411682","84,83925340099398","97,36099001116459"
32,1,"0,0005",100,10,32,168,"0,0",51,61,DK1,2 years,2024-01-01,"68,12507346072394","251,15826008955236","211,69148115810265","68,12507346072394","237,70863876450804","211,6914811581027","68,12507346072393","55,76908440463281","49,11385988077577","43,09894544296773","61,55334688036307","73,31222538470314","92,94061014633905","101,08744208528591"
128,2,"0,0005",100,10,64,168,"0,0",34,44,DK1,2 years,2024-01-01,"68,16823268984312","244,12624952667005","199,58070978150457","68,16823268984312","228,3162877528248","199,58070978150462","68,16823268984312","55,43368995267517","48,91638841347785","42,26053753320523","60,48074328840673","72,304229964074","91,26034426137831","106,52169541568455"
32,1,"0,001",100,10,32,168,"0,0",31,41,DK1,2 years,2024-01-01,"68,30594180309524","254,80647206698058","211,70879748017012","68,30594180309524","239,95211715320374","211,70879748017018","68,30594180309524","57,22317418434311","49,64411119192829","41,06928478206625","60,612001395698684","73,26836387310308","92,88351408570557","103,44114310882163"
128,1,"0,001",100,10,64,168,"0,0",22,32,DK1,2 years,2024-01-01,"68,35067470723237","249,1924900191716","203,4964260672326","68,35067470723237","232,62451829093672","203,49642606723265","68,35067470723239","53,609791985167675","54,028012193732636","41,68847509370184","58,45340724262593","72,06871952752387","92,5371311780374","106,06918572983734"
32,2,"0,001",100,10,32,24,"0,0",39,49,DK1,2 years,2024-01-01,"68,39527310437067","265,67494444532645","216,59498223723455","68,39527310437067","248,15013695591688","216,59498223723457","68,39527310437067","62,13452257555099","53,022202396362246","42,293360272596516","62,815271387300015","78,64376931340982","85,833303449501","94,02448233587411"
64,2,"0,0005",100,10,32,168,"0,2",33,43,DK1,2 years,2024-01-01,"68,43399273606337","245,92680033736468","202,42282245042693","68,43399273606337","230,65360902919824","202,42282245042696","68,43399273606337","55,48566658395933","50,72845632729579","40,932438788112165","59,119035743967316","69,1959544584083","93,96836884691501","109,60802840378577"
128,2,"0,0005",100,10,32,24,"0,0",21,31,DK1,2 years,2024-01-01,"68,58452261585552","264,6807393826774","215,48685755921153","68,58452261585552","246,9864032162116","215,48685755921156","68,5845226158555","59,54924862945565","48,686324015950525","41,11116732976075","60,39248756249423","76,52376347187591","91,5424033683436","102,28626393310793"
128,1,"0,001",100,10,32,24,"0,0",19,29,DK1,2 years,2024-01-01,"68,61011362997321","277,63940085154303","227,4426297420647","68,61011362997321","259,5049675138513","227,44262974206472","68,6101136299732","62,503872692018895","51,16595049830573","43,038369362072864","58,25460491166299","72,156668286107","91,19531831533001","101,95601134431499"
32,2,"0,0005",100,10,32,168,"0,2",64,74,DK1,2 years,2024-01-01,"68,62205750092161","258,83903970452695","209,90236302327256","68,62205750092161","242,4342288489989","209,90236302327256","68,6220575009216","59,94152049065713","50,88269200613166","38,157781889175766","57,74718030910909","69,311313415407","95,83093914764359","108,48297524832705"
64,2,"0,0005",100,10,64,168,"0,2",63,73,DK1,2 years,2024-01-01,"68,68952365811282","254,81234431282456","208,04044858420997","68,68952365811282","236,2982996120329","208,04044858421","68,68952365811283","57,332131584344346","51,71698508019405","38,40552672944991","59,67013164057514","69,72905077362913","95,53256933524827","108,44027046334894"
32,2,"0,001",100,10,64,168,"0,0",50,60,DK1,2 years,2024-01-01,"68,89244341916432","244,9286335641545","203,4749025021464","68,89244341916432","230,64583496292224","203,47490250214636","68,89244341916432","55,75846340475503","47,77388132216085","47,841745945863664","66,24733023555842","77,90991348938998","89,51668282900722","97,19908670741522"
128,2,"0,0005",100,10,32,24,"0,2",13,23,DK1,2 years,2024-01-01,"68,95354796881682","252,16560335888906","211,61702272924578","68,95354796881682","237,91603115209318","211,61702272924578","68,95354796881682","56,10318339647168","46,552623222921035","42,976141946996336","62,49099742681874","71,45248934177653","96,87559589959005","106,22380454714344"
64,1,"0,001",100,10,32,24,"0,0",14,24,DK1,2 years,2024-01-01,"68,97187295241643","251,54978428514525","209,70520508321107","68,97187295241643","235,55360434152226","209,7052050832111","68,97187295241643","54,91571903572109","49,59982726056705","40,2908441458275","58,14954062324016","70,53695279474685","99,59156826678884","109,71865854002351"
32,1,"0,0005",100,10,64,168,"0,0",97,100,DK1,2 years,2024-01-01,"69,09700488879902","254,9661372956727","213,489111126031","69,09700488879902","239,4187053093959","213,48911112603096","69,09700488879902","55,774581448923634","48,151296462865716","43,15182243197933","59,803738742344315","75,84933284799901","97,61189796525085","103,33636432223034"
128,2,"0,001",100,10,64,24,"0,2",15,25,DK1,2 years,2024-01-01,"69,1452696928922","255,2881927057585","214,11194435214375","69,1452696928922","241,03427473174594","214,11194435214378","69,14526969289221","57,283657913488234","47,3601617970462","42,179855231497754","61,40662537290096","70,70638651950335","96,64555958489235","108,4346414309166"
32,1,"0,0005",100,10,64,24,"0,0",85,95,DK1,2 years,2024-01-01,"69,15343355370435","261,64892125116216","219,66161130440747","69,15343355370435","246,6073436808983","219,66161130440744","69,15343355370435","58,51792992183327","46,86088493237904","42,38788137083707","59,13902270203693","71,29200290710375","98,47897006363806","107,39734297810229"
64,1,"0,0005",100,10,32,24,"0,0",31,41,DK1,2 years,2024-01-01,"69,1578338733259","249,56533810960812","209,8705094490749","69,1578338733259","235,7878760074371","209,87050944907492","69,15783387332591","55,03725754177557","50,83116904797321","41,53565061231495","60,015348886969996","73,43377441731978","96,83525563303034","106,41638097389747"
