fe_latent_dim,fe_dense_layers,enc_hidden_size,enc_layers,dec_hidden_size,encoder_hidden_size,layers,decoder_hidden_size,learning_rate,max_epochs,patience,batch_size,sequence_length,dropout,best_epoch,epochs_trained,price_zone,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
48,1,32,1,48,32,1,48,"0,001",60,10,32,24,"0,0",13,23,DK1,2 years,2024-01-01,"64,9661757668978","248,33807353571183","203,64787723717228","64,9661757668978","235,70673602981668","203,64787723717228","64,9661757668978","58,77397645005644","41,80538610123489","46,73798691012402","57,49262493660666","66,02704088583346","83,71966171678845","100,20655336764071"
48,1,32,1,48,32,1,48,"0,001",60,10,32,168,"0,0",16,26,DK1,2 years,2024-01-01,"65,13113450230439","237,95384770541864","196,25473607049452","65,13113450230439","229,9544315248015","196,25473607049452","65,13113450230439","64,20080436492583","42,458225782783984","38,830595409954604","54,601942384704095","66,16789712273345","86,0107689181532","103,64770753287554"
48,1,16,1,32,16,1,32,"0,001",60,10,32,24,"0,0",56,60,DK1,2 years,2024-01-01,"65,79625295789472","243,98048060048504","204,88081837334624","65,79625295789472","232,64858119181125","204,88081837334622","65,79625295789474","60,830447326890685","41,70867965112448","36,926446372576734","57,40081150052438","69,34105033708323","85,72069443994873","108,64564107711485"
48,1,16,2,32,16,2,32,"0,001",60,10,32,168,"0,2",26,36,DK1,2 years,2024-01-01,"66,54131833553991","238,22121619620668","199,24794004591172","66,54131833553991","227,85052203464707","199,24794004591166","66,54131833553991","61,31375632254837","44,00035897925163","38,80808668720369","56,70500251139168","71,00337697269131","87,33108329011202","106,62756358558069"
48,1,48,2,16,48,2,16,"0,001",60,10,64,168,"0,2",59,60,DK1,2 years,2024-01-01,"66,90449441510044","251,86521931889285","207,3047388738603","66,90449441510044","240,52333996452185","207,30473887386034","66,90449441510044","60,18671545650568","44,40328375602757","55,37529712405009","64,45279992278405","65,66622970978564","84,20990260174165","94,03723233480846"
48,1,16,2,32,16,2,32,"0,001",60,10,32,24,"0,0",36,46,DK1,2 years,2024-01-01,"67,01561395071033","252,57187490489383","208,16563535062699","67,01561395071033","238,84948076909512","208,165635350627","67,01561395071033","61,21221233849732","46,96301678958693","39,640465235628795","55,62116586240998","72,73235579959402","81,8024120630146","111,13766956624073"
48,1,16,1,48,16,1,48,"0,001",60,10,64,24,"0,0",27,37,DK1,2 years,2024-01-01,"67,14270167707134","250,31077510809632","208,1702177852268","67,14270167707134","240,1597010857384","208,1702177852268","67,14270167707136","67,23716203111834","44,022243128908194","43,28012493582799","58,40268888561911","65,65689742276467","85,93845711889813","105,46133821636296"
48,1,16,1,16,16,1,16,"0,001",60,10,32,168,"0,0",33,43,DK1,2 years,2024-01-01,"67,46166128957533","252,7080158155192","206,6974203999351","67,46166128957533","240,38964465460367","206,69742039993517","67,46166128957533","57,55359856450097","45,667027996210294","49,08143904059642","61,69908829297448","67,94904172166568","82,69847956770433","107,5829538433752"
48,1,16,1,48,16,1,48,"0,001",60,10,64,168,"0,0",26,36,DK1,2 years,2024-01-01,"67,92756810733226","248,79803270057715","206,881508049965","67,92756810733226","239,43346599354476","206,88150804996505","67,92756810733226","64,48761614008532","45,30042965516722","43,16296100037735","58,943477029281894","69,10925911806854","88,2587812910328","106,23045251731268"
48,1,48,2,32,48,2,32,"0,001",60,10,32,168,"0,2",60,60,DK1,2 years,2024-01-01,"68,2757973559715","254,2185779851571","217,88232169183965","68,2757973559715","246,50137026251076","217,88232169183968","68,2757973559715","70,0185066384771","51,44642767118057","39,37691022634191","55,11755055566641","66,2704008255877","85,74508070309366","109,9557048714532"
48,1,48,1,32,48,1,32,"0,001",60,10,32,24,"0,0",24,34,DK1,2 years,2024-01-01,"68,34820635592075","251,59453943362496","209,6916247071046","68,34820635592075","239,98169731176353","209,69162470710464","68,34820635592077","59,902227380224105","45,55033920953272","40,03549784588041","55,136325878987385","72,4209472194621","89,91512835963039","115,4769785977282"
48,1,48,1,48,48,1,48,"0,001",60,10,32,24,"0,0",14,24,DK1,2 years,2024-01-01,"68,49309338793543","247,85865779681325","206,20455835802628","68,49309338793543","237,00482069559706","206,20455835802622","68,49309338793543","61,931515639324","43,27966676549435","43,682274473261266","62,158141149944626","68,78997682543857","95,3616002926927","104,24847856939253"
48,1,16,1,48,16,1,48,"0,001",60,10,32,24,"0,0",12,22,DK1,2 years,2024-01-01,"68,49716649513165","252,44274682992446","208,23482932032414","68,49716649513165","240,04561004040895","208,2348293203241","68,49716649513165","60,24386734368025","42,64500578350625","47,96131324161","60,77608381444721","72,01474003465378","90,99322644494714","104,84592880307684"
48,1,48,1,48,48,1,48,"0,001",60,10,64,168,"0,0",41,51,DK1,2 years,2024-01-01,"68,7365804063376","250,75209899800586","208,00360300900152","68,7365804063376","239,23929769240743","208,00360300900147","68,73658040633761","61,70596204811778","44,38737166003741","41,070573766595935","60,59978257925714","74,07310063992227","92,81889314717723","106,5003790032554"
48,1,16,1,32,16,1,32,"0,001",60,10,64,24,"0,0",35,45,DK1,2 years,2024-01-01,"69,0355408909483","256,1387279820202","213,7931168258271","69,0355408909483","242,5616291629054","213,7931168258271","69,0355408909483","52,77903499769163","44,19252057711154","48,93149282503212","63,68401577723747","74,85735008542929","93,19022392712981","105,61414804700627"
48,1,48,1,32,48,1,32,"0,001",60,10,64,168,"0,0",35,45,DK1,2 years,2024-01-01,"69,09874163038276","257,462794373104","214,84599647461954","69,09874163038276","244,61478090031568","214,84599647461954","69,09874163038275","56,08537816291654","43,52216954548621","48,60056000168959","62,80244099134066","73,22390481996104","89,30239868210995","110,15433920917528"
48,1,16,2,32,16,2,32,"0,001",60,10,32,168,"0,0",30,40,DK1,2 years,2024-01-01,"69,13124764194717","252,0974749662725","205,3095753515091","69,13124764194717","237,0134567101462","205,30957535150907","69,13124764194717","60,507821399107215","42,54450749110135","45,663581928286206","63,474902883455755","78,0666592364323","87,00787218858942","106,6533883666579"
48,1,48,2,48,48,2,48,"0,001",60,10,64,24,"0,2",23,33,DK1,2 years,2024-01-01,"69,25906423424236","257,78015405612575","215,58426697890724","69,25906423424236","246,19469036282132","215,58426697890732","69,25906423424236","62,04258891491123","45,60522145655249","47,152680878059904","60,72278871172153","69,72931662721626","88,22272511566209","111,33812793557306"
48,1,48,2,16,48,2,16,"0,001",60,10,32,168,"0,0",38,48,DK1,2 years,2024-01-01,"69,37358325785024","249,06842452083038","207,83753761180495","69,37358325785024","238,34772046106667","207,83753761180495","69,37358325785023","61,772248344699776","45,26870637004978","42,928744077573924","65,12742513883013","71,8466144116255","89,43202461454571","109,23931984762683"
48,1,48,2,48,48,2,48,"0,001",60,10,32,24,"0,0",30,40,DK1,2 years,2024-01-01,"69,7940622583077","248,90257158257512","205,9024619940042","69,7940622583077","236,35839322452117","205,9024619940042","69,79406225830772","68,55413033513852","42,437122759952445","34,58933629690995","55,47136246447688","77,69037583525615","90,94074518487861","118,87536293154139"
48,1,32,2,48,32,2,48,"0,001",60,10,64,168,"0,2",31,41,DK1,2 years,2024-01-01,"70,2135220119268","257,6455995366872","216,32136402141856","70,2135220119268","246,61593453898215","216,32136402141856","70,21352201192681","65,08297905149887","47,349419304670505","39,88380409673337","59,7958656207651","71,78986456596034","88,66604613309833","118,92667531076108"
48,1,48,1,48,48,1,48,"0,001",60,10,64,24,"0,0",22,32,DK1,2 years,2024-01-01,"70,6824507642296","265,24683998022596","219,41561576687604","70,6824507642296","250,33082957025326","219,41561576687604","70,6824507642296","60,48007802148601","43,75353125366398","50,716823343334006","65,81422798558961","77,02508694286675","89,94276154222213","107,04464626044474"
48,1,32,1,32,32,1,32,"0,001",60,10,64,168,"0,0",53,60,DK1,2 years,2024-01-01,"70,74388384108443","253,53019096304092","210,8821415699982","70,74388384108443","239,83018298028497","210,88214156999825","70,74388384108444","61,626387624160856","42,343780478085584","41,940573999527764","65,3187167613288","77,91100002968474","93,37008276072847","112,69664523407482"
48,1,16,2,48,16,2,48,"0,001",60,10,32,168,"0,2",34,44,DK1,2 years,2024-01-01,"70,88769839376411","251,45640017976666","206,59591444580866","70,88769839376411","239,42264751051152","206,5959144458087","70,88769839376411","65,06872995813517","43,200563309211915","43,78807547709927","63,09280159868159","74,96050455826318","90,78277780690206","115,32043604805561"
48,1,48,1,16,48,1,16,"0,001",60,10,32,168,"0,0",41,51,DK1,2 years,2024-01-01,"70,98984122691058","256,8039406764037","212,16029350523996","70,98984122691058","246,32250039007354","212,1602935052399","70,98984122691058","63,997601833840875","46,16239712482761","39,985968917743435","65,72370975879855","77,57784117944185","92,0557884429611","111,4255813307607"
48,1,16,2,16,16,2,16,"0,001",60,10,32,24,"0,0",36,46,DK1,2 years,2024-01-01,"71,09442134260075","260,1533253268715","214,19964728961878","71,09442134260075","247,30833760958873","214,19964728961887","71,09442134260074","58,55894112513711","45,591332739222885","44,3542625360026","62,897736479139034","80,63590882461693","96,75950119527896","108,86326649880768"
48,1,48,2,32,48,2,32,"0,001",60,10,64,24,"0,2",33,43,DK1,2 years,2024-01-01,"71,26603766042278","264,86960656815484","215,95956821153658","71,26603766042278","251,40068158246387","215,95956821153663","71,26603766042277","71,43539288454474","53,861694164530284","48,15963230452326","62,03817336953554","70,08360660437557","88,58371673235709","104,70004756309301"
48,1,48,1,32,48,1,32,"0,001",60,10,64,24,"0,0",45,55,DK1,2 years,2024-01-01,"71,33848567023144","258,26606473950096","215,8435459185862","71,33848567023144","246,13539538513356","215,84354591858622","71,33848567023142","62,7709877919813","43,40832383601522","43,51486489460201","64,20238782931993","76,26596541877426","92,76725720130639","116,43961271962087"
48,1,16,2,32,16,2,32,"0,001",60,10,64,168,"0,0",34,44,DK1,2 years,2024-01-01,"71,35284706284683","265,2125101952568","218,76055052588583","71,35284706284683","252,24239554578847","218,7605505258858","71,35284706284682","63,20240889832396","44,77377272345393","47,24596825123815","67,41621634238234","75,07086110457405","88,09528536432292","113,6654167556324"
48,1,32,1,32,32,1,32,"0,001",60,10,64,24,"0,0",50,60,DK1,2 years,2024-01-01,"71,4334168568049","255,4397881756825","209,34113202270981","71,4334168568049","240,62706456699115","209,3411320227098","71,4334168568049","62,563635101060925","45,35312559163898","49,49936470892461","67,04761572878957","71,91770240504059","92,35333394184492","111,2991405203347"
48,1,32,1,48,32,1,48,"0,001",60,10,64,168,"0,0",27,37,DK1,2 years,2024-01-01,"71,44577543420401","265,5905506144494","216,01945041615113","71,44577543420401","252,83924719306376","216,01945041615113","71,44577543420401","62,945706534298694","42,477401550259266","49,08548829033154","71,26660953249988","78,07442724570431","94,11139598535281","102,15939890098157"
48,1,48,2,48,48,2,48,"0,001",60,10,64,24,"0,0",49,59,DK1,2 years,2024-01-01,"71,61098153680283","264,68915668040677","218,25867043090673","71,61098153680283","250,18028765155864","218,25867043090673","71,61098153680284","62,853596901091166","42,24246388737688","43,17458185055668","66,1953049751791","75,247429311079","92,76924675601514","118,79424707632185"
48,1,16,1,16,16,1,16,"0,001",60,10,64,24,"0,0",59,60,DK1,2 years,2024-01-01,"71,69392365977382","269,24463555124345","226,03685549891736","71,69392365977382","254,56000937367315","226,03685549891733","71,6939236597738","58,683524659635324","44,16548377906388","54,7312350428851","67,19960110219495","74,87582078218189","90,83550612269298","111,36629412976251"
48,1,16,1,32,16,1,32,"0,001",60,10,64,168,"0,0",39,49,DK1,2 years,2024-01-01,"71,79187961973565","252,62377532446305","208,2382445129812","71,79187961973565","238,77584130983976","208,2382445129812","71,79187961973564","60,06554004574898","44,10643104414025","43,07313106952779","65,31200871170397","79,00461410467862","98,53322606500996","112,44820629733994"
48,1,48,2,32,48,2,32,"0,001",60,10,32,168,"0,0",43,53,DK1,2 years,2024-01-01,"71,82001293474084","254,07009641358823","209,16203319651686","71,82001293474084","240,55303686666898","209,16203319651686","71,82001293474083","64,21383513131167","43,83749092398217","40,246772773635314","64,33018368568378","75,92995215599528","93,6405656609115","120,54129021166614"
48,1,32,2,32,32,2,32,"0,001",60,10,32,24,"0,2",42,52,DK1,2 years,2024-01-01,"71,92268584669743","255,07887956101763","213,3557475868203","71,92268584669743","243,1193018248618","213,3557475868204","71,92268584669742","64,92063977890083","44,58246165638581","45,93241253085341","55,892743131370096","80,22040340878225","92,87968554596056","119,03045487462904"
48,1,16,2,48,16,2,48,"0,001",60,10,32,168,"0,0",25,35,DK1,2 years,2024-01-01,"72,06583366219374","262,8698828975908","218,77902469513376","72,06583366219374","249,66495812462364","218,77902469513376","72,06583366219375","62,32146645726818","44,8597674958105","36,88245926520123","63,97416127652443","77,45310510255067","96,95499087207084","122,01488516593037"
48,1,32,2,32,32,2,32,"0,001",60,10,32,168,"0,0",34,44,DK1,2 years,2024-01-01,"72,45802739824089","263,26586759220993","221,33094001190966","72,45802739824089","250,58592643674683","221,3309400119097","72,45802739824089","69,6916786704009","45,93539740470164","38,470252963799","59,87921520890586","76,15587643759581","96,33699498474625","120,73677611753672"
48,1,16,2,48,16,2,48,"0,001",60,10,32,24,"0,0",23,33,DK1,2 years,2024-01-01,"72,83154373065591","257,64695141353525","212,1948492127791","72,83154373065591","243,5175587912936","212,19484921277908","72,83154373065591","71,51515363280475","42,37921395296355","40,25986219899132","63,03716358040129","78,61622010764425","87,2473320170069","126,76586062477931"
48,1,32,1,32,32,1,32,"0,001",60,10,32,168,"0,0",25,35,DK1,2 years,2024-01-01,"73,00022502032344","258,6495636188307","217,69832547915178","73,00022502032344","246,80062705959955","217,6983254791518","73,00022502032344","61,97180362011808","44,81838985825744","45,71269626690028","63,700715184996625","73,87161117566443","96,20705515962014","124,71930387670712"
48,1,32,1,16,32,1,16,"0,001",60,10,32,24,"0,0",31,41,DK1,2 years,2024-01-01,"73,01964152101255","263,0968919824817","219,95058596039382","73,01964152101255","248,6787082520352","219,95058596039377","73,01964152101255","57,24988705723336","43,92725622846107","50,67552488189766","62,7992747787637","76,71661861624031","105,06143716967595","114,70749191481576"
48,1,48,2,32,48,2,32,"0,001",60,10,64,24,"0,0",40,50,DK1,2 years,2024-01-01,"73,11770086141938","265,20480774636576","222,74225013186208","73,11770086141938","252,86006738894145","222,7422501318621","73,11770086141938","58,11404101422456","47,83226711661267","45,69618736632814","67,1667559119369","79,25130275936661","93,07166666941657","120,69168519205019"
48,1,48,2,48,48,2,48,"0,001",60,10,32,168,"0,2",27,37,DK1,2 years,2024-01-01,"73,15806997242186","254,1853983702457","206,1180391047763","73,15806997242186","236,64702363619247","206,11803910477627","73,15806997242184","64,75999898186596","40,45546956676436","40,490616195926485","62,21714062970165","75,81766871174815","96,71387977403406","131,65171594691233"
48,1,16,2,48,16,2,48,"0,001",60,10,64,24,"0,2",32,42,DK1,2 years,2024-01-01,"73,27827952887958","259,01289249698624","212,81406584891732","73,27827952887958","244,39722651130495","212,81406584891732","73,2782795288796","56,08698855298407","40,27414871061523","45,71770362673586","68,0299645616465","83,82553886410147","95,0086318564336","124,00498052964045"
48,1,16,1,32,16,1,32,"0,001",60,10,32,168,"0,0",24,34,DK1,2 years,2024-01-01,"73,4363574088514","271,00241187974876","226,93153434844317","73,4363574088514","256,27837280907346","226,9315343484432","73,43635740885142","63,72838121866451","43,45644918620683","46,78917283140603","64,63159820243953","84,88518562822502","92,99542104622827","117,56829374878967"
48,1,48,2,16,48,2,16,"0,001",60,10,64,24,"0,0",57,60,DK1,2 years,2024-01-01,"73,57890391266278","271,39387644693784","225,30608760763175","73,57890391266278","256,4524109515356","225,30608760763178","73,57890391266278","61,54788110679003","44,72061449950718","54,47523021714421","67,70499976533539","79,90151601403066","100,28846840219586","106,41361738363614"
48,1,48,1,16,48,1,16,"0,001",60,10,64,168,"0,0",60,60,DK1,2 years,2024-01-01,"73,62503884654191","270,3023537200998","227,337428700632","73,62503884654191","256,06647188430355","227,33742870063202","73,62503884654193","58,675679424034236","43,765266040489706","53,36943315180937","68,63132244564915","79,43442259168705","96,64130130330746","114,85784696881652"
48,1,48,2,16,48,2,16,"0,001",60,10,32,24,"0,0",42,52,DK1,2 years,2024-01-01,"73,71973357721996","258,0129614419833","211,0878214617079","73,71973357721996","243,16360909791","211,08782146170793","73,71973357721997","66,30461835136418","45,9269246813357","48,653635014588474","60,94056856439242","80,94069500044176","96,1670287987198","117,10466462969741"
48,1,16,2,16,16,2,16,"0,001",60,10,32,24,"0,2",38,48,DK1,2 years,2024-01-01,"73,74821543095138","268,89678518392196","224,3248530398983","73,74821543095138","254,07655843477323","224,32485303989824","73,74821543095138","67,93832743814573","46,767151419209","43,05389290006776","63,34235534187294","72,59001429741177","93,65565823853144","128,89010838142102"
48,1,32,2,48,32,2,48,"0,001",60,10,32,168,"0,0",38,48,DK1,2 years,2024-01-01,"73,91807966330825","260,1530605509623","214,56824235564315","73,91807966330825","249,08329804558835","214,56824235564315","73,91807966330825","69,67663647568718","41,95808551961673","41,39570698878196","62,66995392797803","79,61630559481821","89,23419675123756","132,87567238503811"
48,1,32,2,16,32,2,16,"0,001",60,10,64,168,"0,0",60,60,DK1,2 years,2024-01-01,"73,94196028748333","276,2036607072698","229,69629010812827","73,94196028748333","261,1022542389004","229,69629010812827","73,94196028748333","64,84154231147302","45,578082497478306","53,192771985236085","75,63591224899056","83,06442963302135","91,82075597885168","103,46022735733226"
48,1,32,1,32,32,1,32,"0,001",60,10,32,24,"0,0",24,34,DK1,2 years,2024-01-01,"74,06663471100278","259,4898107965082","214,1874986718463","74,06663471100278","246,65613658524651","214,1874986718463","74,06663471100278","61,127103865940576","52,698582378750686","46,15242658895435","64,75328419510971","81,74446930424394","93,34725501580833","118,64332162821192"
48,1,48,1,16,48,1,16,"0,001",60,10,32,24,"0,0",32,42,DK1,2 years,2024-01-01,"74,09733772081167","273,9017245817469","226,024476914479","74,09733772081167","257,60970985730086","226,02447691447904","74,09733772081167","63,58940856416147","44,79991203406332","50,75943079007791","63,62521382871794","83,29956944574431","98,38522048361862","114,22260889929807"
48,1,16,2,32,16,2,32,"0,001",60,10,64,24,"0,0",41,51,DK1,2 years,2024-01-01,"74,31187643055338","262,7908995797335","216,68697898149443","74,31187643055338","247,14374717826144","216,6869789814944","74,31187643055338","65,07703080976526","47,890493678131804","50,22143409136829","65,6522134015736","85,15139974328676","92,48167478711576","113,70888850263216"
48,1,48,2,16,48,2,16,"0,001",60,10,64,168,"0,0",60,60,DK1,2 years,2024-01-01,"74,32136346346155","269,9110109242848","221,63411096293095","74,32136346346155","255,12823766853538","221,63411096293095","74,32136346346155","65,4739961232825","45,27528396933428","52,91942384015878","78,38850473692271","79,8504806487107","92,21314998148206","106,12870494433982"
48,1,16,2,32,16,2,32,"0,001",60,10,64,168,"0,2",51,60,DK1,2 years,2024-01-01,"74,5572389319835","269,03220494955355","225,18608238999556","74,5572389319835","256,9897404347972","225,1860823899956","74,5572389319835","65,5312697122632","50,736108713867715","37,89551727229522","56,96128853895093","76,21955040211812","100,07111556538506","134,48582231900437"
48,1,16,2,32,16,2,32,"0,001",60,10,64,24,"0,2",31,41,DK1,2 years,2024-01-01,"74,5977096403559","274,4873778398875","226,12114962165788","74,5977096403559","261,52957721426475","226,12114962165788","74,5977096403559","69,60013844909277","46,1959492759302","54,00885546237331","72,6190296093538","79,28938340684807","94,46925604214086","106,00135523675232"
48,1,32,1,16,32,1,16,"0,001",60,10,32,168,"0,0",31,41,DK1,2 years,2024-01-01,"74,75435335214794","273,2659496745709","227,8500776887185","74,75435335214794","258,85369162985086","227,85007768871853","74,75435335214793","60,57528476927317","44,976168834980214","52,49530367858858","68,41852235595786","82,24487552092242","98,76002107600961","115,81029722930376"
48,1,32,1,16,32,1,16,"0,001",60,10,64,168,"0,0",60,60,DK1,2 years,2024-01-01,"74,7863933573162","273,2013066823033","227,5857343886337","74,7863933573162","259,436200666101","227,58573438863368","74,7863933573162","59,49843729834687","46,65732347891844","54,58862827383026","72,61039453493811","80,90006860336693","93,04206659025425","116,2078347215586"
48,1,48,2,32,48,2,32,"0,001",60,10,32,24,"0,0",15,25,DK1,2 years,2024-01-01,"74,83118897154017","272,6363686861329","226,74181462594493","74,83118897154017","257,46865293230667","226,74181462594495","74,83118897154019","60,758011853892796","45,19981617084689","55,8840786496369","71,94867456730765","83,6234302372786","95,08754690567207","111,31676441614633"
48,1,32,2,32,32,2,32,"0,001",60,10,32,24,"0,0",17,27,DK1,2 years,2024-01-01,"75,28422374748483","269,8532297070676","225,83034643048305","75,28422374748483","255,70790131481044","225,83034643048308","75,28422374748484","60,29467863303487","46,055551024226105","50,514904983017864","74,02615025690324","83,6110890185978","96,15194202468192","116,33525029193206"
