fe_latent_dim,fe_dense_layers,enc_hidden_size,enc_layers,dec_hidden_size,dec_layers,encoder_dropout,decoder_dropout,encoder_hidden_size,encoder_layers,decoder_hidden_size,decoder_layers,learning_rate,max_epochs,patience,batch_size,sequence_length,best_epoch,epochs_trained,price_zone,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
33,1,48,1,33,2,"0,0","0,2",48,1,33,2,"0,0005",60,20,32,24,53,60,DK1,2 years,2024-01-01,"68,83784113505891","247,97570119347503","205,04419076584742","68,83784113505891","233,99372760099166","205,04419076584742","68,83784113505892","60,94123896155672","48,43484371309206","36,79452482270797","55,5283436456731","76,80306127059856","94,3764703096889","108,98640522209512"
33,1,48,2,48,2,"0,0","0,2",48,2,48,2,"0,0005",60,20,32,168,58,60,DK1,2 years,2024-01-01,"68,8577188920033","247,89986219047114","204,86422740202502","68,8577188920033","232,7505342346312","204,86422740202505","68,8577188920033","55,601017072478655","51,14489614985206","49,79973428221696","60,918437345647284","71,88090892798621","87,85983759468877","104,79920087115322"
33,1,48,2,28,2,"0,2","0,2",48,2,28,2,"0,0005",60,20,32,24,40,60,DK1,2 years,2024-01-01,"69,349299840539","260,04952526247985","213,36585467092226","69,349299840539","243,9894112583607","213,36585467092226","69,34929984053899","56,19035121376523","46,90900817821603","49,30767075556993","61,950575882268495","74,19542958244202","95,29836702662597","101,59369624488532"
33,1,48,2,33,2,"0,2","0,0",48,2,33,2,"0,0005",60,20,32,168,60,60,DK1,2 years,2024-01-01,"69,45630111307293","244,63209182445217","202,48743624685744","69,45630111307293","230,87271453895963","202,48743624685744","69,45630111307293","56,50036822957185","47,154437834919335","50,24398404684679","62,226475739971974","73,2905390965068","93,43343718007489","103,3448656636189"
33,1,48,1,28,2,"0,0","0,0",48,1,28,2,"0,001",60,20,32,24,38,58,DK1,2 years,2024-01-01,"69,60169998012711","247,07177210606955","205,25607858936792","69,60169998012711","233,50314857416274","205,25607858936795","69,60169998012711","54,06040885093838","49,17000785366319","54,803715290345465","64,59107698339142","76,59432297043345","93,78377648897992","94,2085914231379"
33,1,33,2,48,2,"0,2","0,2",33,2,48,2,"0,001",60,20,64,168,59,60,DK1,2 years,2024-01-01,"69,93517247786713","229,60245296223707","194,11496189230925","69,93517247786713","219,5110791592592","194,11496189230928","69,93517247786713","53,120496481113506","58,48261110525891","48,412411577177906","64,92207184805123","70,12544832622386","91,98715144473012","102,4960165625143"
33,1,48,2,33,2,"0,0","0,0",48,2,33,2,"0,001",60,20,32,24,60,60,DK1,2 years,2024-01-01,"70,22865977272676","244,993198284419","206,06439846311298","70,22865977272676","232,60801874569003","206,06439846311295","70,22865977272677","57,545835359282584","48,47085423162177","59,06196756326153","62,55459282196404","78,53689411387973","91,03097232456602","94,39950199451168"
33,1,48,2,48,2,"0,2","0,2",48,2,48,2,"0,001",60,20,32,24,18,38,DK1,2 years,2024-01-01,"70,68597257067731","247,1801420484102","208,9932454334963","70,68597257067731","234,17244145720406","208,9932454334963","70,6859725706773","53,63787135917057","47,696540806365164","58,375839536901","68,35706370392518","79,07883776384709","90,39563513600376","97,26001968852836"
33,1,48,1,33,2,"0,0","0,2",48,1,33,2,"0,0005",60,20,64,168,60,60,DK1,2 years,2024-01-01,"71,14586824472954","259,37463742128705","212,7091591418974","71,14586824472954","243,703785192021","212,7091591418975","71,14586824472954","56,02586164606062","50,8415921983276","59,83386244063649","68,25607352815382","74,03427569561852","94,29329673959828","94,73611546471155"
33,1,48,2,28,2,"0,0","0,0",48,2,28,2,"0,0005",60,20,32,24,38,58,DK1,2 years,2024-01-01,"71,36810766420112","260,98512501704874","217,99582696651294","71,36810766420112","246,96602991851552","217,995826966513","71,36810766420112","54,92475428305916","48,92520432170123","54,0542776579594","63,880875616281166","75,28693392792707","94,64742526845986","107,85728257401988"
