"Name","Created","batch_size","dense_layers","dropout","latent_dim","learning_rate","best_val_smape","val_smape","State","Notes","User","Tags","Runtime","Sweep","fe_input_size","max_epochs","num_combinations","patience","price_zone","train_samples","val_samples","best_epoch","epoch","epochs_trained","train_smape","combination"
"DK1_latentdim32_dense1_lr0.001_batchsize32_dropout0.2_comb074","2026-05-09T10:50:27.000Z","32","1","0.2","32","0.001","27.325170516967773","36.67474365234375","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","30","","33","60","96","10","DK1","20649","2295","32","42","42","35.361627336626086","74"
"DK1_latentdim32_dense1_lr0.001_batchsize32_dropout0.0_comb073","2026-05-09T10:49:55.000Z","32","1","0","32","0.001","27.325170516967773","36.67474365234375","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","31","","33","60","96","10","DK1","20649","2295","32","42","42","35.361627336626086","73"
"DK1_latentdim24_dense1_lr0.001_batchsize32_dropout0.0_comb049","2026-05-09T10:35:19.000Z","32","1","0","24","0.001","32.49956512451172","83.35308074951172","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","33","","33","60","96","10","DK1","20649","2295","35","45","45","65.95655032650974","49"
"DK1_latentdim24_dense1_lr0.001_batchsize32_dropout0.2_comb050","2026-05-09T10:35:53.000Z","32","1","0.2","24","0.001","32.49956512451172","83.35308074951172","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","32","","33","60","96","10","DK1","20649","2295","35","45","45","65.95655032650974","50"
"DK1_latentdim32_dense1_lr0.0005_batchsize32_dropout0.2_comb078","2026-05-09T10:52:08.000Z","32","1","0.2","32","0.0005","41.66693115234375","46.72639083862305","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","33","","33","60","96","10","DK1","20649","2295","37","47","47","57.46378708476253","78"
"DK1_latentdim32_dense1_lr0.0005_batchsize32_dropout0.0_comb077","2026-05-09T10:51:35.000Z","32","1","0","32","0.0005","41.66693115234375","46.72639083862305","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","32","","33","60","96","10","DK1","20649","2295","37","47","47","57.46378708476253","77"
"DK1_latentdim16_dense1_lr0.001_batchsize32_dropout0.0_comb025","2026-05-09T10:19:59.000Z","32","1","0","16","0.001","45.58654022216797","50.48309326171875","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","37","","33","60","96","10","DK1","20649","2295","41","51","51","46.203203839045194","25"
"DK1_latentdim16_dense1_lr0.001_batchsize32_dropout0.2_comb026","2026-05-09T10:20:37.000Z","32","1","0.2","16","0.001","45.58654022216797","50.48309326171875","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","36","","33","60","96","10","DK1","20649","2295","41","51","51","46.203203839045194","26"
"DK1_latentdim24_dense1_lr0.001_batchsize64_dropout0.2_comb052","2026-05-09T10:36:41.000Z","64","1","0.2","24","0.001","46.39231872558594","50.04803085327149","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","15","","33","60","96","10","DK1","20649","2295","25","35","35","61.31030213205438","52"
"DK1_latentdim24_dense1_lr0.001_batchsize64_dropout0.0_comb051","2026-05-09T10:36:26.000Z","64","1","0","24","0.001","46.39231872558594","50.04803085327149","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","15","","33","60","96","10","DK1","20649","2295","25","35","35","61.31030213205438","51"
"DK1_latentdim32_dense2_lr0.001_batchsize64_dropout0.0_comb083","2026-05-09T10:54:45.000Z","64","2","0","32","0.001","50.008975982666016","55.01536178588867","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","30","","33","60","96","10","DK1","20649","2295","57","60","60","47.32752296282411","83"
