"Name","Created","batch_size","dense_layers","dropout","latent_dim","learning_rate","best_val_smape","val_smape","State","Notes","User","Tags","Runtime","Sweep","fe_input_size","max_epochs","num_combinations","patience","price_zone","train_samples","val_samples","best_epoch","epoch","epochs_trained","train_smape","combination"
"DK1_latentdim48_dense1_lr0.001_batchsize64_dropout0.0_comb042","2026-05-09T12:58:34.000Z","64","1","0","48","0.001","23.74197578430176","33.94837951660156","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","23","","33","60","80","10","DK1","20649","2295","53","60","60","38.44286757430794","42"
"DK1_latentdim33_dense1_lr0.001_batchsize32_dropout0.0_comb001","2026-05-09T12:32:30.000Z","32","1","0","33","0.001","25.050195693969727","41.46477127075195","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","41","","33","60","80","10","DK1","20649","2295","45","55","55","49.4952996493124","1"
"DK1_latentdim32_dense1_lr0.001_batchsize32_dropout0.0_comb073","2026-05-09T10:49:55.000Z","32","1","0","32","0.001","27.325170516967773","36.67474365234375","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","31","","33","60","96","10","DK1","20649","2295","32","42","42","35.361627336626086","73"
"DK1_latentdim32_dense1_lr0.001_batchsize32_dropout0.2_comb074","2026-05-09T10:50:27.000Z","32","1","0.2","32","0.001","27.325170516967773","36.67474365234375","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","30","","33","60","96","10","DK1","20649","2295","32","42","42","35.361627336626086","74"
"DK1_latentdim38_dense1_lr0.001_batchsize32_dropout0.0_comb021","2026-05-09T12:44:43.000Z","32","1","0","38","0.001","32.206214904785156","40.4928092956543","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","23","","33","60","80","10","DK1","20649","2295","22","32","32","38.43252104649971","21"
"DK1_latentdim24_dense1_lr0.001_batchsize32_dropout0.0_comb049","2026-05-09T10:35:19.000Z","32","1","0","24","0.001","32.49956512451172","83.35308074951172","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","33","","33","60","96","10","DK1","20649","2295","35","45","45","65.95655032650974","49"
"DK1_latentdim24_dense1_lr0.001_batchsize32_dropout0.2_comb050","2026-05-09T10:35:53.000Z","32","1","0.2","24","0.001","32.49956512451172","83.35308074951172","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","32","","33","60","96","10","DK1","20649","2295","35","45","45","65.95655032650974","50"
"DK1_latentdim64_dense2_lr0.0005_batchsize64_dropout0.0_comb071","2026-05-09T13:16:47.000Z","64","2","0","64","0.0005","36.54568099975586","41.46585464477539","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","30","","33","60","80","10","DK1","20649","2295","56","60","60","35.4494378470784","71"
"DK1_latentdim33_dense1_lr0.001_batchsize64_dropout0.0_comb002","2026-05-09T12:33:12.000Z","64","1","0","33","0.001","37.74150085449219","47.39240264892578","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","14","","33","60","80","10","DK1","20649","2295","24","34","34","66.5115133822887","2"
"DK1_latentdim32_dense1_lr0.0005_batchsize32_dropout0.2_comb078","2026-05-09T10:52:08.000Z","32","1","0.2","32","0.0005","41.66693115234375","46.72639083862305","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","33","","33","60","96","10","DK1","20649","2295","37","47","47","57.46378708476253","78"
"DK1_latentdim32_dense1_lr0.0005_batchsize32_dropout0.0_comb077","2026-05-09T10:51:35.000Z","32","1","0","32","0.0005","41.66693115234375","46.72639083862305","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","32","","33","60","96","10","DK1","20649","2295","37","47","47","57.46378708476253","77"
"DK1_latentdim48_dense1_lr0.001_batchsize32_dropout0.0_comb041","2026-05-09T12:58:14.000Z","32","1","0","48","0.001","42.39017868041992","90.93490600585938","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","19","","33","60","80","10","DK1","20649","2295","15","25","25","98.25354864870432","41"
"DK1_latentdim48_dense1_lr0.0005_batchsize32_dropout0.0_comb043","2026-05-09T12:58:58.000Z","32","1","0","48","0.0005","42.804046630859375","48.20780944824219","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","43","","33","60","80","10","DK1","20649","2295","52","60","60","47.7709872242836","43"
"DK1_latentdim38_dense2_lr0.0005_batchsize32_dropout0.0_comb029","2026-05-09T12:48:54.000Z","32","2","0","38","0.0005","45.56158447265625","53.165077209472656","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","55","","33","60","80","10","DK1","20649","2295","57","60","60","47.08296168182657","29"
"DK1_latentdim16_dense1_lr0.001_batchsize32_dropout0.0_comb025","2026-05-09T10:19:59.000Z","32","1","0","16","0.001","45.58654022216797","50.48309326171875","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","37","","33","60","96","10","DK1","20649","2295","41","51","51","46.203203839045194","25"
"DK1_latentdim16_dense1_lr0.001_batchsize32_dropout0.2_comb026","2026-05-09T10:20:37.000Z","32","1","0.2","16","0.001","45.58654022216797","50.48309326171875","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","36","","33","60","96","10","DK1","20649","2295","41","51","51","46.203203839045194","26"
"DK1_latentdim24_dense1_lr0.001_batchsize64_dropout0.0_comb051","2026-05-09T10:36:26.000Z","64","1","0","24","0.001","46.39231872558594","50.04803085327149","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","15","","33","60","96","10","DK1","20649","2295","25","35","35","61.31030213205438","51"
"DK1_latentdim24_dense1_lr0.001_batchsize64_dropout0.2_comb052","2026-05-09T10:36:41.000Z","64","1","0.2","24","0.001","46.39231872558594","50.04803085327149","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","15","","33","60","96","10","DK1","20649","2295","25","35","35","61.31030213205438","52"
"DK1_latentdim38_dense1_lr0.0005_batchsize32_dropout0.0_comb023","2026-05-09T12:45:21.000Z","32","1","0","38","0.0005","47.00120544433594","50.78624725341797","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","35","","33","60","80","10","DK1","20649","2295","39","49","49","62.77045082824518","23"
"DK1_latentdim48_dense2_lr0.0005_batchsize64_dropout0.0_comb051","2026-05-09T13:04:11.000Z","64","2","0","48","0.0005","47.01131057739258","49.65229415893555","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","30","","33","60","80","10","DK1","20649","2295","57","60","60","40.81140574877476","51"
"DK1_latentdim38_dense2_lr0.001_batchsize64_dropout0.0_comb027","2026-05-09T12:47:50.000Z","64","2","0","38","0.001","47.38218688964844","51.372039794921875","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","30","","33","60","80","10","DK1","20649","2295","56","60","60","46.91419805757032","27"
"DK1_latentdim38_dense2_lr0.001_batchsize32_dropout0.0_comb025","2026-05-09T12:46:20.000Z","32","2","0","38","0.001","48.067893981933594","62.84587860107422","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","56","","33","60","80","10","DK1","20649","2295","54","60","60","57.28777948621626","25"
"DK1_latentdim38_dense1_lr0.001_batchsize64_dropout0.0_comb022","2026-05-09T12:45:07.000Z","64","1","0","38","0.001","48.478065490722656","57.55403900146485","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","13","","33","60","80","10","DK1","20649","2295","23","33","33","68.23896819076302","22"
"DK1_latentdim38_dense2_lr0.0005_batchsize64_dropout0.0_comb031","2026-05-09T12:50:48.000Z","64","2","0","38","0.0005","48.821624755859375","48.821624755859375","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","30","","33","60","80","10","DK1","20649","2295","60","60","60","40.98710086692598","31"
"DK1_latentdim33_dense2_lr0.0005_batchsize32_dropout0.0_comb009","2026-05-09T12:36:31.000Z","32","2","0","33","0.0005","49.03426361083984","53.458492279052734","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","54","","33","60","80","10","DK1","20649","2295","55","60","60","47.27284087189949","9"
"DK1_latentdim32_dense2_lr0.001_batchsize64_dropout0.0_comb083","2026-05-09T10:54:45.000Z","64","2","0","32","0.001","50.008975982666016","55.01536178588867","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","30","","33","60","96","10","DK1","20649","2295","57","60","60","47.32752296282411","83"
"DK1_latentdim64_dense1_lr0.001_batchsize32_dropout0.0_comb061","2026-05-09T13:11:36.000Z","32","1","0","64","0.001","50.196144104003906","95.38127136230467","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","16","","33","60","80","10","DK1","20649","2295","11","21","21","93.03239965291216","61"
"DK1_latentdim33_dense2_lr0.001_batchsize32_dropout0.0_comb005","2026-05-09T12:34:03.000Z","32","2","0","33","0.001","50.574806213378906","51.74687576293945","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","45","","33","60","80","10","DK1","20649","2295","39","49","49","43.705925271237966","5"
"DK1_latentdim48_dense2_lr0.001_batchsize64_dropout0.0_comb047","2026-05-09T13:01:33.000Z","64","2","0","48","0.001","51.06977844238281","55.50373077392578","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","30","","33","60","80","10","DK1","20649","2295","54","60","60","43.204169931795576","47"
"DK1_latentdim16_dense1_lr0.001_batchsize64_dropout0.2_comb028","2026-05-09T10:21:37.000Z","64","1","0.2","16","0.001","52.2417106628418","64.80811309814453","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","21","","33","60","96","10","DK1","20649","2295","45","55","55","63.74714564981844","28"
