"Name","Created","batch_size","dense_layers","dropout","latent_dim","learning_rate","best_val_smape","State","Notes","User","Tags","Runtime","Sweep","combination","fe_input_size","max_epochs","num_combinations","patience","price_zone","train_samples","val_samples","val_smape","best_epoch","epoch","epochs_trained","train_smape"
"DK1_latentdim33_layers1_lr0.001_batchsize64_dropout0.0_comb001","2026-05-21T13:17:24.000Z","64","1","0","33","0.001","16.860124588012695","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","49","","1","34","150","1","30","DK1","20649","2295","20.446706771850582","97","127","127","26.646131733991783"
"DK1_latentdim33_layers1_lr0.0001_batchsize64_dropout0.0_comb008","2026-05-21T12:12:49.000Z","64","1","0","33","0.0001","68.56938171386719","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","38","","8","34","150","8","30","DK1","20649","2295","71.1815414428711","57","87","87","66.89946019317344"
"DK1_latentdim33_layers1_lr0.0001_batchsize32_dropout0.0_comb007","2026-05-21T12:12:00.000Z","32","1","0","33","0.0001","63.89461135864258","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","48","","7","34","150","8","30","DK1","20649","2295","76.84729766845703","37","67","67","69.77038537016594"
"DK1_latentdim33_layers1_lr0.005_batchsize64_dropout0.0_comb006","2026-05-21T12:11:42.000Z","64","1","0","33","0.005","179.38084411621094","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","17","","6","34","150","8","30","DK1","20649","2295","187.68605041503903","3","33","33","189.46460414449496"
"DK1_latentdim33_layers1_lr0.005_batchsize32_dropout0.0_comb005","2026-05-21T12:11:11.000Z","32","1","0","33","0.005","179.0432891845703","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","30","","5","34","150","8","30","DK1","20649","2295","189.1823272705078","4","34","34","190.94480912530383"
"DK1_latentdim31_layers1_lr0.0001_batchsize64_dropout0.0_comb004","2026-05-21T12:10:10.000Z","64","1","0","31","0.0001","54.70138168334961","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","59","","4","34","150","8","30","DK1","20649","2295","58.92018127441406","99","129","129","56.53879764426973"
"DK1_latentdim31_layers1_lr0.0001_batchsize32_dropout0.0_comb003","2026-05-21T12:08:03.000Z","32","1","0","31","0.0001","42.15671920776367","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","126","","3","34","150","8","30","DK1","20649","2295","47.436668395996094","120","150","150","45.91909965420655"
"DK1_latentdim31_layers1_lr0.005_batchsize64_dropout0.0_comb002","2026-05-21T12:07:45.000Z","64","1","0","31","0.005","179.6238555908203","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","17","","2","34","150","8","30","DK1","20649","2295","187.02572631835935","2","32","32","188.80338261371057"
"DK1_latentdim31_layers1_lr0.005_batchsize32_dropout0.0_comb001","2026-05-21T12:07:16.000Z","32","1","0","31","0.005","182.2777557373047","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","28","","1","34","150","8","30","DK1","20649","2295","189.4157257080078","1","31","31","190.3314156310846"
"DK1_latentdim48_layers2_lr0.0005_batchsize64_dropout0.2_comb012","2026-05-21T11:54:30.000Z","64","2","0.2","48","0.0005","68.9072036743164","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","87","","12","34","150","12","30","DK1","20649","2295","69.34855651855469","139","150","150","62.52792180064293"
