"Name","Created","batch_size","dropout","hidden_size","layers","learning_rate","sequence_length","val_SMAPE","best_val_SMAPE","patience_counter","State","Notes","User","Tags","Runtime","Sweep","combination","include_price_history_as_input","include_remaining_2024_in_prepared_train_data","max_epochs","num_combinations","patience","predict_period","price_zone","split_setup","stride","train_window","val_start","val_window","epoch","best_epoch","epochs_trained"
"layers2_dropout0.2_batchsize64_seq_len168_hidden32_lr0.0005_comb064","2026-05-07T08:50:56.000Z","64","0.2","32","2","0.0005","168","77.85768989209498","77.85768989209498","0","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","520","","64","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","60"
"layers2_dropout0.0_batchsize64_seq_len168_hidden32_lr0.0005_comb063","2026-05-07T08:43:38.000Z","64","0","32","2","0.0005","168","100.72157473589031","96.94350459318174","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","437","","63","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","51","41","51"
"layers2_dropout0.2_batchsize64_seq_len24_hidden32_lr0.0005_comb062","2026-05-07T08:35:08.000Z","64","0.2","32","2","0.0005","24","76.89912135226241","76.07244449799632","4","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","508","","62","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","56","60"
"layers2_dropout0.0_batchsize64_seq_len24_hidden32_lr0.0005_comb061","2026-05-07T08:26:32.000Z","64","0","32","2","0.0005","24","81.54848002719145","81.05144822998352","3","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","515","","61","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","57","60"
"layers2_dropout0.2_batchsize32_seq_len168_hidden32_lr0.0005_comb060","2026-05-07T08:16:58.000Z","32","0.2","32","2","0.0005","168","69.78608729893708","69.75889220155933","1","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","573","","60","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","59","60"
"layers2_dropout0.0_batchsize32_seq_len168_hidden32_lr0.0005_comb059","2026-05-07T08:11:31.000Z","32","0","32","2","0.0005","168","78.32768269137097","77.64250081429765","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","327","","59","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","36","26","36"
"layers2_dropout0.2_batchsize32_seq_len24_hidden32_lr0.0005_comb058","2026-05-07T08:06:04.000Z","32","0.2","32","2","0.0005","24","85.55743073152252","78.61568563546332","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","326","","58","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","36","26","36"
"layers2_dropout0.0_batchsize32_seq_len24_hidden32_lr0.0005_comb057","2026-05-07T07:59:20.000Z","32","0","32","2","0.0005","24","73.2846171862989","71.58913345546608","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","403","","57","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","43","33","43"
"layers2_dropout0.2_batchsize64_seq_len168_hidden32_lr0.001_comb056","2026-05-07T07:50:35.000Z","64","0.2","32","2","0.001","168","72.34750828072521","72.34750828072521","0","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","524","","56","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","60"
"layers2_dropout0.0_batchsize64_seq_len168_hidden32_lr0.001_comb055","2026-05-07T07:42:25.000Z","64","0","32","2","0.001","168","76.91386126795385","72.12377360222219","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","489","","55","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","56","46","56"
"layers2_dropout0.2_batchsize64_seq_len24_hidden32_lr0.001_comb054","2026-05-07T07:36:44.000Z","64","0.2","32","2","0.001","24","76.3039409625012","75.00944490841181","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","341","","54","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","40","30","40"
"layers2_dropout0.0_batchsize64_seq_len24_hidden32_lr0.001_comb053","2026-05-07T07:29:05.000Z","64","0","32","2","0.001","24","78.63806246348084","72.77039890404404","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","458","","53","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","54","44","54"
"layers2_dropout0.2_batchsize32_seq_len168_hidden32_lr0.001_comb052","2026-05-07T07:22:06.000Z","32","0.2","32","2","0.001","168","74.90280632717743","71.76145952568399","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","418","","52","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","45","35","45"
"layers2_dropout0.0_batchsize32_seq_len168_hidden32_lr0.001_comb051","2026-05-07T07:18:12.000Z","32","0","32","2","0.001","168","78.74249142366806","74.41268952039603","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","233","","51","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","25","15","25"
"layers2_dropout0.2_batchsize32_seq_len24_hidden32_lr0.001_comb050","2026-05-07T07:10:54.000Z","32","0.2","32","2","0.001","24","73.61923815392942","67.98137376976172","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","437","","50","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","48","38","48"
"layers2_dropout0.0_batchsize32_seq_len24_hidden32_lr0.001_comb049","2026-05-07T07:06:30.000Z","32","0","32","2","0.001","24","73.72916505737582","62.59531559567367","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","263","","49","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","29","19","29"
"layers1_dropout0.0_batchsize64_seq_len168_hidden32_lr0.0005_comb047","2026-05-07T06:57:59.000Z","64","0","32","1","0.0005","168","74.85189940833865","74.85189940833865","0","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","510","","47","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","60"
"layers1_dropout0.0_batchsize64_seq_len24_hidden32_lr0.0005_comb045","2026-05-07T06:49:29.000Z","64","0","32","1","0.0005","24","75.8305243373031","75.8305243373031","0","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","509","","45","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","60"
"layers1_dropout0.0_batchsize32_seq_len168_hidden32_lr0.0005_comb043","2026-05-07T06:41:28.000Z","32","0","32","1","0.0005","168","78.85222895254432","73.20579377586405","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","480","","43","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","53","43","53"
"layers1_dropout0.0_batchsize32_seq_len24_hidden32_lr0.0005_comb041","2026-05-07T06:34:02.000Z","32","0","32","1","0.0005","24","81.95280970240256","75.18322107291162","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","445","","41","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","51","41","51"
"layers1_dropout0.0_batchsize64_seq_len168_hidden32_lr0.001_comb039","2026-05-07T06:26:40.000Z","64","0","32","1","0.001","168","73.0682699187715","70.41533632252518","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","441","","39","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","52","42","52"
"layers1_dropout0.0_batchsize64_seq_len24_hidden32_lr0.001_comb037","2026-05-07T06:20:01.000Z","64","0","32","1","0.001","24","73.18656419430994","68.67752767345202","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","398","","37","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","48","38","48"
"layers1_dropout0.0_batchsize64_seq_len24_hidden32_lr0.001_comb037","2026-05-06T19:43:53.000Z","64","0","32","1","0.001","24","160.74665220806412","160.74665220806412","0","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","31","","37","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","3","",""
"layers1_dropout0.0_batchsize32_seq_len168_hidden32_lr0.001_comb035","2026-05-06T19:38:52.000Z","32","0","32","1","0.001","168","72.0221129581331","71.33801718442358","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","300","","35","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","33","23","33"
"layers1_dropout0.0_batchsize32_seq_len24_hidden32_lr0.001_comb033","2026-05-06T19:34:23.000Z","32","0","32","1","0.001","24","74.45059997745841","71.6155550487783","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","268","","33","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","31","21","31"
"layers2_dropout0.2_batchsize64_seq_len168_hidden16_lr0.0005_comb032","2026-05-06T19:25:52.000Z","64","0.2","16","2","0.0005","168","99.35996647237474","99.35996647237474","0","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","510","","32","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","60"
"layers2_dropout0.0_batchsize64_seq_len168_hidden16_lr0.0005_comb031","2026-05-06T19:17:21.000Z","64","0","16","2","0.0005","168","101.2120216759495","101.2120216759495","0","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","510","","31","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","60"
"layers2_dropout0.2_batchsize64_seq_len24_hidden16_lr0.0005_comb030","2026-05-06T19:09:00.000Z","64","0.2","16","2","0.0005","24","100.20622865839276","100.20622865839276","0","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","500","","30","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","60"
"layers2_dropout0.0_batchsize64_seq_len24_hidden16_lr0.0005_comb029","2026-05-06T19:00:36.000Z","64","0","16","2","0.0005","24","99.96608122697664","99.96608122697664","0","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","503","","29","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","60"
"layers2_dropout0.2_batchsize32_seq_len168_hidden16_lr0.0005_comb028","2026-05-06T18:51:21.000Z","32","0.2","16","2","0.0005","168","70.60847160826302","70.60847160826302","0","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","554","","28","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","60"
"layers2_dropout0.0_batchsize32_seq_len168_hidden16_lr0.0005_comb027","2026-05-06T18:42:51.000Z","32","0","16","2","0.0005","168","99.2332424697816","89.8663306113028","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","509","","27","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","54","44","54"
"layers2_dropout0.2_batchsize32_seq_len24_hidden16_lr0.0005_comb026","2026-05-06T18:33:46.000Z","32","0.2","16","2","0.0005","24","75.44007215050652","74.34779896768282","5","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","544","","26","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","55","60"
"layers2_dropout0.0_batchsize32_seq_len24_hidden16_lr0.0005_comb025","2026-05-06T18:24:47.000Z","32","0","16","2","0.0005","24","76.9495569071733","75.59674580387718","4","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","538","","25","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","56","60"
"layers2_dropout0.2_batchsize64_seq_len168_hidden16_lr0.001_comb024","2026-05-06T18:16:10.000Z","64","0.2","16","2","0.001","168","70.70317907400471","70.70317907400471","0","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","516","","24","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","60"
"layers2_dropout0.0_batchsize64_seq_len168_hidden16_lr0.001_comb023","2026-05-06T18:07:30.000Z","64","0","16","2","0.001","168","70.85192778035083","70.85192778035083","0","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","519","","23","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","60"
"layers2_dropout0.2_batchsize64_seq_len24_hidden16_lr0.001_comb022","2026-05-06T17:59:10.000Z","64","0.2","16","2","0.001","24","72.6584416336019","72.25536675564655","4","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","499","","22","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","56","60"
"layers2_dropout0.0_batchsize64_seq_len24_hidden16_lr0.001_comb021","2026-05-06T17:51:00.000Z","64","0","16","2","0.001","24","117.58791975774812","76.49940166545302","7","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","489","","21","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","53","60"
"layers2_dropout0.2_batchsize32_seq_len168_hidden16_lr0.001_comb020","2026-05-06T17:44:31.000Z","32","0.2","16","2","0.001","168","76.85186635382607","71.68523334388087","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","387","","20","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","43","33","43"
