"Name","Created","batch_size","dropout","hidden_size","layers","learning_rate","sequence_length","val_SMAPE","best_val_SMAPE","patience_counter","State","Notes","User","Tags","Runtime","Sweep","combination","include_price_history_as_input","include_remaining_2024_in_prepared_train_data","max_epochs","num_combinations","patience","predict_period","price_zone","split_setup","stride","train_window","val_start","val_window","epoch","best_epoch","epochs_trained"
"layers2_dropout0.2_batchsize32_seq_len168_hidden34_lr0.001_comb008","2026-05-07T12:42:32.000Z","32","0.2","34","2","0.001","168","72.99266892583226","68.0961768807619","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","222","","8","true","true","60","8","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","24","14","24"
"layers2_dropout0.0_batchsize32_seq_len168_hidden34_lr0.001_comb007","2026-05-07T12:37:57.000Z","32","0","34","2","0.001","168","68.919838471281","62.07025430872983","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","274","","7","true","true","60","8","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","30","20","30"
"layers2_dropout0.2_batchsize32_seq_len24_hidden34_lr0.001_comb006","2026-05-07T12:34:25.000Z","32","0.2","34","2","0.001","24","73.68757926695979","68.09322308955453","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","211","","6","true","true","60","8","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","24","14","24"
"layers2_dropout0.0_batchsize32_seq_len24_hidden34_lr0.001_comb005","2026-05-07T12:27:51.000Z","32","0","34","2","0.001","24","67.12913523734954","65.14710498280213","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","393","","5","true","true","60","8","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","45","35","45"
"layers2_dropout0.2_batchsize32_seq_len168_hidden28_lr0.001_comb004","2026-05-07T12:23:19.000Z","32","0.2","28","2","0.001","168","73.45394102306138","72.39067107305269","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","271","","4","true","true","60","8","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","30","20","30"
"layers2_dropout0.0_batchsize32_seq_len168_hidden28_lr0.001_comb003","2026-05-07T12:18:28.000Z","32","0","28","2","0.001","168","83.2861315176556","74.73414659546926","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","290","","3","true","true","60","8","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","32","22","32"
"layers2_dropout0.2_batchsize32_seq_len24_hidden28_lr0.001_comb002","2026-05-07T12:14:22.000Z","32","0.2","28","2","0.001","24","74.40612145560746","71.81671700237841","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","246","","2","true","true","60","8","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","28","18","28"
"layers2_dropout0.0_batchsize32_seq_len24_hidden28_lr0.001_comb001","2026-05-07T12:09:46.000Z","32","0","28","2","0.001","24","75.32162800941265","74.12582734129263","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","275","","1","true","true","60","8","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","31","21","31"
"layers2_dropout0.2_batchsize32_seq_len168_hidden32_lr0.001_comb024","2026-05-07T11:59:55.000Z","32","0.2","32","2","0.001","168","74.90280632717743","71.76145952568399","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","419","","24","true","true","60","24","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","45","35","45"
"layers2_dropout0.0_batchsize32_seq_len168_hidden32_lr0.001_comb023","2026-05-07T11:55:57.000Z","32","0","32","2","0.001","168","78.74249142366806","74.41268952039603","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","237","","23","true","true","60","24","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","25","15","25"
"layers2_dropout0.2_batchsize32_seq_len24_hidden32_lr0.001_comb022","2026-05-07T11:48:38.000Z","32","0.2","32","2","0.001","24","73.61923815392942","67.98137376976172","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","438","","22","true","true","60","24","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","48","38","48"
"layers2_dropout0.0_batchsize32_seq_len24_hidden32_lr0.001_comb021","2026-05-07T11:44:08.000Z","32","0","32","2","0.001","24","73.72916505737582","62.59531559567367","10","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","269","","21","true","true","60","24","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","29","19","29"
