"Name","Created","batch_size","dropout","hidden_size","layers","learning_rate","sequence_length","best_val_SMAPE","State","Notes","User","Tags","Runtime","Sweep","combination","include_price_history_as_input","include_remaining_2024_in_prepared_train_data","max_epochs","num_combinations","patience","predict_period","price_zone","split_setup","stride","train_window","val_start","val_window","epoch","patience_counter","val_SMAPE","best_epoch","epochs_trained"
"layers3_dropout0.3_batchsize32_seq_len168_hidden64_lr0.001_comb060","2026-05-16T19:07:47.000Z","32","0.3","64","3","0.001","168","62.071039430590936","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","200","","60","false","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","21","10","81.93974664613914","11","21"
"layers3_dropout0.2_batchsize32_seq_len168_hidden64_lr0.001_comb059","2026-05-16T19:04:27.000Z","32","0.2","64","3","0.001","168","62.07118273192811","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","199","","59","false","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","21","10","81.93655040886628","11","21"
"layers3_dropout0.3_batchsize32_seq_len24_hidden64_lr0.001_comb058","2026-05-16T19:01:16.000Z","32","0.3","64","3","0.001","24","62.0709946909343","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","190","","58","false","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","21","10","81.9407145819716","11","21"
"layers3_dropout0.2_batchsize32_seq_len24_hidden64_lr0.001_comb057","2026-05-16T18:58:06.000Z","32","0.2","64","3","0.001","24","62.0711060065054","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","189","","57","false","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","21","10","81.9382707477238","11","21"
"layers2_dropout0.3_batchsize64_seq_len24_hidden64_lr0.001_comb054","2026-05-16T18:44:48.000Z","64","0.3","64","2","0.001","24","62.338846126046136","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","250","","54","false","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","30","10","74.39748202389913","20","30"
"layers2_dropout0.3_batchsize32_seq_len168_hidden64_lr0.001_comb052","2026-05-16T18:37:06.000Z","32","0.3","64","2","0.001","168","62.07033985561191","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","194","","52","false","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","21","10","69.65092357795865","11","21"
"layers2_dropout0.2_batchsize32_seq_len168_hidden64_lr0.001_comb051","2026-05-16T18:33:51.000Z","32","0.2","64","2","0.001","168","62.07036796021998","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","194","","51","false","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","21","10","69.62073493173946","11","21"
"layers2_dropout0.3_batchsize32_seq_len24_hidden64_lr0.001_comb050","2026-05-16T18:31:11.000Z","32","0.3","64","2","0.001","24","66.67062121465844","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","159","","50","false","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","18","10","76.89805290477304","8","18"
"layers2_dropout0.2_batchsize32_seq_len24_hidden64_lr0.001_comb049","2026-05-16T18:28:02.000Z","32","0.2","64","2","0.001","24","62.07035753350733","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","188","","49","false","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","21","10","66.55079391481554","11","21"
"layers3_dropout0.3_batchsize64_seq_len168_hidden48_lr0.001_comb048","2026-05-16T18:22:18.000Z","64","0.3","48","3","0.001","168","62.07043469106438","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","343","","48","false","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","39","10","67.16589500827043","29","39"
"layers3_dropout0.2_batchsize64_seq_len168_hidden48_lr0.001_comb047","2026-05-16T18:16:30.000Z","64","0.2","48","3","0.001","168","62.070411061638886","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","347","","47","false","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","39","10","67.16524168439256","29","39"
"layers3_dropout0.3_batchsize64_seq_len24_hidden48_lr0.001_comb046","2026-05-16T18:10:55.000Z","64","0.3","48","3","0.001","24","62.070429832308434","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","334","","46","false","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","39","10","67.16575860131512","29","39"
"layers3_dropout0.2_batchsize64_seq_len24_hidden48_lr0.001_comb045","2026-05-16T18:05:23.000Z","64","0.2","48","3","0.001","24","62.070419506135096","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","331","","45","false","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","39","10","67.16547860589706","29","39"
"layers3_dropout0.3_batchsize32_seq_len168_hidden48_lr0.001_comb044","2026-05-16T18:01:32.000Z","32","0.3","48","3","0.001","168","62.11997432400405","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","230","","44","false","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","24","10","75.44298156645901","14","24"
"layers3_dropout0.2_batchsize32_seq_len168_hidden48_lr0.001_comb043","2026-05-16T17:55:09.000Z","32","0.2","48","3","0.001","168","62.12000066181198","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","382","","43","false","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","24","10","75.4425846080669","14","24"
"layers3_dropout0.3_batchsize32_seq_len24_hidden48_lr0.001_comb042","2026-05-16T17:48:43.000Z","32","0.3","48","3","0.001","24","62.11985112526464","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","385","","42","false","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","24","10","69.67212418749551","14","24"
"layers3_dropout0.2_batchsize32_seq_len24_hidden48_lr0.001_comb041","2026-05-16T17:43:12.000Z","32","0.2","48","3","0.001","24","62.1199000750652","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","329","","41","false","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","24","10","75.44417726192228","14","24"
"layers2_dropout0.3_batchsize64_seq_len168_hidden48_lr0.001_comb040","2026-05-16T17:36:04.000Z","64","0.3","48","2","0.001","168","66.50842367401103","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","426","","40","false","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","31","10","69.26920316386573","21","31"
"layers2_dropout0.2_batchsize64_seq_len168_hidden48_lr0.001_comb039","2026-05-16T17:30:38.000Z","64","0.2","48","2","0.001","168","63.511552070886","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","325","","39","false","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","34","10","71.188848222681","24","34"
"layers2_dropout0.3_batchsize64_seq_len24_hidden48_lr0.001_comb038","2026-05-16T17:25:16.000Z","64","0.3","48","2","0.001","24","62.09696429227631","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","321","","38","false","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","38","10","71.68992748180082","28","38"
"layers2_dropout0.2_batchsize64_seq_len24_hidden48_lr0.001_comb037","2026-05-16T17:19:51.000Z","64","0.2","48","2","0.001","24","62.070897357626606","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","324","","37","false","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","39","10","70.39007863942511","29","39"
"layers2_dropout0.3_batchsize32_seq_len168_hidden48_lr0.001_comb036","2026-05-16T17:16:32.000Z","32","0.3","48","2","0.001","168","70.26487695203897","finished","-","","cross-validation, early-stopping, hyperparameter-search, lstm","197","","36","false","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","22","10","70.96504331652426","12","22"
