hidden_size,layers,learning_rate,max_epochs,patience,batch_size,sequence_length,dropout,best_epoch,epochs_trained,price_zone,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
32,1,"0,001",100,10,64,168,"0,0",39,49,DK1,2 years,2024-01-01,"65,98410395333664","253,84815806867837","212,39087948788782","65,98410395333664","241,5829042764448","212,39087948788776","65,98410395333664","56,775276778858895","46,65122567425323","44,17353279301004","55,73933251439484","66,6330552740702","93,78091838556547","98,13538625320375"
16,1,"0,001",100,10,32,24,"0,0",50,60,DK1,2 years,2024-01-01,"66,1217661107996","251,85569352976063","210,22242916496566","66,1217661107996","238,8977225143337","210,22242916496572","66,12176611079961","60,19025266038457","48,46387913704221","38,922794740328","57,37081626794814","66,13416793133779","91,17227763044865","100,59817440810787"
32,1,"0,0005",100,10,64,24,"0,0",90,100,DK1,2 years,2024-01-01,"66,69163222745769","252,61821999027262","213,49990087460506","66,69163222745769","239,46566289432872","213,49990087460515","66,69163222745769","59,21278623375109","49,11920594576142","43,73324314221267","56,706557723520135","65,2305413334376","93,07612901463645","99,7629621988845"
32,2,"0,001",100,10,32,24,"0,2",20,30,DK1,2 years,2024-01-01,"66,78318959977416","254,3174683236772","212,5209574215124","66,78318959977416","242,67914208507895","212,5209574215124","66,78318959977416","58,445925272661825","46,947063210857564","43,35954398663445","55,82282575532194","68,58848075366895","95,61325565492477","98,70523256434961"
16,2,"0,001",100,10,32,24,"0,2",47,57,DK1,2 years,2024-01-01,"66,9474517160917","263,7315791088996","221,08601794003476","66,9474517160917","251,67940542558057","221,08601794003476","66,9474517160917","61,911256145188396","51,714509549194005","38,34316044707302","58,1367926596455","65,68683154539274","93,57894529066007","99,2606663754882"
32,1,"0,0005",100,10,32,24,"0,0",43,53,DK1,2 years,2024-01-01,"67,28765532424558","254,4014550506135","214,3880352033582","67,28765532424558","241,41001598001705","214,3880352033582","67,28765532424559","56,34361831906899","50,04924472479703","42,004991953468405","58,82051109921314","67,27685942453147","95,47702093693427","101,04134081170581"
32,1,"0,001",100,10,64,24,"0,0",37,47,DK1,2 years,2024-01-01,"67,33838662858886","259,7501581932469","215,7588748342823","67,33838662858886","246,18278138849578","215,7588748342823","67,33838662858886","56,150540917246424","45,44267831105702","44,46427462588043","56,91088803089977","68,34385738222525","96,14196823821709","103,91449889459608"
16,1,"0,001",100,10,64,168,"0,0",69,79,DK1,2 years,2024-01-01,"67,34967009396875","255,5875379929991","212,01425040074068","67,34967009396875","242,1022293491964","212,01425040074068","67,34967009396874","56,91811039093139","46,37189005629788","46,84586330613158","59,30840440320185","65,61042587161499","93,55319659667332","102,8398000329303"
16,2,"0,001",100,10,32,168,"0,2",58,68,DK1,2 years,2024-01-01,"67,54177096049477","248,37041333093146","206,07710672008005","67,54177096049477","235,2987242428773","206,07710672008005","67,54177096049476","61,115613844516815","49,99242773280152","37,445909841050806","57,08053620952226","67,91277051738578","94,11305728606595","105,1320812921202"
16,1,"0,001",100,10,64,24,"0,0",79,89,DK1,2 years,2024-01-01,"67,54926092442288","256,33681986833085","214,32982772957067","67,54926092442288","242,47597599530073","214,32982772957067","67,54926092442287","56,00939494576611","48,06880863312026","43,58064863234934","58,868384523903295","69,39039607277357","93,31613430226193","103,61105936078562"
32,2,"0,0005",100,10,64,168,"0,2",80,90,DK1,2 years,2024-01-01,"67,56262853092498","262,06089167456923","217,44091448622675","67,56262853092498","247,16507273562164","217,4409144862268","67,56262853092498","58,179494953916205","46,04472359449443","41,251044580667696","56,1825510254087","69,13302685218154","97,7060190939054","104,44153961590092"
32,1,"0,0005",100,10,32,168,"0,0",38,48,DK1,2 years,2024-01-01,"67,66896150693333","254,26841300113267","213,73600957289995","67,66896150693333","240,3861893656278","213,73600957289997","67,66896150693333","54,18414692489276","46,103296499429135","46,680283544691974","59,98408173398943","69,41403331920885","93,39813903686112","103,91874948946003"
32,2,"0,001",100,10,32,168,"0,0",33,43,DK1,2 years,2024-01-01,"67,67360593128575","253,84544154651022","209,46035389083914","67,67360593128575","238,2722639492233","209,46035389083917","67,67360593128573","61,87747491608789","48,68219357869023","38,67964123877836","57,086835832307045","71,94331084367393","94,24265530848812","101,20312980097458"
32,1,"0,001",100,10,32,168,"0,0",25,35,DK1,2 years,2024-01-01,"67,74444075089022","253,7798561446203","213,3092583029298","67,74444075089022","239,50806555054632","213,30925830292986","67,7444407508902","58,61301100004917","49,21868013857984","40,95396071001448","58,12702811772057","69,32208738144747","95,62981424190828","102,34650366651167"
32,2,"0,001",100,10,64,24,"0,2",38,48,DK1,2 years,2024-01-01,"67,74981643331647","259,3612700289498","214,20959993303387","67,74981643331647","246,10792828780333","214,2095999330339","67,74981643331648","58,02477385232324","46,57767968110291","44,49831319939304","56,505199241064524","69,54481368969861","95,11792687615366","103,98000849347929"
16,1,"0,001",100,10,32,168,"0,0",37,47,DK1,2 years,2024-01-01,"68,03446834761374","257,2987795260593","215,00551080532802","68,03446834761374","242,96902001114105","215,005510805328","68,03446834761374","55,68915894040437","47,483437536800736","47,76636211796939","58,00234897364251","69,00466096887592","93,65411666188511","104,64119323371814"
32,2,"0,001",100,10,64,168,"0,2",51,61,DK1,2 years,2024-01-01,"68,6329319648911","262,40084594755336","217,15509599977838","68,6329319648911","246,15270425634995","217,1550959997784","68,63293196489111","60,04014064965975","49,63860572580573","38,586976222401695","57,30249601058103","72,06937106787541","98,32891633081061","104,46401774710347"
32,1,"0,0005",100,10,64,168,"0,0",64,74,DK1,2 years,2024-01-01,"68,83897273981587","260,46815020855644","216,436629822515","68,83897273981587","245,76263637629307","216,43662982251507","68,83897273981589","53,44314213189972","46,667594374576495","54,377172554113315","64,48021623020846","70,01294050292613","92,9177086282819","99,97403475670512"
32,2,"0,0005",100,10,32,168,"0,0",68,78,DK1,2 years,2024-01-01,"68,89644168737988","267,9687973444078","221,13521496148007","68,89644168737988","250,46827356908238","221,13521496148013","68,89644168737986","64,14603053406563","51,72187424951423","38,671368381490915","57,58095367745077","74,93706365627641","90,40977245932827","104,80802885353289"
16,1,"0,0005",100,10,32,168,"0,0",76,86,DK1,2 years,2024-01-01,"68,96972865407378","263,47868393651737","220,3478638109574","68,96972865407378","247,81420118245003","220,34786381095736","68,96972865407376","56,23630052943189","46,292569095846915","44,040614405973635","58,09198969656028","69,26569887639309","97,04330768219748","111,81762029211309"
32,2,"0,0005",100,10,32,168,"0,2",34,44,DK1,2 years,2024-01-01,"69,00010309645776","261,28827313905595","216,08410011799276","69,00010309645776","247,1450523836029","216,08410011799282","69,00010309645778","56,04833979909175","45,32256881879045","49,14774016831623","60,63705408074786","69,85332347500521","95,81514254397938","106,17655278927349"
16,1,"0,0005",100,10,32,24,"0,0",76,86,DK1,2 years,2024-01-01,"69,04724664673584","262,49593703290975","219,997316830404","69,04724664673584","246,88351160970933","219,99731683040403","69,04724664673584","55,90123537487573","46,53196819209762","45,210018030929085","58,350205885429325","69,47588872279208","97,25726993504335","110,6041403859837"
32,2,"0,0005",100,10,64,24,"0,2",68,78,DK1,2 years,2024-01-01,"69,04866777385934","263,62057272822545","216,96312330774816","69,04866777385934","249,36483908036826","216,9631233077482","69,04866777385935","57,00045410114764","46,71976417800558","49,363962619203676","61,99106919311259","69,35586701301034","94,78729729367174","104,1222600188638"
32,2,"0,001",100,10,32,168,"0,2",25,35,DK1,2 years,2024-01-01,"69,15982437860298","261,9327271862117","218,963280219514","69,15982437860298","246,07988332660076","218,96328021951402","69,15982437860299","58,585703678554616","50,61551139693438","39,67617402846043","59,620496833464365","71,82373311814922","100,30611950879268","103,49103208586521"
32,1,"0,001",100,10,32,24,"0,0",17,27,DK1,2 years,2024-01-01,"69,25329044510073","256,55953869695105","214,87234213794306","69,25329044510073","242,70172511360133","214,8723421379431","69,25329044510072","53,459966352954964","49,15216990487261","52,92308921328022","63,10070530196001","69,54240416212792","95,68429027906609","100,91040790144325"
32,2,"0,0005",100,10,64,24,"0,0",93,100,DK1,2 years,2024-01-01,"69,27882046720251","258,1631570616611","213,49426143455867","69,27882046720251","243,9013234273128","213,4942614345587","69,27882046720251","62,54695228542648","48,33074067259891","40,77582607796928","55,901140351240954","70,27876880332525","95,67222210957853","111,44609297027813"
