hidden_size,layers,learning_rate,max_epochs,patience,batch_size,sequence_length,dropout,best_epoch,epochs_trained,price_zone,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
16,2,"0,0005",100,10,32,168,"0,0",100,100,DK1,2 years,2024-01-01,"66,33626739010198","249,93816640233655","206,89907019204276","66,33626739010198","237,34811269395647","206,89907019204273","66,336267390102","58,829327150747375","49,085113359008886","41,2788645724975","59,09487895145085","72,10103423667827","90,20999372638218","93,75465973394881"
32,2,"0,001",100,10,64,168,"0,0",60,70,DK1,2 years,2024-01-01,"67,24418518751702","256,88670301535274","212,3641486754732","67,24418518751702","241,16701612689772","212,3641486754732","67,24418518751699","63,812581146328164","51,82876481876799","39,01252010306685","57,07075587099451","69,30305796927455","90,58155018305314","99,1000662211338"
16,2,"0,001",100,10,32,24,"0,0",64,74,DK1,2 years,2024-01-01,"67,29628580297933","261,14171830992586","213,4129279972683","67,29628580297933","245,02211282133155","213,41292799726833","67,29628580297933","60,991972805672944","51,82388725828024","36,427915455600996","57,9879511392366","72,13252781183294","89,05632677948546","102,6534193707461"
16,2,"0,001",100,10,64,24,"0,0",100,100,DK1,2 years,2024-01-01,"67,34315622875089","255,9839261891691","211,92689846467917","67,34315622875089","242,3179851738927","211,9268984646792","67,34315622875087","60,210533441674954","51,232060046882914","37,7115038991558","56,451417006473015","70,44203559939173","91,5615136130402","103,79302999463751"
32,2,"0,001",100,10,32,168,"0,0",40,50,DK1,2 years,2024-01-01,"67,36319753057523","257,79450117083445","209,93122484705444","67,36319753057523","239,265765686823","209,93122484705447","67,36319753057522","63,90429940823742","52,008900198990624","39,12152526982182","55,79507115050042","66,02205657980797","86,56084157694701","108,12968852972135"
32,1,"0,0005",100,10,64,168,"0,0",100,100,DK1,2 years,2024-01-01,"67,92162935718332","250,2059259997975","210,90887278200913","67,92162935718332","236,7646948106316","210,90887278200913","67,92162935718332","60,027070101151736","51,869027758635454","40,73209046072524","58,13865663034078","68,15440088197349","95,53253501700307","100,99762465045349"
16,2,"0,0005",100,10,32,24,"0,2",98,100,DK1,2 years,2024-01-01,"68,0175584396886","249,5330877169663","207,9614296747484","68,0175584396886","236,32089251477242","207,9614296747484","68,01755843968861","59,75278943792678","53,59937124068514","42,44747744030934","57,73931041528168","71,14396376917185","93,42365562454742","98,01634114989801"
32,2,"0,001",100,10,64,24,"0,0",56,66,DK1,2 years,2024-01-01,"68,26554295378695","258,88468803312685","213,03177596068048","68,26554295378695","242,64103872075185","213,0317759606805","68,26554295378695","60,10745667886699","49,68345629845167","39,4869592464246","58,212783850542024","74,43965597670984","91,81185397968345","104,11663464583002"
32,1,"0,0005",100,10,32,24,"0,0",52,62,DK1,2 years,2024-01-01,"68,4714059662371","254,12606289054762","212,56314059525226","68,4714059662371","238,90956692356204","212,56314059525224","68,4714059662371","60,00384589265819","53,05200706515734","40,98780393601889","56,78611972072266","68,13834636274154","95,10251778762081","105,22920099874024"
16,2,"0,0005",100,10,32,168,"0,2",100,100,DK1,2 years,2024-01-01,"68,54866309624","256,972467879581","212,06813311535606","68,54866309624","241,8921286295477","212,06813311535612","68,54866309624","58,62216573085439","51,769213317322226","40,78212582752445","60,15209467878981","72,97826589721268","92,78276485488837","102,75401136708813"
