hidden_size,layers,learning_rate,max_epochs,patience,batch_size,sequence_length,dropout,best_epoch,epochs_trained,price_zone,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
64,2,"0,0005",300,25,32,24,"0,0",26,51,DK1,2 years,2024-01-01,"61,779254155619135","253,6806220675162","212,171940316569","61,779254155619135","242,54386036023317","212,171940316569","61,779254155619135","63,25736522719279","52,636168377727735","34,804941436229015","52,411637357837805","56,68356351805986","78,82925258820978","93,83185058407702"
64,2,"0,0007",300,25,64,24,"0,0",31,56,DK1,2 years,2024-01-01,"62,06749830708433","267,8685673547231","220,90244820654874","62,06749830708433","256,2082539610556","220,90244820654877","62,067498307084335","64,3597544708267","52,75979095233468","38,21614190988813","52,43412297359318","56,463254567250594","77,35346849472784","92,88595478096917"
64,2,"0,0005",300,25,64,24,"0,0",43,68,DK1,2 years,2024-01-01,"62,06753900317605","267,9026267307657","220,92707053335425","62,06753900317605","256,2350417525321","220,92707053335423","62,06753900317604","64,37134560041343","52,77020384344812","38,21085704205474","52,43349486447167","56,45561066168943","77,34921239381184","92,88204861634304"
64,2,"0,0003",300,25,64,24,"0,0",70,95,DK1,2 years,2024-01-01,"62,06908779546431","267,0464303065565","220,30715734172128","62,06908779546431","255,56027012426821","220,30715734172128","62,06908779546432","64,08237311481474","52,50045746871169","38,34716964139732","52,459178199860794","56,652806700811865","77,45885790173088","92,98277154092288"
64,2,"0,0003",300,25,32,168,"0,0",36,61,DK1,2 years,2024-01-01,"62,069891062134886","268,35212823784656","221,2570201384626","62,069891062134886","256,5881769338626","221,2570201384626","62,069891062134886","64,52180149537246","52,91140084652302","38,14963828022375","52,42521778923332","56,356164342037275","77,29379995296232","92,83121472859207"
64,2,"0,0003",300,25,32,24,"0,0",36,61,DK1,2 years,2024-01-01,"62,07702190342283","268,8736155578403","221,6528493831845","62,07702190342283","256,99697535073295","221,65284938318447","62,077021903422825","64,69754384113247","53,072199513618614","38,10139568204373","52,41633694515086","56,24396399671059","77,23387820919766","92,77383513610587"
64,2,"0,0005",300,25,32,168,"0,0",22,47,DK1,2 years,2024-01-01,"62,07993832433581","269,01586248136016","221,76435879713074","62,07993832433581","257,1085152707079","221,76435879713077","62,07993832433579","64,75062200686496","53,11979781686303","38,088738100609305","52,41584367563313","56,210648877353854","77,21737235666468","92,75654543636166"
128,2,"0,0003",300,25,32,168,"0,0",19,44,DK1,2 years,2024-01-01,"62,083630139452346","269,1715504202852","221,89557888808767","62,083630139452346","257,2393578581781","221,89557888808767","62,083630139452346","64,81179595484916","53,175390366096025","38,07456954163979","52,415843306647716","56,1716808491514","77,19927935166794","92,73685160611441"
64,2,"0,0003",300,25,64,168,"0,0",69,94,DK1,2 years,2024-01-01,"62,08835848982966","265,371540781485","219,076321425633","62,08835848982966","254,230835953283","219,076321425633","62,08835848982965","63,46607649197466","51,91736390059467","38,63852400109072","52,58844819811445","57,07457028505109","77,70643905914082","93,22708749284118"
128,2,"0,0003",300,25,64,168,"0,0",48,73,DK1,2 years,2024-01-01,"62,247827144186324","273,5445672826044","226,00711713777088","62,247827144186324","260,02691282259894","226,00711713777088","62,247827144186324","66,82220019776643","55,3881282610214","36,990622711777576","52,617006914022596","54,638470535221636","77,03185322808866","92,24650816140594"
128,2,"0,0003",300,25,64,24,"0,0",35,60,DK1,2 years,2024-01-01,"62,35179189623943","268,40994200310286","219,98590638065883","62,35179189623943","257,36026325680007","219,9859063806588","62,35179189623943","63,208546367612456","51,687209853821344","38,75862909430523","52,6688773949471","57,24850520174092","77,8165397368384","95,07423562441059"
64,2,"0,0007",300,25,64,168,"0,0",34,59,DK1,2 years,2024-01-01,"62,506517508748615","280,44475808813917","230,45404334480213","62,506517508748615","265,90639205021506","230,45404334480216","62,50651750874862","67,80548612867753","56,20784654488514","37,83420433312577","52,878348658008086","54,49032973211059","76,42980997030445","91,89959719412873"
128,2,"0,0005",300,25,64,24,"0,0",32,57,DK1,2 years,2024-01-01,"62,80736499540987","272,621147076078","228,0684870379377","62,80736499540987","257,8402475953461","228,06848703793773","62,80736499540986","68,42101798770169","57,912300972031225","34,37907638868722","53,23646031053642","54,556034979712585","77,8252797100773","93,32138461912263"
64,2,"0,0007",300,25,32,168,"0,0",21,46,DK1,2 years,2024-01-01,"62,99773924273836","292,0075040385185","238,8559308724656","62,99773924273836","272,8052749523158","238,85593087246562","62,997739242738355","70,74807819727204","60,43486255399886","36,39241969855742","54,06373064841915","52,77549418593372","75,5855720112781","90,98401740370919"
