hidden_size,layers,learning_rate,max_epochs,patience,batch_size,sequence_length,dropout,best_epoch,epochs_trained,price_zone,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
48,3,"0,001",60,10,32,24,"0,3",13,23,DK1,2 years,2024-01-01,"63,499065191754696","253,21932314238404","209,99532202542332","63,499065191754696","243,2153784067103","209,99532202542332","63,4990651917547","59,12202353982248","47,02804281555575","42,8709418193315","54,785436895569944","62,606830484009315","85,48322839227492","92,59695239571899"
128,3,"0,001",60,10,32,168,"0,2",5,15,DK1,2 years,2024-01-01,"63,8159574314773","258,67985039494846","214,3765541297571","63,8159574314773","248,2831520222238","214,37655412975715","63,81595743147731","57,38452978338124","47,32014431138485","43,559515315451335","54,47268160077776","61,735218175039705","84,91001844564275","97,32959438866354"
128,3,"0,001",60,10,32,24,"0,3",5,15,DK1,2 years,2024-01-01,"64,05374563972784","259,7697556634581","216,01051806251306","64,05374563972784","249,55241430573113","216,01051806251309","64,05374563972784","57,952263870658264","46,94296826418674","43,620245504364874","54,05559532347948","63,32148825389979","83,7398454471012","98,74381281440448"
128,3,"0,001",60,10,32,168,"0,3",14,24,DK1,2 years,2024-01-01,"64,3350314896514","251,8521817357544","210,50212963084047","64,3350314896514","237,3918863605548","210,50212963084044","64,33503148965141","60,86747752560074","47,490939536858136","37,49924521990672","54,0986998554179","64,16308614272933","86,48300556118373","99,74276658586327"
48,3,"0,001",60,10,32,168,"0,2",23,33,DK1,2 years,2024-01-01,"64,52987930329","257,5962754085404","213,23799207196913","64,52987930329","242,65961311074844","213,23799207196916","64,52987930329","65,85629147961994","55,93371549460738","38,738295466888474","52,57224782895658","62,461435631801756","85,77362460792381","90,37354461323206"
128,3,"0,001",60,10,64,168,"0,2",19,29,DK1,2 years,2024-01-01,"64,64882205223608","247,58664329551598","205,69871976575322","64,64882205223608","232,13327883448136","205,69871976575322","64,64882205223608","59,15057296244904","46,48541549527199","37,61117826287866","54,047278110951325","67,20990498678766","90,59413512571115","97,44326942160276"
64,3,"0,001",60,10,64,24,"0,3",19,29,DK1,2 years,2024-01-01,"64,75685257448559","255,4620786785673","212,8661100847633","64,75685257448559","245,06010034911682","212,86611008476325","64,75685257448559","56,885186075948624","45,85376362811429","44,34377731081972","54,63910182390053","63,999405353368616","87,34620243775987","100,23053139148756"
128,3,"0,001",60,10,64,24,"0,2",21,31,DK1,2 years,2024-01-01,"64,79639418239272","251,70190574725763","209,55279464639005","64,79639418239272","235,9796275609148","209,55279464639014","64,79639418239273","61,605017798182004","49,71030175112039","35,66706635539381","53,29317129401789","64,36599978645222","93,69336777734551","95,23983451423724"
64,3,"0,001",60,10,32,168,"0,3",10,20,DK1,2 years,2024-01-01,"65,42193983296721","258,2615665108476","215,3798991662158","65,42193983296721","247,5037789261292","215,3798991662158","65,42193983296721","56,46551691240283","47,89657185595122","43,17369793022397","54,399982390501336","65,18314191862062","90,88545236630469","99,94921545676583"
128,3,"0,001",60,10,64,24,"0,3",21,31,DK1,2 years,2024-01-01,"65,5898333752778","263,16346035275717","218,6567907156915","65,5898333752778","248,69908552157608","218,65679071569147","65,58983337527782","62,22024775129906","54,37540432527386","37,91027707306533","55,84947186625203","62,17501599409546","89,18697949921554","97,41143711774345"
128,3,"0,001",60,10,32,24,"0,2",20,30,DK1,2 years,2024-01-01,"65,61411574819729","277,9480228765522","225,84679437839253","65,61411574819729","261,99191852399747","225,84679437839253","65,61411574819729","63,09601112081019","52,74301041371204","44,61329260478692","56,7128978584932","64,54341068650626","87,54199842560685","90,04818912746556"
64,3,"0,001",60,10,32,168,"0,2",14,24,DK1,2 years,2024-01-01,"65,84119699004378","247,62925252129463","208,4173526970484","65,84119699004378","234,08444844246037","208,41735269704841","65,84119699004377","57,055826323904526","46,07747155827304","38,8433668525678","59,334812528447586","68,59710318414955","93,98802535817181","96,9917731247921"
48,3,"0,001",60,10,64,168,"0,3",32,42,DK1,2 years,2024-01-01,"65,94984958625115","256,03729271110956","215,7526237417657","65,94984958625115","242,54772964147975","215,75262374176572","65,94984958625113","59,37156487710705","48,03912063413047","38,18345458772731","55,536372149118726","67,99137488674366","93,59488118636963","98,93217878256112"
48,3,"0,001",60,10,32,168,"0,3",12,22,DK1,2 years,2024-01-01,"66,07460528380157","253,33384327610986","209,80067125514364","66,07460528380157","243,21947997921606","209,80067125514367","66,07460528380157","55,09237667313289","49,53369280701071","49,917087800201365","59,841642710516","66,04190626954933","89,30551994105886","92,79001078514182"
32,3,"0,001",60,10,64,168,"0,3",34,44,DK1,2 years,2024-01-01,"66,36718191085397","259,4580673920469","215,29031312038347","66,36718191085397","247,3491551961504","215,29031312038344","66,36718191085397","57,75629924281179","45,439716237857326","48,49508074759876","60,093288472229844","66,86942350678055","89,6820186071102","96,23444656158932"
32,3,"0,001",60,10,32,24,"0,2",20,30,DK1,2 years,2024-01-01,"66,42851708865655","257,1429268416475","214,15902446488371","66,42851708865655","244,8369415855157","214,15902446488371","66,42851708865655","57,92134755940509","45,824961053039516","41,96613245189378","56,058617049422075","67,7222208257175","94,37540541486966","101,13093526624827"
