hidden_size,layers,learning_rate,max_epochs,patience,batch_size,sequence_length,dropout,best_epoch,epochs_trained,price_zone,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
32,1,"0,001",100,10,64,168,"0,0",39,49,DK1,2 years,2024-01-01,"65,98410395333664","253,84815806867837","212,39087948788782","65,98410395333664","241,5829042764448","212,39087948788776","65,98410395333664","56,775276778858895","46,65122567425323","44,17353279301004","55,73933251439484","66,6330552740702","93,78091838556547","98,13538625320375"
64,1,"0,0005",100,10,32,24,"0,0",20,30,DK1,2 years,2024-01-01,"66,6859484112531","250,4081864628049","210,23118440378425","66,6859484112531","237,56162933805263","210,23118440378423","66,68594841125308","54,87443449250543","48,18850204345748","46,00674161531295","57,84686865074682","67,96204499083689","94,12055434995264","97,80249273595945"
32,1,"0,0005",100,10,64,24,"0,0",90,100,DK1,2 years,2024-01-01,"66,69163222745769","252,61821999027262","213,49990087460506","66,69163222745769","239,46566289432872","213,49990087460515","66,69163222745769","59,21278623375109","49,11920594576142","43,73324314221267","56,706557723520135","65,2305413334376","93,07612901463645","99,7629621988845"
64,1,"0,0005",100,10,64,24,"0,0",46,56,DK1,2 years,2024-01-01,"66,94775716999453","251,7371092382021","213,43059359646324","66,94775716999453","239,1485682362915","213,43059359646327","66,94775716999455","57,18115956175767","51,97561088536061","42,034967651882084","58,42269500392667","68,16541123774847","92,88591282246831","97,96854302681798"
32,1,"0,0005",100,10,32,24,"0,0",43,53,DK1,2 years,2024-01-01,"67,28765532424558","254,4014550506135","214,3880352033582","67,28765532424558","241,41001598001705","214,3880352033582","67,28765532424559","56,34361831906899","50,04924472479703","42,004991953468405","58,82051109921314","67,27685942453147","95,47702093693427","101,04134081170581"
64,1,"0,001",100,10,64,24,"0,0",19,29,DK1,2 years,2024-01-01,"67,32675228238281","251,93787004672052","211,52531215364547","67,32675228238281","239,54950198262722","211,52531215364547","67,3267522823828","54,864272719596634","48,218644932577746","49,60800283186788","59,6860307412159","67,7059073839286","91,55430670154561","99,6501006659473"
32,1,"0,001",100,10,64,24,"0,0",37,47,DK1,2 years,2024-01-01,"67,33838662858886","259,7501581932469","215,7588748342823","67,33838662858886","246,18278138849578","215,7588748342823","67,33838662858886","56,150540917246424","45,44267831105702","44,46427462588043","56,91088803089977","68,34385738222525","96,14196823821709","103,91449889459608"
64,1,"0,001",100,10,32,24,"0,0",26,36,DK1,2 years,2024-01-01,"67,50856905435516","264,33489060068763","219,54052411375596","67,50856905435516","248,62188590709295","219,540524113756","67,50856905435516","63,34697086459784","54,174769419150905","41,450329224876185","57,41408411755757","69,18702998035785","92,53011942220456","94,45668035174124"
32,1,"0,0005",100,10,32,168,"0,0",38,48,DK1,2 years,2024-01-01,"67,66896150693333","254,26841300113267","213,73600957289995","67,66896150693333","240,3861893656278","213,73600957289997","67,66896150693333","54,18414692489276","46,103296499429135","46,680283544691974","59,98408173398943","69,41403331920885","93,39813903686112","103,91874948946003"
32,1,"0,001",100,10,32,168,"0,0",25,35,DK1,2 years,2024-01-01,"67,74444075089022","253,7798561446203","213,3092583029298","67,74444075089022","239,50806555054632","213,30925830292986","67,7444407508902","58,61301100004917","49,21868013857984","40,95396071001448","58,12702811772057","69,32208738144747","95,62981424190828","102,34650366651167"
64,1,"0,001",100,10,64,168,"0,0",35,45,DK1,2 years,2024-01-01,"67,76075675097577","263,6936908266497","218,44637446488852","67,76075675097577","247,37844498917116","218,44637446488852","67,76075675097577","59,83132973733891","51,31253298827087","37,1102311796966","58,056841795928065","66,81831840322002","96,64549815872999","104,55054499364601"
64,1,"0,001",100,10,32,168,"0,0",23,33,DK1,2 years,2024-01-01,"68,79144857352574","257,49118002593735","213,14921289312835","68,79144857352574","241,10680745800178","213,14921289312835","68,79144857352574","59,333198733250285","50,06059780309031","41,54174954473862","59,36834574535014","70,52495806916949","97,52721189818308","103,18407822089834"
32,1,"0,0005",100,10,64,168,"0,0",64,74,DK1,2 years,2024-01-01,"68,83897273981587","260,46815020855644","216,436629822515","68,83897273981587","245,76263637629307","216,43662982251507","68,83897273981589","53,44314213189972","46,667594374576495","54,377172554113315","64,48021623020846","70,01294050292613","92,9177086282819","99,97403475670512"
64,1,"0,0005",100,10,64,168,"0,0",34,44,DK1,2 years,2024-01-01,"69,22677374212067","265,7699153178448","222,9984284040647","69,22677374212067","252,16927511971727","222,99842840406473","69,22677374212067","55,000556671062384","48,90370994743698","54,72854904115106","65,03830578606474","69,14086138074975","93,6947438596077","98,08068950877197"
64,1,"0,0005",100,10,32,168,"0,0",22,32,DK1,2 years,2024-01-01,"69,22746717844227","260,1888459707897","220,29112996565394","69,22746717844227","246,28562162908793","220,2911299656539","69,22746717844227","55,763205932498806","50,32450412981821","46,493740115029915","59,83845142932849","71,56419412438103","98,14903844980016","102,4591360682393"
32,1,"0,001",100,10,32,24,"0,0",17,27,DK1,2 years,2024-01-01,"69,25329044510073","256,55953869695105","214,87234213794306","69,25329044510073","242,70172511360133","214,8723421379431","69,25329044510072","53,459966352954964","49,15216990487261","52,92308921328022","63,10070530196001","69,54240416212792","95,68429027906609","100,91040790144325"
