"Name","Created","batch_size","dropout","hidden_size","layers","learning_rate","sequence_length","val_SMAPE","best_val_SMAPE","State","Notes","User","Tags","Runtime","Sweep","combination","include_price_history_as_input","include_remaining_2024_in_prepared_train_data","max_epochs","num_combinations","patience","predict_period","price_zone","split_setup","stride","train_window","val_start","val_window","epoch","patience_counter","best_epoch","epochs_trained"
"layers2_dropout0.2_batchsize64_seq_len168_hidden32_lr0.0005_comb064","2026-05-05T14:10:47.000Z","64","0.2","32","2","0.0005","168","71.22776215902462","71.22776215902462","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","900","","64","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","0","60","60"
"layers2_dropout0.0_batchsize64_seq_len168_hidden32_lr0.0005_comb063","2026-05-05T13:55:50.000Z","64","0","32","2","0.0005","168","72.8710641568237","72.46787969714518","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","896","","63","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","2","58","60"
"layers2_dropout0.2_batchsize64_seq_len24_hidden32_lr0.0005_comb062","2026-05-05T13:41:48.000Z","64","0.2","32","2","0.0005","24","69.65656010599616","69.65656010599616","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","841","","62","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","0","60","60"
"layers2_dropout0.0_batchsize64_seq_len24_hidden32_lr0.0005_comb061","2026-05-05T13:27:31.000Z","64","0","32","2","0.0005","24","75.47293714531179","75.01987918743352","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","856","","61","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","3","57","60"
"layers2_dropout0.2_batchsize32_seq_len168_hidden32_lr0.0005_comb060","2026-05-05T13:17:14.000Z","32","0.2","32","2","0.0005","168","71.83355936747517","71.0362833526832","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","616","","60","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","39","10","29","39"
"layers2_dropout0.0_batchsize32_seq_len168_hidden32_lr0.0005_comb059","2026-05-05T13:04:37.000Z","32","0","32","2","0.0005","168","70.71971889682126","68.90993288699033","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","756","","59","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","48","10","38","48"
"layers2_dropout0.2_batchsize32_seq_len24_hidden32_lr0.0005_comb058","2026-05-05T12:54:22.000Z","32","0.2","32","2","0.0005","24","70.50924250424596","69.98624169019399","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","614","","58","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","41","10","31","41"
"layers2_dropout0.0_batchsize32_seq_len24_hidden32_lr0.0005_comb057","2026-05-05T12:39:25.000Z","32","0","32","2","0.0005","24","69.80974324755455","69.80974324755455","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","896","","57","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","0","60","60"
"layers2_dropout0.2_batchsize64_seq_len168_hidden32_lr0.001_comb056","2026-05-05T12:24:07.000Z","64","0.2","32","2","0.001","168","66.12458767568037","64.72597328481314","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","917","","56","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","9","51","60"
"layers2_dropout0.0_batchsize64_seq_len168_hidden32_lr0.001_comb055","2026-05-05T12:10:20.000Z","64","0","32","2","0.001","168","70.9298413413978","67.46910142324735","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","826","","55","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","54","10","44","54"
"layers2_dropout0.2_batchsize64_seq_len24_hidden32_lr0.001_comb054","2026-05-05T11:58:19.000Z","64","0.2","32","2","0.001","24","66.35848217053967","65.60084653713292","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","720","","54","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","49","10","39","49"
"layers2_dropout0.0_batchsize64_seq_len24_hidden32_lr0.001_comb053","2026-05-05T11:43:48.000Z","64","0","32","2","0.001","24","67.33059270175863","66.23742625584723","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","868","","53","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","3","57","60"
"layers2_dropout0.2_batchsize32_seq_len168_hidden32_lr0.001_comb052","2026-05-05T11:28:52.000Z","32","0.2","32","2","0.001","168","68.12591265321956","64.69134948457182","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","895","","52","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","50","10","40","50"
"layers2_dropout0.0_batchsize32_seq_len168_hidden32_lr0.001_comb051","2026-05-05T11:19:31.000Z","32","0","32","2","0.001","168","67.19596761722705","66.13142953385707","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","560","","51","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","35","10","25","35"
"layers2_dropout0.2_batchsize32_seq_len24_hidden32_lr0.001_comb050","2026-05-05T11:11:05.000Z","32","0.2","32","2","0.001","24","67.81654891620634","66.72623500618191","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","505","","50","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","34","10","24","34"
"layers2_dropout0.0_batchsize32_seq_len24_hidden32_lr0.001_comb049","2026-05-05T11:01:29.000Z","32","0","32","2","0.001","24","75.07751059421722","66.13064227983524","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","575","","49","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","39","10","29","39"
"layers1_dropout0.0_batchsize64_seq_len168_hidden32_lr0.0005_comb047","2026-05-05T10:46:16.000Z","64","0","32","1","0.0005","168","68.93660451089863","68.93660451089863","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","912","","47","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","0","60","60"
"layers1_dropout0.0_batchsize64_seq_len24_hidden32_lr0.0005_comb045","2026-05-05T10:32:08.000Z","64","0","32","1","0.0005","24","74.52973256091866","73.67946456544422","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","842","","45","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","5","55","60"
"layers1_dropout0.0_batchsize32_seq_len168_hidden32_lr0.0005_comb043","2026-05-05T10:18:42.000Z","32","0","32","1","0.0005","168","69.70230631809937","65.26349950886704","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","800","","43","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","52","10","42","52"
"layers1_dropout0.0_batchsize32_seq_len24_hidden32_lr0.0005_comb041","2026-05-05T10:06:52.000Z","32","0","32","1","0.0005","24","71.79526394784568","65.2573602660959","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","706","","41","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","46","10","36","46"
"layers1_dropout0.0_batchsize64_seq_len168_hidden32_lr0.001_comb039","2026-05-05T09:53:27.000Z","64","0","32","1","0.001","168","66.22622328690902","64.77783924436659","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","798","","39","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","49","10","39","49"
