"Name","Created","dropout","hidden_size","layers","learning_rate","sequence_length","batch_size","val_SMAPE","best_val_SMAPE","State","Notes","User","Tags","Runtime","Sweep","include_price_history_as_input","include_remaining_2024_in_prepared_train_data","max_epochs","num_combinations","patience","predict_period","price_zone","split_setup","stride","train_window","val_start","val_window","combination","epoch","patience_counter","best_epoch","epochs_trained"
"layers2_dropout0.2_batchsize64_seq_len168_hidden32_lr0.0005_comb064","2026-05-04T13:09:01.000Z","0.2","32","2","0.0005","168","64","79.78097210577772","78.84021044217188","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","365","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","64","60","1","59","60"
"layers2_dropout0.0_batchsize64_seq_len168_hidden32_lr0.0005_comb063","2026-05-04T13:02:53.000Z","0","32","2","0.0005","168","64","73.04569168327858","72.26946194396423","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","367","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","63","60","2","58","60"
"layers2_dropout0.2_batchsize64_seq_len24_hidden32_lr0.0005_comb062","2026-05-04T12:57:36.000Z","0.2","32","2","0.0005","24","64","77.82412091796981","77.82412091796981","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","316","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","62","60","0","60","60"
"layers2_dropout0.0_batchsize64_seq_len24_hidden32_lr0.0005_comb061","2026-05-04T12:52:19.000Z","0","32","2","0.0005","24","64","72.47083035885656","72.47083035885656","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","316","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","61","60","0","60","60"
"layers2_dropout0.2_batchsize32_seq_len168_hidden32_lr0.0005_comb060","2026-05-04T12:45:36.000Z","0.2","32","2","0.0005","168","32","73.17015975451953","69.59639688681084","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","402","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","9","51","60"
"layers2_dropout0.0_batchsize32_seq_len168_hidden32_lr0.0005_comb059","2026-05-04T12:39:01.000Z","0","32","2","0.0005","168","32","79.00366766844513","72.96334504980439","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","394","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","59","59","10","49","59"
"layers2_dropout0.2_batchsize32_seq_len24_hidden32_lr0.0005_comb058","2026-05-04T12:34:41.000Z","0.2","32","2","0.0005","24","32","74.33272891770457","70.96496234207778","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","259","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","58","45","10","35","45"
"layers2_dropout0.0_batchsize32_seq_len24_hidden32_lr0.0005_comb057","2026-05-04T12:29:08.000Z","0","32","2","0.0005","24","32","72.76258374304031","70.48977980021616","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","332","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","57","58","10","48","58"
"layers2_dropout0.2_batchsize64_seq_len168_hidden32_lr0.001_comb056","2026-05-04T12:24:25.000Z","0.2","32","2","0.001","168","64","70.86638524396867","69.50783529773497","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","282","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","56","46","10","36","46"
"layers2_dropout0.0_batchsize64_seq_len168_hidden32_lr0.001_comb055","2026-05-04T12:20:12.000Z","0","32","2","0.001","168","64","72.89698404163732","70.0547688959335","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","252","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","55","41","10","31","41"
