hidden_size,layers,learning_rate,max_epochs,patience,batch_size,sequence_length,dropout,best_epoch,epochs_trained,price_zone,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
32,2,"0,0005",60,8,32,24,"0,2",52,60,DK1,2 years,2024-01-01,"62,64845273679866","233,3475485297346","196,03130536798676","62,64845273679866","224,05648901753892","196,0313053679868","62,64845273679866","58,11729621409153","46,51906656846516","35,56141424395997","53,30258102468532","61,856398126591564","80,60857922303238","102,57383375676469"
32,1,"0,0005",60,8,32,24,"0,0",42,50,DK1,2 years,2024-01-01,"64,54920474293544","236,71829572900089","195,4428395520579","64,54920474293544","225,00595877060087","195,4428395520579","64,54920474293544","55,02259122307187","41,29517038226045","43,40090027993174","57,238893560353034","65,64691918828686","85,59409123539378","103,64586733125041"
32,1,"0,001",60,8,32,168,"0,0",25,33,DK1,2 years,2024-01-01,"64,69902339371706","238,55603142241995","198,73722904030063","64,69902339371706","226,9628855134774","198,73722904030063","64,69902339371706","55,74642230952675","40,79045085020422","40,285523506326726","56,06945562946389","66,76131837590552","86,84319431265153","106,39679877194077"
32,2,"0,001",60,8,32,168,"0,2",30,38,DK1,2 years,2024-01-01,"64,75218037706425","234,39516208953245","194,7708022678217","64,75218037706425","224,03366541568457","194,77080226782178","64,75218037706426","57,510061289370654","44,74797618046964","37,778746588620876","57,85289704324044","64,34722962530252","85,92724277313285","105,10110913931283"
32,1,"0,0005",60,8,32,168,"0,0",43,51,DK1,2 years,2024-01-01,"65,41093806492049","238,6511086924579","197,05638242010315","65,41093806492049","226,55663272276578","197,05638242010318","65,4109380649205","57,55614095507557","40,769249753700514","42,446456873466914","57,85365821214897","66,41890386669039","86,25462254012977","106,57753425323132"
32,2,"0,001",60,8,64,24,"0,0",59,60,DK1,2 years,2024-01-01,"65,49444524301876","246,83842279159308","210,63849641173152","65,49444524301876","238,17153308853761","210,63849641173152","65,49444524301876","62,10300124781144","48,242872291334855","37,08100514059346","54,90553903891085","64,15023292693792","83,35887767724292","108,61958837829985"
16,2,"0,001",60,8,32,168,"0,0",53,60,DK1,2 years,2024-01-01,"65,65503175393503","242,39717668100442","204,85642804194424","65,65503175393503","232,90805967075994","204,8564280419442","65,65503175393505","59,38842971338287","46,03645952677713","38,45597885368216","58,052136082170136","67,41151419124394","84,77071623674172","105,46998767354728"
32,2,"0,001",60,8,32,24,"0,2",23,31,DK1,2 years,2024-01-01,"65,80302309966133","247,87789087348074","207,11311897036163","65,80302309966133","237,15019307837284","207,11311897036165","65,80302309966133","59,550408951952974","43,9731216854283","40,576604997225125","58,56434258056509","65,44337014248045","84,88765380805627","107,62565953192112"
32,2,"0,0005",60,8,32,168,"0,2",48,56,DK1,2 years,2024-01-01,"65,84144953812978","241,80512876424794","202,49589963634781","65,84144953812978","231,41102093925915","202,49589963634781","65,84144953812978","57,88059551287178","45,15231994868399","39,12959764041858","56,43978254768546","65,68802201829905","85,890784404017","110,70904469493263"
32,2,"0,0005",60,8,32,24,"0,0",56,60,DK1,2 years,2024-01-01,"66,06752501626667","257,22742863459166","216,88292009710693","66,06752501626667","246,7110957032085","216,8829200971069","66,06752501626667","62,22955884186635","49,96668223511708","38,1884509205509","55,86404243152078","66,16471329732587","84,93842963072193","105,1207977567638"
16,2,"0,001",60,8,32,168,"0,2",52,60,DK1,2 years,2024-01-01,"66,13101102551707","246,52097250792002","206,97552685002825","66,13101102551707","236,68359424695663","206,9755268500283","66,13101102551705","58,022926670286566","45,72181821543106","38,24063460828282","57,65035463705242","64,58202784299078","85,58933156930708","113,10998363526869"
16,1,"0,001",60,8,32,24,"0,0",55,60,DK1,2 years,2024-01-01,"66,33534182308645","246,08951178491156","205,58126906898423","66,33534182308645","235,5575607178862","205,58126906898428","66,33534182308645","64,68847189666485","45,64174363490774","38,52974172073635","56,93493208680628","64,34555226498834","84,16453172120197","110,04241943629962"
16,2,"0,001",60,8,32,24,"0,0",50,58,DK1,2 years,2024-01-01,"66,55076521512726","252,7076357107624","215,9467553115714","66,55076521512726","244,18741630982385","215,9467553115714","66,55076521512726","59,68853201992171","49,00412283786059","39,84313673930288","57,18025556563442","68,08782355553575","85,97521638658921","106,0762694010462"
16,2,"0,001",60,8,32,24,"0,2",42,50,DK1,2 years,2024-01-01,"66,78222619104714","247,0983979485877","209,40749739561682","66,78222619104714","237,4838845541255","209,4074973956168","66,78222619104713","61,82744983638091","46,807492471053656","38,072044135728454","55,06200319979446","65,49865141391496","85,2870793960538","114,92086288440375"
32,1,"0,001",60,8,32,24,"0,0",33,41,DK1,2 years,2024-01-01,"67,05648528965453","242,29466562442755","203,89306377630578","67,05648528965453","231,96990710541846","203,89306377630578","67,05648528965453","61,15781442007467","45,568160178333564","38,89797276039569","56,73848987071293","65,93239620659212","88,39798843382094","112,70257515765184"
32,2,"0,001",60,8,32,168,"0,0",29,37,DK1,2 years,2024-01-01,"67,10823160242137","250,88076066977476","213,8219253323524","67,10823160242137","241,26397269287273","213,82192533235238","67,10823160242137","59,95078764226752","46,61834349511473","39,532721419472985","57,07847586573994","69,02964115223219","87,12967850009233","110,41797314202992"
32,1,"0,001",60,8,64,24,"0,0",35,43,DK1,2 years,2024-01-01,"67,35425547726393","249,59969373156963","206,72269159150696","67,35425547726393","237,24199263815277","206,72269159150696","67,35425547726395","58,21439188962733","42,087248534489405","47,09208030370158","60,01044130125038","67,58255480585427","87,1207357609842","109,3723357449404"
32,2,"0,001",60,8,64,168,"0,0",46,54,DK1,2 years,2024-01-01,"67,4180493134442","251,82250913276914","213,2504024497179","67,4180493134442","241,86891812691482","213,25040244971797","67,41804931344419","61,598452380544416","47,24481209276469","38,575778030281214","56,16485727250335","69,2746751024707","88,07233953519032","110,99543078035465"
32,2,"0,001",60,8,32,24,"0,0",21,29,DK1,2 years,2024-01-01,"67,95981172909549","255,10369713779252","216,73856202970524","67,95981172909549","244,8433618030788","216,73856202970524","67,9598117290955","61,89640826625431","48,141661226587004","39,74620187114282","54,348321534822","67,36229425909653","88,71032078527271","115,51347416049303"
16,1,"0,001",60,8,32,168,"0,0",39,47,DK1,2 years,2024-01-01,"67,97249890169344","253,43951683970766","210,4648415441008","67,97249890169344","240,4684118882968","210,4648415441008","67,97249890169344","55,00548464359686","43,03749469385811","43,836820199121796","59,496416611921205","69,42090831702724","89,55356055118293","115,45680729514599"
32,2,"0,001",60,8,64,24,"0,2",41,49,DK1,2 years,2024-01-01,"68,26088892398492","250,8408581219424","209,06274167611437","68,26088892398492","237,98126472009153","209,0627416761144","68,26088892398494","63,725839424774506","42,57828720269802","43,47375542712607","59,53599879859438","71,15932233280948","87,2291502448102","110,12386903708185"
