"Name","State","Created","combination","batch_size","dropout","hidden_size","layers","learning_rate","sequence_length","best_epoch","best_val_SMAPE","Runtime","epoch","patience_counter","User","Sweep","Notes","Tags","num_combinations","patience","predict_period","price_zone","split_setup","stride","train_window","val_start","val_window","epochs_trained","max_epochs","val_SMAPE"
"DK1_rnn_hyperparameter_search_comb_064","finished","2026-04-26T03:35:25.000Z","64","64","0.2","32","2","0.0005","168","59","80.8994376379184","1615","60","1","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","81.58077460992277"
"DK1_rnn_hyperparameter_search_comb_063","finished","2026-04-26T03:09:51.000Z","63","64","0","32","2","0.0005","168","60","71.84468453943309","1533","60","0","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","71.84468453943309"
"DK1_rnn_hyperparameter_search_comb_062","finished","2026-04-26T02:53:04.000Z","62","64","0.2","32","2","0.0005","24","60","71.94332327320396","1006","60","0","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","71.94332327320396"
"DK1_rnn_hyperparameter_search_comb_061","finished","2026-04-26T02:36:20.000Z","61","64","0","32","2","0.0005","24","54","72.74402142517201","1002","60","6","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","74.223580526387"
"DK1_rnn_hyperparameter_search_comb_060","finished","2026-04-26T02:05:37.000Z","60","32","0.2","32","2","0.0005","168","48","65.84144953812978","1842","56","8","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","56","60","67.89022302871372"
"DK1_rnn_hyperparameter_search_comb_059","finished","2026-04-26T01:47:07.000Z","59","32","0","32","2","0.0005","168","27","72.99620457217424","1109","35","8","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","35","60","77.83651645946529"
"DK1_rnn_hyperparameter_search_comb_058","finished","2026-04-26T01:29:14.000Z","58","32","0.2","32","2","0.0005","24","52","62.64845273679866","1072","60","8","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","64.74739351112947"
"DK1_rnn_hyperparameter_search_comb_057","finished","2026-04-26T01:11:29.000Z","57","32","0","32","2","0.0005","24","56","66.06752501626667","1064","60","4","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","67.42252918033113"
"DK1_rnn_hyperparameter_search_comb_056","finished","2026-04-26T00:54:54.000Z","56","64","0.2","32","2","0.001","168","29","73.30165098199024","993","37","8","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","37","60","73.97540822371745"
"DK1_rnn_hyperparameter_search_comb_055","finished","2026-04-26T00:31:55.000Z","55","64","0","32","2","0.001","168","46","67.4180493134442","1378","54","8","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","54","60","71.24839664526228"
"DK1_rnn_hyperparameter_search_comb_054","finished","2026-04-26T00:18:11.000Z","54","64","0.2","32","2","0.001","24","41","68.26088892398492","823","49","8","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","49","60","74.3017077857488"
"DK1_rnn_hyperparameter_search_comb_053","finished","2026-04-26T00:01:39.000Z","53","64","0","32","2","0.001","24","59","65.49444524301876","991","60","1","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","66.2403674970583"
"DK1_rnn_hyperparameter_search_comb_052","finished","2026-04-25T23:40:51.000Z","52","32","0.2","32","2","0.001","168","30","64.75218037706425","1247","38","8","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","38","60","65.82679623727778"
"DK1_rnn_hyperparameter_search_comb_051","finished","2026-04-25T23:21:33.000Z","51","32","0","32","2","0.001","168","29","67.10823160242137","1157","37","8","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","37","60","71.07919245592797"
"DK1_rnn_hyperparameter_search_comb_050","finished","2026-04-25T23:12:21.000Z","50","32","0.2","32","2","0.001","24","23","65.80302309966133","551","31","8","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","31","60","67.68464818121954"
"DK1_rnn_hyperparameter_search_comb_049","finished","2026-04-25T23:03:41.000Z","49","32","0","32","2","0.001","24","21","67.95981172909549","516","29","8","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","29","60","68.3356466888278"
