"Name","State","Created","combination","batch_size","dropout","hidden_size","layers","learning_rate","sequence_length","best_val_SMAPE","epoch","patience_counter","Notes","User","Tags","Runtime","Sweep","max_epochs","num_combinations","patience","predict_period","price_zone","split_setup","stride","train_window","val_start","val_window","val_SMAPE","best_epoch","epochs_trained"
"DK2_rnn_hyperparameter_search_comb_064","finished","2026-04-27T13:46:53.000Z","64","64","0.2","32","2","0.0005","168","69.09021235275564","60","0","-","","cross-validation, early-stopping, hyperparameter-search, rnn","1581","","60","64","8","168","DK2","2","2184","17520","2024-01-01 00:00:00","8784","69.09021235275564","60","60"
"DK2_rnn_hyperparameter_search_comb_063","finished","2026-04-27T13:21:37.000Z","63","64","0","32","2","0.0005","168","67.39877643128905","60","0","-","","cross-validation, early-stopping, hyperparameter-search, rnn","1515","","60","64","8","168","DK2","2","2184","17520","2024-01-01 00:00:00","8784","67.39877643128905","60","60"
"DK2_rnn_hyperparameter_search_comb_062","finished","2026-04-27T13:04:35.000Z","62","64","0.2","32","2","0.0005","24","74.31289156476501","60","0","-","","cross-validation, early-stopping, hyperparameter-search, rnn","1021","","60","64","8","168","DK2","2","2184","17520","2024-01-01 00:00:00","8784","74.31289156476501","60","60"
"DK2_rnn_hyperparameter_search_comb_061","finished","2026-04-27T12:47:38.000Z","61","64","0","32","2","0.0005","24","66.80633890030909","60","0","-","","cross-validation, early-stopping, hyperparameter-search, rnn","1015","","60","64","8","168","DK2","2","2184","17520","2024-01-01 00:00:00","8784","66.80633890030909","60","60"
"DK2_rnn_hyperparameter_search_comb_060","finished","2026-04-27T12:16:40.000Z","60","32","0.2","32","2","0.0005","168","62.59375286674511","58","8","-","","cross-validation, early-stopping, hyperparameter-search, rnn","1857","","60","64","8","168","DK2","2","2184","17520","2024-01-01 00:00:00","8784","63.751189787218806","50","58"
"DK2_rnn_hyperparameter_search_comb_059","finished","2026-04-27T11:46:55.000Z","59","32","0","32","2","0.0005","168","62.13390507756459","58","8","-","","cross-validation, early-stopping, hyperparameter-search, rnn","1784","","60","64","8","168","DK2","2","2184","17520","2024-01-01 00:00:00","8784","64.84382714386378","50","58"
"DK2_rnn_hyperparameter_search_comb_058","finished","2026-04-27T11:29:44.000Z","58","32","0.2","32","2","0.0005","24","62.991470130302815","57","8","-","","cross-validation, early-stopping, hyperparameter-search, rnn","1030","","60","64","8","168","DK2","2","2184","17520","2024-01-01 00:00:00","8784","66.98506242901937","49","57"
"DK2_rnn_hyperparameter_search_comb_057","finished","2026-04-27T11:12:41.000Z","57","32","0","32","2","0.0005","24","61.36233354074669","57","8","-","","cross-validation, early-stopping, hyperparameter-search, rnn","1022","","60","64","8","168","DK2","2","2184","17520","2024-01-01 00:00:00","8784","65.94027923018422","49","57"
"DK2_rnn_hyperparameter_search_comb_056","finished","2026-04-27T10:46:05.000Z","56","64","0.2","32","2","0.001","168","60.7841194244691","60","8","-","","cross-validation, early-stopping, hyperparameter-search, rnn","1595","","60","64","8","168","DK2","2","2184","17520","2024-01-01 00:00:00","8784","62.33788063513084","52","60"
"DK2_rnn_hyperparameter_search_comb_055","finished","2026-04-27T10:25:29.000Z","55","64","0","32","2","0.001","168","64.34450705712817","49","8","-","","cross-validation, early-stopping, hyperparameter-search, rnn","1235","","60","64","8","168","DK2","2","2184","17520","2024-01-01 00:00:00","8784","67.11282958005573","41","49"
"DK2_rnn_hyperparameter_search_comb_054","finished","2026-04-27T10:13:00.000Z","54","64","0.2","32","2","0.001","24","64.49515159072534","44","8","-","","cross-validation, early-stopping, hyperparameter-search, rnn","748","","60","64","8","168","DK2","2","2184","17520","2024-01-01 00:00:00","8784","67.08266672705386","36","44"
"DK2_rnn_hyperparameter_search_comb_053","finished","2026-04-27T09:59:33.000Z","53","64","0","32","2","0.001","24","64.3039793197488","48","8","-","","cross-validation, early-stopping, hyperparameter-search, rnn","806","","60","64","8","168","DK2","2","2184","17520","2024-01-01 00:00:00","8784","65.67443830308292","40","48"
"DK2_rnn_hyperparameter_search_comb_052","finished","2026-04-27T09:41:27.000Z","52","32","0.2","32","2","0.001","168","61.59634805185674","34","8","-","","cross-validation, early-stopping, hyperparameter-search, rnn","1085","","60","64","8","168","DK2","2","2184","17520","2024-01-01 00:00:00","8784","62.43608873548294","26","34"
