order,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
"(10, 1, 0)","103,74572065540707","853,8376294648396","692,276923165773","103,74572065540707","807,2654485148117","692,2769231657729","103,74572065540707","92,48755083417494","93,89588653414407","97,65124931283897","104,9209215729535","101,3886991545663","110,5535700145831","125,32216716458856"
"(4, 1, 0)","105,24508472015394","855,8790366260774","688,4184384238034","105,24508472015394","808,6634055891319","688,4184384238037","105,24508472015391","93,18668951647236","95,74626837829508","99,85326317852622","106,27396337411248","102,55951049625122","112,22912891060302","126,86676918681702"
"(3, 1, 0)","105,43267380854854","855,9654728068216","687,5529502550806","105,43267380854854","808,4576125776882","687,5529502550808","105,43267380854853","93,24276926532761","95,90373996059611","100,13318081377767","106,43951921281753","102,2820230666476","112,34790594925923","127,679578391414"
"(2, 1, 0)","105,50110913121469","857,1373254632449","688,4296018186451","105,50110913121469","809,5249808568541","688,429601818645","105,5011091312147","93,4537667318011","96,06559978441027","100,32495546793704","106,35282933178094","101,90762252848073","112,6380786955334","127,76491137855943"
"(0, 1, 1)","105,71475299465807","856,1779856504602","688,312944252915","105,71475299465807","809,2065904258291","688,3129442529148","105,71475299465807","93,60075569118","96,32975328894871","100,38860518971748","106,7277304491196","102,02391585766347","112,97995799777867","127,9525524881986"
"(1, 1, 0)","105,72597927546484","856,0232619538145","688,2255117400504","105,72597927546484","809,070967501068","688,2255117400504","105,7259792754648","93,65546948336797","96,35899625182627","100,38023808871627","106,72724829907767","102,01723906924151","112,99180319740358","127,95086053862047"
"(1, 1, 1)","116,87198622269376","1151,284942442709","955,1616826894598","116,87198622269376","1078,982027389704","955,1616826894598","116,87198622269376","104,94541179123922","108,77435986044921","108,29959850018828","115,01871070575596","118,2377638314932","125,97421807867666","136,85384079105387"
"(2, 1, 1)","134,5781008052759","1768,200632889286","1488,439914338031","134,5781008052759","1671,1545401135952","1488,439914338031","134,5781008052759","119,36467955666586","130,14467178423354","126,68221225302574","133,48550187724442","133,49012389788084","143,26443577684546","155,61508049103557"
"(3, 1, 1)",,,,,,,,,,,,,,
"(4, 1, 1)",,,,,,,,,,,,,,
"(10, 1, 1)",,inf,"1,0597054249531606e+301",,inf,"4,7686744122892225e+301","199,99999999861694","199,99999999861694",,,,,,
