n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,subsample_freq,colsample_bytree,reg_alpha,reg_lambda,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
200,"0,01",127,-1,50,"0,8",1,"1,0","0,0","0,0","56,6832135241041","345,8443098382388","275,77527867373124","56,6832135241041","320,6136551115661","275,7752786737312","56,68321352410411","55,386388042606015","51,95954028465411","50,56737277429086","47,26192929354687","43,707133044746456","62,78980396679805","85,11032726208634"
200,"0,01",63,-1,50,"0,8",1,"1,0","0,0","0,0","56,86429754620637","347,5059962667789","277,0383045510356","56,86429754620637","322,8331629117389","277,03830455103565","56,86429754620637","54,630265669769","52,00904641967276","51,04834591942527","47,04030332172148","45,87628593382108","62,145343499521296","85,30049205951369"
200,"0,01",63,-1,50,"1,0",1,"1,0","0,0","0,0","57,07946999528974","349,70582123381075","278,73533837849567","57,07946999528974","325,08299969252465","278,73533837849567","57,07946999528974","55,192313043078215","52,12566509851595","51,73247707864739","47,38635574042695","46,46354944424452","61,857651413770625","84,79827814834454"
200,"0,01",127,-1,50,"1,0",1,"1,0","0,0","0,0","57,21702402304278","352,98333466873055","281,9995826823207","57,21702402304278","327,09558871902294","281,9995826823207","57,21702402304278","55,93536749867391","52,86579539211107","50,97515715422535","47,609423816514735","44,89087635414133","62,835216092404394","85,40733185322867"
200,"0,01",15,-1,1,"1,0",1,"1,0","0,0","0,0","57,273901092065664","319,5648729614552","250,20107571593962","57,273901092065664","293,3245104339047","250,20107571593965","57,27390109206567","52,19521618612209","48,45595952812105","50,26790514969926","48,073731546508576","54,60660863868051","68,63381220680786","78,68407438852034"
200,"0,01",63,-1,20,"1,0",1,"1,0","0,0","0,0","57,396092520941735","351,1968243774302","281,09307078145713","57,396092520941735","326,6645597634534","281,09307078145713","57,39609252094174","54,735671285150985","53,11377624752381","52,908031965173834","47,35437042553371","46,65284958386144","62,17211691512446","84,83583122422395"
200,"0,01",15,-1,20,"0,8",1,"1,0","0,0","0,0","57,52173296312864","319,84659833319284","251,32929853249414","57,52173296312864","294,1505646283145","251,3292985324942","57,521732963128635","51,96088682144365","48,38880167636933","50,14119913603759","47,97505607033401","55,49578327145393","69,80068805753996","78,889715708722"
200,"0,01",63,-1,1,"1,0",1,"1,0","0,0","0,0","57,54155384861987","353,64304816132704","283,14604328762914","57,54155384861987","328,8910507960463","283,14604328762914","57,54155384861987","55,343731110289276","53,63403694087894","54,232004379722596","47,252114886127885","46,61821150482277","61,23398006427676","84,47679805422084"
200,"0,01",63,-1,20,"0,8",1,"1,0","0,0","0,0","57,57689161468703","353,51014158819976","283,23388062473316","57,57689161468703","328,7477266986987","283,2338806247331","57,57689161468703","54,80487337314824","53,15837812684833","53,07898638574552","47,559610217155736","46,61217758113634","62,094820814074886","85,72939480470009"
200,"0,01",127,-1,20,"0,8",1,"1,0","0,0","0,0","57,73688455716787","356,98611390004953","287,05987605468806","57,73688455716787","331,12674016436625","287,05987605468806","57,73688455716787","55,630630821433655","53,3215044141311","53,016402243592196","47,9492509437062","44,875756190568865","63,0089841741918","86,35566311255131"
200,"0,01",15,-1,1,"0,8",1,"1,0","0,0","0,0","57,83599082927086","323,7277404524239","254,83123804961573","57,83599082927086","298,00217308807794","254,8312380496157","57,83599082927087","52,10054007673221","49,72255531879799","50,19145803435119","47,9138105376","55,329931320168654","70,42924334330417","79,16439717394185"
200,"0,01",15,-1,20,"1,0",1,"1,0","0,0","0,0","57,84508165352601","324,9861008147298","255,56241330169223","57,84508165352601","298,98716442418885","255,56241330169223","57,84508165352601","52,04255769370032","49,35032055827746","50,13334632182371","48,06777049817145","55,59120472753689","70,61944846135111","79,11092331382116"
200,"0,01",63,-1,1,"0,8",1,"1,0","0,0","0,0","57,91194802251481","356,72307591314416","286,2368189598675","57,91194802251481","331,816963984008","286,2368189598675","57,911948022514814","54,99646780831266","54,00813732014226","55,44021441560333","47,615717418762586","46,7599943489312","61,860958626398066","84,70214621945357"
200,"0,01",127,-1,20,"1,0",1,"1,0","0,0","0,0","58,30658410783771","364,7695814236058","293,51805929044974","58,30658410783771","338,0948786908063","293,5180592904498","58,30658410783771","55,95120520911535","53,73036619083703","53,351267451687406","48,027343081805284","45,743420107866356","63,766611874744314","87,57587483880823"
200,"0,01",127,-1,1,"1,0",1,"1,0","0,0","0,0","58,35245634865641","364,68056086281433","294,37534758832317","58,35245634865641","339,0688880245134","294,37534758832317","58,35245634865642","56,615874709744745","54,45916423368259","54,76853538237433","47,75986936414375","45,55173283491068","62,9083783364835","86,40363957925531"
200,"0,01",15,-1,50,"0,8",1,"1,0","0,0","0,0","58,40069987209181","327,8264508234166","258,6181880485228","58,40069987209181","301,8017022875782","258,6181880485228","58,40069987209181","52,56988800108172","50,46543778333178","50,8580449344267","48,71239225621149","55,73082980112679","70,87074297791814","79,59756335054604"
200,"0,01",15,-1,50,"1,0",1,"1,0","0,0","0,0","58,431453304837646","329,735412017664","259,80751392270633","58,431453304837646","303,68329361070624","259,80751392270633","58,431453304837646","52,532272570160046","51,53790495624225","50,4355608519301","49,02175178121455","55,87724576595584","70,88163944217442","78,73379776618634"
200,"0,01",127,-1,1,"0,8",1,"1,0","0,0","0,0","58,497386010372836","364,9395298429039","295,3579037819675","58,497386010372836","339,9977143160595","295,35790378196754","58,497386010372836","56,06414471920743","54,12889551604583","55,36433661854295","48,13039828388193","45,83042082588284","63,41862290624458","86,54488320280426"
200,"0,1",15,-1,1,"0,8",1,"1,0","0,0","0,0","64,95751303924911","331,48790424588736","260,7098973225822","64,95751303924911","301,93968693535555","260,7098973225822","64,95751303924911","54,33129642987763","51,134258467438904","57,54967633091121","59,18034072980598","71,02193498978616","81,49494669381363","79,99013763311024"
200,"0,1",15,-1,1,"1,0",1,"1,0","0,0","0,0","65,07896719994406","363,7517048083191","282,28961497433374","65,07896719994406","328,55213546433043","282,2896149743337","65,07896719994406","53,92227995465042","57,18910382568583","60,50660131545428","58,07756337150434","68,17004956122116","78,3030467286734","79,38412564241898"
50,"0,1",15,-1,1,"0,8",1,"1,0","0,0","0,0","67,48481464646338","329,8843393553966","262,405736067926","67,48481464646338","300,42814826936177","262,40573606792606","67,48481464646338","53,72484247710503","55,67972896734413","60,467403970226385","62,584782624772885","73,08522132237258","82,0642233426619","84,78749982076066"
500,"0,1",15,-1,1,"0,8",1,"1,0","0,0","0,0","67,48592591519997","342,99224865373213","271,52694672204393","67,48592591519997","313,0638673085029","271,5269467220439","67,48592591519996","53,25741147129702","51,175728975293644","63,05927844886114","61,992614566028266","73,09438303446716","87,04248973816365","82,77957517228883"
