n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,subsample_freq,colsample_bytree,reg_alpha,reg_lambda,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
50,"0,1",15,-1,20,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"54,10575694490875","291,69677568839876","230,421586510871","54,10575694490875","276,226941164114","230,42158651087104","54,105756944908755","49,628800373406996","48,89256120306411","48,27857455027961","46,224273565407","38,059948645773005","60,01023956848683","87,6459007079437"
500,"0,01",15,-1,1,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"54,17849768946673","298,7754499509486","237,67753147843524","54,17849768946673","282,9869427192675","237,67753147843524","54,17849768946673","47,32035503241896","48,6730569564668","48,78547404472006","45,64852745560913","39,403098655624056","61,324497337349804","88,09447434407832"
500,"0,01",15,-1,20,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"54,31963559307161","297,9605973576257","236,9959730383586","54,31963559307161","283,0347426937616","236,99597303835858","54,31963559307162","48,22677333700435","49,63230878855689","49,42701318547443","45,540622751502184","39,27914171627896","60,90567210010143","87,22591727258305"
500,"0,01",15,-1,50,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"54,73094753648204","297,89262243832843","237,60849828486877","54,73094753648204","283,28929012964574","237,60849828486877","54,73094753648203","49,60007336989136","50,233060379041504","49,53447135795346","46,26885776256171","39,22597801435237","60,962340284595996","87,29185158697788"
50,"0,1",15,-1,1,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"54,93865872966278","295,8845159352785","234,9232411455797","54,93865872966278","280,46354151461384","234,92324114557974","54,93865872966278","50,46965951652206","50,543839397503355","49,38841265714551","45,80562846220688","38,979146828270395","61,21737228808411","88,16655195790713"
50,"0,1",15,-1,1,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"54,99945197510169","296,88068489447096","236,60436296489246","54,99945197510169","281,8745233215138","236,60436296489246","54,99945197510169","48,25432008773262","48,33887564153602","49,23559094389863","46,54159382246892","40,762472967602726","62,76025869595331","89,10305166651966"
500,"0,01",15,-1,1,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"55,02628416014861","299,40724837652414","238,34546456331395","55,02628416014861","283,8788950478138","238,34546456331395","55,02628416014862","48,313935297648655","49,01834600075854","49,526493111523656","46,57199662694905","40,66757215008988","62,2308970071522","88,85474892691833"
50,"0,1",15,-1,50,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"55,12044466285323","293,15883787719866","233,15133817166844","55,12044466285323","279,20002512153764","233,15133817166844","55,12044466285324","51,460724287009924","50,578427656146864","50,9987431345365","46,5211618914395","39,31993855712433","60,40142608226126","86,56269103145429"
50,"0,1",63,-1,20,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"55,172896624581654","287,6162036701944","229,86073989179818","55,172896624581654","274,64379310933646","229,8607398917982","55,172896624581654","53,00433320181285","50,82381621133446","50,11191785101977","45,75243461275068","40,06012539528833","60,16200421411947","86,29564488574596"
500,"0,01",127,-1,50,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"55,551024704058186","284,5215475087656","227,93849571571513","55,551024704058186","271,6139169113436","227,93849571571516","55,551024704058186","52,762142633641666","51,712565205336276","52,06651845788556","46,77313991093281","40,935883413493514","59,22555105504566","85,38137225207183"
500,"0,01",15,-1,20,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"55,572424392611936","299,52068310915115","239,05137306068437","55,572424392611936","284,5600184088981","239,0513730606844","55,572424392611936","49,7250001797827","50,551201764339","50,602308721893166","46,5662956760097","41,048109409882315","61,55118631628919","88,9628686800875"
50,"0,1",15,-1,20,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"55,595885535033126","298,66346827113614","238,2738800466262","55,595885535033126","283,61915121546997","238,2738800466262","55,595885535033126","50,67449502659677","51,62384288285416","50,33631067895618","45,69310501198053","39,954542519419334","61,65840251905047","89,23050010637444"
500,"0,01",63,-1,20,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"55,63895128741841","290,4211603846833","232,94248082175017","55,63895128741841","277,5226272418867","232,9424808217502","55,63895128741841","52,16905237625442","51,110491447082346","50,268779697217596","47,25476243887813","41,92327989604786","60,66300009634558","86,0832930601029"
500,"0,01",63,-1,1,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"55,69913213131173","292,53174504621427","234,17104316796576","55,69913213131173","279,10172273363503","234,17104316796576","55,699132131311735","52,06515274448306","50,94401723466524","50,25994905674095","46,95186635974203","41,538249974223206","61,20408379805376","86,93060575127386"
500,"0,01",15,-1,50,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"55,7046290204743","298,4726771249695","238,60422666111623","55,7046290204743","283,74891171384394","238,6042266611162","55,70462902047431","50,39417587169957","50,76880145878303","50,63405330844745","46,55514404460369","41,07732165097044","61,62749363132417","88,87541317749174"
500,"0,01",127,-1,20,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"55,96937128047047","290,76057553377177","233,44222367216614","55,96937128047047","277,3395679151167","233,44222367216614","55,96937128047046","52,59767820572506","52,09904312576002","51,03204696187496","47,40452229492784","42,37622282607336","60,099285983403895","86,17679956552813"
50,"0,1",15,-1,50,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"55,98766075686217","296,6049908530055","237,81456141908228","55,98766075686217","281,8930585360806","237,81456141908228","55,98766075686217","51,14836168791865","51,15270668787057","51,37588149553822","47,56514436335611","40,78221585344578","61,00152654332746","88,88778866657839"
50,"0,1",63,-1,1,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"56,26136262605283","288,7788434764344","233,35677920848258","56,26136262605283","276,7903153388456","233,35677920848258","56,261362626052836","52,05757883203886","51,49642287591381","52,548111000543116","49,28968085092785","42,82760180409278","60,18829895161137","85,42184406724206"
