n_estimators,max_depth,min_samples_split,min_samples_leaf,avg_smape
200,,2,1,"64,47347999475072"
200,"20,0",2,1,"64,51139893709558"
500,,2,1,"64,53229696112496"
500,"20,0",2,1,"64,68821234717302"
50,,20,1,"64,70037815053352"
200,,20,1,"64,7836086548805"
50,"20,0",20,1,"64,81373386372479"
200,"20,0",20,1,"64,96176693160619"
500,,20,1,"64,98307923491924"
500,"20,0",20,1,"64,99921781444303"
50,,2,1,"65,1504306569205"
50,,50,1,"65,17440023288873"
50,"20,0",2,1,"65,18609721829296"
500,"20,0",50,1,"65,3096322715057"
500,,50,1,"65,3640232492892"
200,"20,0",50,1,"65,4078738093219"
50,"20,0",50,1,"65,4938929215086"
50,,20,10,"65,57139964982056"
200,"20,0",2,10,"65,63131520971302"
200,,50,1,"65,63288462593897"
50,"20,0",20,10,"65,70233329636116"
50,,2,10,"65,72344661385466"
500,"20,0",2,10,"65,7723052916908"
500,"10,0",2,1,"65,77972104862037"
500,"20,0",20,10,"65,78288480889654"
200,,20,10,"65,8557874474045"
200,"10,0",50,1,"65,86596127832391"
50,"20,0",2,10,"65,87957830482321"
500,,20,10,"65,89185758260612"
200,,2,10,"65,9047190237576"
200,"20,0",20,10,"65,9473849954643"
500,,2,10,"65,99652971468336"
200,"10,0",20,1,"66,03252025932076"
500,,50,10,"66,09399787171589"
500,"20,0",50,10,"66,1432680644792"
200,,50,10,"66,1752067727248"
200,"20,0",50,10,"66,1999518107773"
500,"10,0",50,1,"66,21555288479092"
50,,50,10,"66,24526842190375"
50,"10,0",50,10,"66,31600604148332"
50,"20,0",50,10,"66,34663923838684"
200,"10,0",2,10,"66,3497204648374"
50,"10,0",2,10,"66,37754601614904"
500,"10,0",20,1,"66,37854625839404"
50,"10,0",2,1,"66,3866862235469"
50,"10,0",50,1,"66,46134825054602"
50,"10,0",20,10,"66,4850443993077"
200,"20,0",50,50,"66,50258421693842"
200,"10,0",20,10,"66,51263638991534"
200,"10,0",2,1,"66,5425802379456"
50,"10,0",20,1,"66,58400913541928"
500,"10,0",50,10,"66,59963703522634"
500,"10,0",2,10,"66,71113225242732"
200,,50,50,"66,72765035903154"
50,"20,0",50,50,"66,73634065387773"
200,"10,0",50,10,"66,78121031924968"
50,"20,0",2,50,"66,81551640571931"
200,"20,0",20,50,"66,85789455993998"
50,"10,0",20,50,"66,87244536239893"
200,,2,50,"66,88935095061824"
200,"10,0",20,50,"66,89018800525056"
500,"20,0",50,50,"66,8970711939136"
50,"10,0",50,50,"66,91239114969015"
500,"20,0",20,50,"66,92837627976566"
200,"20,0",2,50,"66,94648907537352"
50,,50,50,"66,94728263984027"
500,"20,0",2,50,"66,95572758356285"
50,,2,50,"66,9894420412356"
500,"10,0",20,10,"66,99543024877548"
500,,50,50,"66,99961878442554"
500,,20,50,"67,01073338190665"
500,,2,50,"67,01508824050151"
500,"10,0",2,50,"67,04547577893533"
200,,20,50,"67,0695429177609"
50,"20,0",20,50,"67,07278582558129"
500,"10,0",50,50,"67,08691615851338"
50,,20,50,"67,09580647022584"
500,"10,0",20,50,"67,10283742880392"
200,"10,0",2,50,"67,15574569307333"
200,"10,0",50,50,"67,22420002362415"
50,"10,0",2,50,"67,50776109091093"
