C,epsilon,degree,gamma,coef0,kernel,avg_smape
1.0,0.1,0,0.01,0.0,rbf,58.01639331800595
1.0,0.01,0,0.01,0.0,rbf,58.01678429316506
1.0,0.2,0,0.01,0.0,rbf,58.01685200573652
0.1,0.2,0,0.01,0.0,rbf,58.44191849897953
0.1,0.01,0,0.01,0.0,rbf,58.44224975369541
0.1,0.1,0,0.01,0.0,rbf,58.44231054770515
0.1,0.2,0,scale,0.0,rbf,58.685963698512516
0.1,0.01,0,scale,0.0,rbf,58.686167278353935
0.1,0.1,0,scale,0.0,rbf,58.686170669282326
0.1,0.01,0,0.1,0.0,rbf,59.18960600697602
0.1,0.1,0,0.1,0.0,rbf,59.19018345307017
0.1,0.2,0,0.1,0.0,rbf,59.19071057934678
1.0,0.01,0,0.1,0.0,rbf,59.67013616459121
1.0,0.1,0,0.1,0.0,rbf,59.67034912727261
1.0,0.2,0,0.1,0.0,rbf,59.67037080034712
1.0,0.01,0,scale,0.0,rbf,59.81674328320468
1.0,0.1,0,scale,0.0,rbf,59.81902220263027
1.0,0.2,0,scale,0.0,rbf,59.82303703943488
10.0,0.2,0,0.01,0.0,rbf,61.65168366912481
10.0,0.1,0,0.01,0.0,rbf,61.66100198134557
10.0,0.01,0,0.01,0.0,rbf,61.66450230637251
10.0,0.01,0,0.1,0.0,rbf,64.83330028655621
10.0,0.1,0,0.1,0.0,rbf,64.833635982914
10.0,0.2,0,0.1,0.0,rbf,64.83467002652529
10.0,0.01,0,scale,0.0,rbf,65.44196657494464
10.0,0.1,0,scale,0.0,rbf,65.44666802371194
10.0,0.2,0,scale,0.0,rbf,65.45465427724878
