kernel,C,gamma,epsilon,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
linear,"100,0",scale,"0,5","74,63071078755843","463,268880014216","302,56153257024374","74,63071078755843","362,63530350331064","302,5615325702437","74,63071078755844","55,07178399282404","50,01018936618671","66,53916627658268","68,17539692185755","86,0657190320224","87,44136370462958","109,11135621880604"
linear,"100,0",scale,"0,1","74,81256953473776","464,4521593807567","303,5073096386733","74,81256953473776","363,7491076958678","303,5073096386733","74,81256953473778","55,18826801536593","50,14919542885181","66,73623179773548","68,44392861930497","86,34680975081596","87,51832162803986","109,30523150305035"
linear,"100,0",scale,"0,01","74,86571327728652","464,59659825977104","303,6509799285054","74,86571327728652","363,8933831311521","303,65097992850536","74,86571327728653","55,20327718707879","50,17658382032611","66,78341076414642","68,51594739466398","86,44960464334224","87,57805224008493","109,35311689136321"
linear,"10,0",scale,"0,01","74,88339897469399","458,1120080543755","299,86971789642973","74,88339897469399","358,7402294874558","299,8697178964298","74,88339897469397","54,907069078065234","49,88282229547771","66,21484972076244","68,27921377117359","86,73347802054604","88,28394371872292","109,88241621811001"
linear,"10,0",scale,"0,1","74,90552891270971","458,10899538734236","299,902788827926","74,90552891270971","358,7574930980575","299,902788827926","74,9055289127097","54,91396949972231","49,890650996999","66,22478830983576","68,30855777687813","86,77272136028196","88,31557004237034","109,91244440288042"
linear,"10,0",scale,"0,5","74,97826771825214","458,06413498997716","300,0122071182192","74,97826771825214","358,8193234672578","300,0122071182191","74,97826771825214","54,91962573684005","49,92628509144144","66,28261054474461","68,39985922839857","86,93520029210455","88,42429935594959","109,95999377828619"
linear,"1,0",scale,"0,5","79,68549139576527","440,7414498035711","301,1897790608046","79,68549139576527","354,2318407283846","301,18977906080454","79,68549139576528","56,84767701069438","52,24826623429988","68,13915025994856","73,89334036198268","96,0130975272267","95,06859361018337","115,58831476602128"
linear,"1,0",scale,"0,1","79,7832744319128","440,76148042424137","301,2888255210124","79,7832744319128","354,26900933308144","301,2888255210125","79,7832744319128","56,89475354374912","52,348694195882054","68,20832283082002","74,02835843117988","96,25290556178398","95,1958366455164","115,55404981445815"
linear,"1,0",scale,"0,01","79,83569004042779","440,8584663276946","301,4187976987482","79,83569004042779","354,3797944261283","301,4187976987483","79,8356900404278","56,92784662864343","52,38851394299563","68,25338109355674","74,10164139452374","96,3519896241142","95,26528939161923","115,56116820754157"
linear,"0,1",scale,"0,5","83,47128593907254","364,25881698293335","289,966784670096","83,47128593907254","328,5743069446855","289,966784670096","83,47128593907254","64,52274199507784","55,506741598713376","65,93434396862932","78,14932648579659","100,99541102550418","103,32633196467921","115,8641045351073"
linear,"0,1",scale,"0,1","83,47185499852166","364,245337848724","289,94335955108454","83,47185499852166","328,5533957812508","289,9433595510845","83,47185499852165","64,52934669241571","55,51109899681734","65,93024816004352","78,13482075266305","100,97932012377353","103,32031869187114","115,89783157206735"
linear,"0,1",scale,"0,01","83,4773632069676","364,2846706915011","289,9879358765919","83,4773632069676","328,6042024266825","289,98793587659185","83,47736320696761","64,54625565758889","55,524922187535545","65,9478940706122","78,15661910317203","101,00736714878343","103,33181972840102","115,82666455268009"
