kernel,C,gamma,epsilon,avg_smape
rbf,"1,0",0.01,"0,01","54,32085081328356"
rbf,"1,0",0.01,"0,1","54,32207897973131"
rbf,"1,0",0.01,"0,5","54,32753788285431"
rbf,"100,0",0.01,"0,5","55,49042818529683"
rbf,"100,0",0.01,"0,1","55,49061585609776"
rbf,"100,0",0.01,"0,01","55,49180284392738"
rbf,"10,0",0.01,"0,01","55,52414071453789"
rbf,"10,0",0.01,"0,1","55,52707182123795"
rbf,"10,0",0.01,"0,5","55,529890343572184"
rbf,"1,0",auto,"0,1","56,15833486203657"
rbf,"1,0",scale,"0,1","56,15833486203657"
rbf,"1,0",auto,"0,01","56,158467801887554"
rbf,"1,0",scale,"0,01","56,158467801887554"
rbf,"1,0",auto,"0,5","56,159389987722136"
rbf,"1,0",scale,"0,5","56,15938998772214"
rbf,"0,1",0.01,"0,01","56,66278674552632"
rbf,"0,1",0.01,"0,5","56,66368908255336"
rbf,"0,1",0.01,"0,1","56,66370742140886"
rbf,"0,1",auto,"0,5","57,44151000263105"
rbf,"0,1",scale,"0,5","57,44151000263105"
rbf,"0,1",auto,"0,1","57,44229174994456"
rbf,"0,1",scale,"0,1","57,44229174994456"
rbf,"0,1",auto,"0,01","57,4425660133284"
rbf,"0,1",scale,"0,01","57,4425660133284"
rbf,"1,0",0.1,"0,01","58,74815621077861"
rbf,"1,0",0.1,"0,1","58,748226669993755"
rbf,"1,0",0.1,"0,5","58,749435827384644"
rbf,"0,1",0.1,"0,01","59,07403353790518"
rbf,"0,1",0.1,"0,1","59,07524594665458"
rbf,"0,1",0.1,"0,5","59,07979622113683"
rbf,"10,0",auto,"0,5","60,37213185927358"
rbf,"10,0",scale,"0,5","60,37213185927358"
rbf,"10,0",auto,"0,1","60,37258027433489"
rbf,"10,0",scale,"0,1","60,37258027433489"
rbf,"10,0",auto,"0,01","60,37364149135739"
rbf,"10,0",scale,"0,01","60,37364149135739"
rbf,"100,0",auto,"0,1","60,477216728495705"
rbf,"100,0",scale,"0,1","60,47721672849572"
rbf,"100,0",auto,"0,01","60,48198861482291"
rbf,"100,0",scale,"0,01","60,48198861482291"
rbf,"100,0",auto,"0,5","60,48342678267492"
rbf,"100,0",scale,"0,5","60,48342678267493"
rbf,"10,0",0.1,"0,5","62,967308653499764"
rbf,"10,0",0.1,"0,1","62,96814306948383"
rbf,"10,0",0.1,"0,01","62,96856561347031"
rbf,"100,0",0.1,"0,01","69,49948289709144"
rbf,"100,0",0.1,"0,1","69,50126524486741"
rbf,"100,0",0.1,"0,5","69,51166970151996"
