kernel,C,gamma,epsilon,degree,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
poly,"1,0",0.01,5,2,50.092744334118635,"259,03590473634443","205,71284531942518","50,092744334118635","248,53154148332877","205,7128453194252","50,09274433411864","48,05639477979112","43,231095524415295","44,48048081054661","38,82606220479169","37,10595800591082","56,92978097809829","82,01943803527664"
poly,"100,0",0.001,5,2,50.09274433500789,"259,0359047506312","205,71284533385344","50,09274433500789","248,53154149559063","205,7128453338534","50,092744335007886","48,056394782050695","43,231095525652606","44,480480808888245","38,82606220363772","37,10595800530416","56,92978098082871","82,01943803869311"
poly,"100,0",0.001,25,2,50.10829919490179,"259,3942242846503","205,9984927283201","50,10829919490179","248,8450260519563","205,9984927283201","50,10829919490179","48,11462490431331","43,24778547144352","44,453760802722655","38,784593767451625","37,07497905601065","56,98156628585299","82,10078407651775"
poly,"1,0",0.01,25,2,50.108301789287374,"259,3942200398193","205,99849766262042","50,108301789287374","248,84502207460284","205,9984976626204","50,10830178928738","48,11462721755008","43,24778725834652","44,45376578913813","38,784597803301196","37,07498496313737","56,981566056794804","82,10078343674353"
poly,"100,0",0.001,1,2,50.11967430263732,"259,03161253491226","205,74601526917814","50,11967430263732","248,5448215828697","205,74601526917812","50,119674302637314","48,07638466479135","43,24281468348062","44,53589276854434","38,87489665063929","37,18566424199649","56,93230490039264","81,9897622086165"
poly,"1,0",0.01,1,2,50.11967782987662,"259,03156717151467","205,74597937635735","50,11967782987662","248,54478292857738","205,74597937635735","50,119677829876615","48,07638265621386","43,24281420894097","44,535905992616925","38,874910535538596","37,18568645552688","56,93230036054273","81,98974459975642"
poly,"100,0",0.001,50,2,50.16116787599253,"260,46180801316547","206,93297854829112","50,16116787599253","249,78574390921906","206,93297854829112","50,161167875992525","48,24693552108068","43,330843342150764","44,37827321645783","38,71735791157917","36,977493921844925","57,13154007524268","82,34573114359165"
poly,"1,0",0.01,50,2,50.16116787654386,"260,4618079935558","206,93297853306666","50,16116787654386","249,78574389390036","206,93297853306663","50,16116787654386","48,246935519309716","43,330843341578536","44,37827322210974","38,71735791577466","36,977493928315226","57,13154007248089","82,34573113623824"
poly,"1,0",0.01,50,3,50.18275651803361,"247,84094798875503","198,85449727815467","50,18275651803361","237,9088119231716","198,85449727815467","50,18275651803361","47,50289433845181","44,04019387074169","44,32084469119435","39,31856321823257","39,12774170119355","55,794801730986975","81,1742560754343"
poly,"1,0",0.01,25,3,50.43670703889399,"247,58715159343143","198,75634268905077","50,43670703889399","237,67698989329506","198,7563426890508","50,43670703889399","47,59832711533965","44,37830368585081","44,42854421020476","39,989179797485825","39,91234707594087","55,745226940763516","81,00502044667252"
poly,"1,0",0.01,5,3,50.48072099860894,"247,48953717502312","198,66008777838348","50,48072099860894","237,58643187220855","198,6600877783835","50,480720998608945","47,60936899056916","44,4562926150118","44,422569614108085","40,1277977262594","40,07158401480352","55,714251627797566","80,96318240171306"
poly,"0,1",scale,1,2,50.490334233487104,"267,7714356053373","212,79792852832625","50,490334233487104","255,964354751698","212,79792852832625","50,490334233487104","49,11052368643144","43,9334097390562","44,2734346283014","38,85011476312033","36,16322416671845","57,477112169738604","83,6245204810433"
poly,"0,1",auto,1,2,50.490334233487104,"267,7714356053373","212,79792852832622","50,490334233487104","255,96435475169795","212,7979285283262","50,490334233487104","49,110523686431435","43,9334097390562","44,2734346283014","38,85011476312033","36,16322416671845","57,4771121697386","83,6245204810433"
poly,"0,1",auto,5,2,50.512100102065034,"267,9914726022033","213,00180843627342","50,512100102065034","256,1574761081145","213,00180843627342","50,51210010206504","49,13849183783394","43,95368902185241","44,285930640591175","38,87036402075294","36,17238834303511","57,50340370032086","83,66043315006884"
poly,"0,1",scale,5,2,50.51210010206504,"267,9914726022034","213,00180843627345","50,51210010206504","256,15747610811457","213,00180843627348","50,51210010206504","49,138491837833946","43,95368902185241","44,28593064059118","38,870364020752945","36,1723883430351","57,50340370032086","83,66043315006884"
poly,"1,0",0.01,1,3,50.52553762114779,"247,59617026223623","198,78731132093844","50,52553762114779","237,68850182866564","198,78731132093844","50,5255376211478","47,641109326737464","44,50121761627381","44,45409484569085","40,207190440796445","40,174071992823016","55,73870251471456","80,9623766109984"
poly,"0,1",auto,25,2,50.55394779780124,"268,3730446435672","213,3472749509537","50,55394779780124","256,49250896363117","213,3472749509537","50,55394779780124","49,19781134046932","43,983317263965645","44,32236244094652","38,87668344784346","36,207878350913816","57,56750036459446","83,72208137587548"
poly,"0,1",scale,25,2,50.55394779780124,"268,37304464356725","213,34727495095376","50,55394779780124","256,49250896363117","213,34727495095376","50,55394779780125","49,19781134046932","43,98331726396565","44,32236244094652","38,87668344784347","36,207878350913816","57,567500364594466","83,72208137587548"
poly,"0,1",auto,50,2,50.65775967082746,"269,75651021143585","214,55344055693425","50,65775967082746","257,6610569546297","214,55344055693428","50,65775967082745","49,368218612939614","44,07692905371462","44,304073779933695","38,96900138166824","36,19153939012565","57,7216137344781","83,97294174293226"
poly,"0,1",scale,50,2,50.65775967082746,"269,7565102114359","214,5534405569343","50,65775967082746","257,66105695462977","214,55344055693428","50,65775967082745","49,368218612939614","44,07692905371463","44,30407377993369","38,969001381668235","36,19153939012564","57,7216137344781","83,97294174293228"
poly,"10,0",0.001,25,2,57.145175513725974,"341,975254749598","280,4167975614023","57,145175513725974","321,8618070794011","280,41679756140235","57,14517551372598","56,14372427697114","51,21720934773248","50,245827955175095","46,23245786294551","40,36317769548796","64,63046738335028","91,18336407441939"
poly,"0,1",0.01,25,2,57.14517551374263,"341,97525475029033","280,41679756168844","57,14517551374263","321,8618070800026","280,4167975616885","57,14517551374263","56,14372427702477","51,21720934777052","50,24582795526166","46,2324578629439","40,363177695559145","64,6304673832708","91,18336407436756"
poly,"0,1",0.01,25,3,57.160798925225876,"341,5507053479721","280,3063936841417","57,160798925225876","321,4891071002475","280,3063936841417","57,160798925225876","56,12169246239061","51,33947266932783","50,37600826521509","46,262924566026705","40,300206294920095","64,58198141722224","91,14330680147856"
poly,"100,0",0.001,25,3,57.16079892525717,"341,5507053482777","280,3063936844487","57,16079892525717","321,4891071005367","280,3063936844487","57,16079892525716","56,121692462417165","51,33947266935924","50,37600826524071","46,262924566057606","40,3002062949487","64,58198141726366","91,14330680151309"
poly,"10,0",0.001,5,2,57.18623667086662,"342,3528164413908","280,81491234019626","57,18623667086662","322,22086881439276","280,8149123401963","57,18623667086664","56,17838396603591","51,259312145005104","50,27695445005654","46,271906406628574","40,40086954458464","64,68495125883415","91,23127892492147"
poly,"0,1",0.01,5,2,57.18623667182136,"342,35281645040027","280,8149123496404","57,18623667182136","322,22086882293985","280,8149123496404","57,186236671821355","56,178383966973186","51,259312146178445","50,276954450895076","46,2719064076324","40,400869545471714","64,6849512598629","91,23127892573581"
