kernel,C,gamma,epsilon,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
rbf,"1,0",auto,"0,01","51,57988642084703","295,04690927214966","227,08962036393802","51,57988642084703","268,03409781592086","227,089620363938","51,579886420847025","52,52930952631633","44,47807204966074","45,85399511172626","40,19794173483331","38,27367109583861","56,639356010982844","83,08685941657116"
rbf,"1,0",auto,"0,1","51,58121950757119","295,0577061215895","227,10112979897983","51,58121950757119","268,0434467144164","227,10112979897985","51,58121950757119","52,53161525469595","44,47929487701969","45,854727558605646","40,19763330126116","38,274247869537106","56,64210526158493","83,0889124302939"
rbf,"1,0",auto,"0,5","51,582761799898734","295,0708370408644","227,12048094753303","51,582761799898734","268,05771714607397","227,12048094753303","51,58276179989873","52,53863240301666","44,48406737380248","45,85520439656722","40,19250037673767","38,2717082053192","56,64468226150775","83,09253758234013"
rbf,"1,0",scale,"0,5","51,715761350301165","296,9361571668531","228,68120344476836","51,715761350301165","269,70938207167336","228,68120344476833","51,71576135030117","52,70422096950456","44,665599897332456","46,033167662472195","40,2560036955974","38,169855657970764","56,79417665614332","83,38730491308749"
rbf,"1,0",scale,"0,1","51,71650631192612","296,96092574726833","228,69569498773035","51,71650631192612","269,73341952909806","228,69569498773035","51,71650631192612","52,70538779547403","44,66474473333673","46,03548299041482","40,254509491885386","38,17172379331478","56,79638779300518","83,38730758605192"
rbf,"1,0",scale,"0,01","51,71690744279019","296,9665121447459","228,7010110132445","51,71690744279019","269,73891985157434","228,70101101324448","51,71690744279018","52,70646186428262","44,66537311993096","46,03656923164972","40,254286155055894","38,17053169743476","56,79700342739554","83,38812660378179"
rbf,"1,0",0.01,"0,01","51,776049454204205","279,7843354762205","217,44108088914643","51,776049454204205","254,4961677156496","217,44108088914643","51,776049454204205","51,62780061435155","42,87260088777566","44,849700330940045","41,63602096972696","41,7724072151225","57,79309072641217","81,88072543510057"
rbf,"1,0",0.01,"0,1","51,77759366549644","279,77620246843924","217,43803939680063","51,77759366549644","254,49145558543455","217,43803939680063","51,77759366549643","51,62736111815049","42,87262448324577","44,848866136614774","41,638411348472516","41,77786908875057","57,79661391839755","81,88140956484341"
rbf,"1,0",0.01,"0,5","51,781434528357586","279,7931589514127","217,45357053578266","51,781434528357586","254,50860086135165","217,45357053578263","51,781434528357586","51,62628101286308","42,87400223762413","44,850758880602925","41,64629526444316","41,78808193773704","57,79927709603838","81,88534526919436"
rbf,"10,0",0.01,"0,01","53,373795369254466","305,0515360418508","232,7214096519204","53,373795369254466","274,23407075984665","232,72140965192037","53,373795369254466","52,29530176919488","44,64571987042422","50,778526427150354","44,44125761164835","44,06639277138421","56,31700351232374","81,07236562265551"
rbf,"10,0",0.01,"0,1","53,375723766496776","305,0373375513682","232,70447900713148","53,375723766496776","274,21835576054207","232,70447900713148","53,375723766496776","52,28987113322861","44,641139578745836","50,77965875376245","44,449826167685","44,07728891724339","56,31953397316112","81,07274784165102"
rbf,"10,0",0.01,"0,5","53,397603568225435","305,08579555947017","232,75787010664402","53,397603568225435","274,2915855625547","232,75787010664402","53,39760356822543","52,263836887263516","44,641281373026345","50,79588556374845","44,49587554422121","44,14321806603773","56,343722875560175","81,09940466772062"
rbf,"10,0",auto,"0,1","54,39066349019769","323,8173816666431","254,6176829308314","54,39066349019769","293,0983771289249","254,61768293083136","54,39066349019769","56,24136825311785","48,61911607949018","52,73058672108901","42,91941086477041","38,605761807636725","57,025153564513566","84,59324714076605"
rbf,"10,0",auto,"0,01","54,392557652156945","323,8327193102814","254,63595394977276","54,392557652156945","293,116125408674","254,63595394977276","54,39255765215694","56,245222708236625","48,62082566148136","52,7310423174637","42,92023209402561","38,60664033091324","57,028323934230656","84,59561651874743"
rbf,"10,0",auto,"0,5","54,401097988197954","323,9126742523724","254,71735213918552","54,401097988197954","293,19136484351657","254,71735213918555","54,401097988197954","56,25551691299759","48,6478811806963","52,74595355820378","42,93133795685443","38,60881120522304","57,02370840818841","84,59447669522216"
rbf,"10,0",scale,"0,01","54,583465072827565","325,5015282157841","256,58609527248564","54,583465072827565","294,82907787576227","256,58609527248564","54,58346507282756","56,5198294417706","48,98327584414583","52,946932809403286","43,057149845951244","38,4864012645359","57,215340027200284","84,87532627678581"
rbf,"10,0",scale,"0,1","54,58587142115164","325,51977398042317","256,6078831773806","54,58587142115164","294,8468527859963","256,6078831773806","54,58587142115164","56,52483848163558","48,98815710251638","52,947205182370794","43,05966872309082","38,4884361184762","57,21831748026763","84,87447685970402"
