max_depth,learning_rate,subsample,colsample_bytree,avg_smape
9,"0,1","0,8","1,0","17,517572409532367"
9,"0,1","1,0","1,0","17,595114838189172"
9,"0,1","0,8","0,8","18,36599340748968"
9,"0,1","1,0","0,8","18,648420275954425"
9,"0,2","1,0","1,0","19,101759121500294"
6,"0,1","0,8","1,0","19,23372074758986"
9,"0,2","0,8","1,0","19,532672003982917"
6,"0,1","1,0","1,0","19,839477676566894"
6,"0,1","1,0","0,8","20,35110485481379"
6,"0,1","0,8","0,8","20,409365236977013"
9,"0,2","1,0","0,8","20,432378609970936"
9,"0,2","0,8","0,8","21,0332046088861"
6,"0,2","0,8","1,0","21,16233269602216"
6,"0,2","1,0","1,0","21,91244025418924"
6,"0,2","0,8","0,8","21,938113679067396"
6,"0,2","1,0","0,8","22,393600388669245"
3,"0,2","1,0","0,8","26,85183289060085"
3,"0,2","0,8","0,8","26,923413403570173"
3,"0,2","0,8","1,0","27,064192691167904"
3,"0,2","1,0","1,0","27,97740186488442"
3,"0,1","0,8","1,0","29,020322590115715"
3,"0,1","1,0","1,0","29,838981094857516"
3,"0,1","0,8","0,8","30,023642482722604"
3,"0,1","1,0","0,8","30,4952434277032"
3,"0,01","0,8","1,0","47,65794480887802"
3,"0,01","1,0","1,0","47,66576497068883"
6,"0,01","1,0","1,0","47,687671109963055"
6,"0,01","0,8","1,0","47,73080587433222"
6,"0,01","0,8","0,8","47,78138604564661"
6,"0,01","1,0","0,8","47,7907709055117"
9,"0,01","1,0","0,8","48,04202579231533"
9,"0,01","1,0","1,0","48,04661226411142"
9,"0,01","0,8","0,8","48,073453654232985"
9,"0,01","0,8","1,0","48,076950058149414"
3,"0,01","0,8","0,8","48,11482962293113"
3,"0,01","1,0","0,8","48,16296734211182"
