C,gamma,degree,epsilon,kernel,avg_smape
0.01,0,0,0.1,linear,56.945322678156124
0.01,0,0,0.01,linear,56.945835337797746
0.01,0,0,0.001,linear,56.94595991689574
0.01,0,0,1.0,linear,56.95159992799637
1.0,0,0,0.1,linear,58.30639464475335
1.0,0,0,0.01,linear,58.311252976592115
1.0,0,0,0.001,linear,58.31161520240977
1.0,0,0,1.0,linear,58.32300171067064
10.0,0,0,0.1,linear,58.40267355611768
10.0,0,0,0.001,linear,58.40653776025282
10.0,0,0,0.01,linear,58.40671942406641
10.0,0,0,1.0,linear,58.41299130938297
100.0,0,0,1.0,linear,58.42813482950811
100.0,0,0,0.001,linear,58.44970342347386
100.0,0,0,0.01,linear,58.44994710899571
100.0,0,0,0.1,linear,58.45352051012758
