C,epsilon,degree,gamma,coef0,kernel,avg_smape
0.1,0.01,2,scale,0.5,poly,57.51922000462922
0.1,0.1,2,scale,0.5,poly,57.51996997519254
0.1,0.5,2,scale,0.5,poly,57.52211970014418
1.0,0.1,2,scale,0.05,poly,58.03275451094132
1.0,0.01,2,scale,0.05,poly,58.03315428483849
1.0,0.5,2,scale,0.05,poly,58.03586412293323
1.0,0.5,2,scale,0.5,poly,58.221911907990894
1.0,0.1,2,scale,0.5,poly,58.23645210764769
1.0,0.01,2,scale,0.5,poly,58.236933776860326
0.1,0.1,2,scale,0.05,poly,58.73420166090565
0.1,0.01,2,scale,0.05,poly,58.734572078261344
0.1,0.5,2,scale,0.05,poly,58.73537018773638
10.0,0.01,2,scale,0.5,poly,60.8761655683043
10.0,0.1,2,scale,0.5,poly,60.88152397453934
10.0,0.5,2,scale,0.5,poly,60.89885190643184
10.0,0.01,2,scale,0.05,poly,64.59577806894757
10.0,0.1,2,scale,0.05,poly,64.59782847028423
10.0,0.5,2,scale,0.05,poly,64.61388833657547
