max_depth,learning_rate,subsample,colsample_bytree,avg_smape
9,"0,1","0,8","1,0","19,409008268983918"
9,"0,1","1,0","1,0","19,687445943192394"
9,"0,1","1,0","0,8","19,982255833735543"
9,"0,2","1,0","1,0","20,66347465515741"
9,"0,2","0,8","1,0","20,918730596253223"
9,"0,1","0,8","0,8","20,927162879591293"
9,"0,2","0,8","0,8","21,44990704558862"
9,"0,2","1,0","0,8","21,831137885213522"
6,"0,1","1,0","1,0","22,165384741077514"
6,"0,1","0,8","1,0","22,239336700213965"
6,"0,1","0,8","0,8","22,372138291501727"
6,"0,1","1,0","0,8","22,45837500933649"
6,"0,2","0,8","1,0","22,572190298296427"
6,"0,2","0,8","0,8","22,715767610142485"
6,"0,2","1,0","1,0","23,053927382440673"
6,"0,2","1,0","0,8","23,078123487520926"
3,"0,2","1,0","1,0","27,299567482855167"
3,"0,2","0,8","1,0","27,822066678943827"
3,"0,1","0,8","1,0","28,104190731497848"
3,"0,2","1,0","0,8","28,171087176082047"
3,"0,1","1,0","1,0","28,220650297238215"
3,"0,2","0,8","0,8","28,443067930534355"
3,"0,1","1,0","0,8","28,50243132817517"
3,"0,1","0,8","0,8","28,866257795878653"
6,"0,01","0,8","1,0","49,35756579417092"
6,"0,01","1,0","1,0","49,387096586162784"
9,"0,01","0,8","1,0","49,415187271130335"
9,"0,01","1,0","1,0","49,439235080960515"
6,"0,01","0,8","0,8","49,628577550736594"
6,"0,01","1,0","0,8","49,65615967498721"
9,"0,01","1,0","0,8","49,68638068330748"
9,"0,01","0,8","0,8","49,703172913150176"
3,"0,01","0,8","1,0","50,68411821792874"
3,"0,01","1,0","1,0","50,73290780769427"
3,"0,01","1,0","0,8","50,85251175069897"
3,"0,01","0,8","0,8","50,89804052786983"
